GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US51001090100,51001090100,"Census Tract 901, Accomack County, Virginia",47414,7015
1400000US51001090200,51001090200,"Census Tract 902, Accomack County, Virginia",39130,7125
1400000US51001090300,51001090300,"Census Tract 903, Accomack County, Virginia",31625,3870
1400000US51001090400,51001090400,"Census Tract 904, Accomack County, Virginia",32222,9797
1400000US51001090500,51001090500,"Census Tract 905, Accomack County, Virginia",35833,8124
1400000US51001090600,51001090600,"Census Tract 906, Accomack County, Virginia",44770,8796
1400000US51001090700,51001090700,"Census Tract 907, Accomack County, Virginia",40388,4723
1400000US51001090800,51001090800,"Census Tract 908, Accomack County, Virginia",35986,6233
1400000US51001980100,51001980100,"Census Tract 9801, Accomack County, Virginia",-,**
1400000US51001980200,51001980200,"Census Tract 9802, Accomack County, Virginia",-,**
1400000US51001990100,51001990100,"Census Tract 9901, Accomack County, Virginia",-,**
1400000US51001990200,51001990200,"Census Tract 9902, Accomack County, Virginia",-,**
1400000US51003010100,51003010100,"Census Tract 101, Albemarle County, Virginia",76188,18920
1400000US51003010201,51003010201,"Census Tract 102.01, Albemarle County, Virginia",71125,11984
1400000US51003010202,51003010202,"Census Tract 102.02, Albemarle County, Virginia",116406,10683
1400000US51003010300,51003010300,"Census Tract 103, Albemarle County, Virginia",79576,5923
1400000US51003010401,51003010401,"Census Tract 104.01, Albemarle County, Virginia",75226,5750
1400000US51003010402,51003010402,"Census Tract 104.02, Albemarle County, Virginia",96328,15319
1400000US51003010500,51003010500,"Census Tract 105, Albemarle County, Virginia",73552,8161
1400000US51003010601,51003010601,"Census Tract 106.01, Albemarle County, Virginia",57003,9891
1400000US51003010602,51003010602,"Census Tract 106.02, Albemarle County, Virginia",83539,7916
1400000US51003010700,51003010700,"Census Tract 107, Albemarle County, Virginia",50120,3679
1400000US51003010800,51003010800,"Census Tract 108, Albemarle County, Virginia",51074,9790
1400000US51003010901,51003010901,"Census Tract 109.01, Albemarle County, Virginia",27008,9126
1400000US51003010902,51003010902,"Census Tract 109.02, Albemarle County, Virginia",35536,11029
1400000US51003010903,51003010903,"Census Tract 109.03, Albemarle County, Virginia",8452,1135
1400000US51003011000,51003011000,"Census Tract 110, Albemarle County, Virginia",138494,19494
1400000US51003011100,51003011100,"Census Tract 111, Albemarle County, Virginia",78977,12460
1400000US51003011201,51003011201,"Census Tract 112.01, Albemarle County, Virginia",59975,5597
1400000US51003011202,51003011202,"Census Tract 112.02, Albemarle County, Virginia",100455,19113
1400000US51003011301,51003011301,"Census Tract 113.01, Albemarle County, Virginia",69013,8118
1400000US51003011302,51003011302,"Census Tract 113.02, Albemarle County, Virginia",51706,7170
1400000US51003011303,51003011303,"Census Tract 113.03, Albemarle County, Virginia",73784,8795
1400000US51003011400,51003011400,"Census Tract 114, Albemarle County, Virginia",52407,14333
1400000US51005070100,51005070100,"Census Tract 701, Alleghany County, Virginia",38409,6236
1400000US51005080100,51005080100,"Census Tract 801, Alleghany County, Virginia",45329,9347
1400000US51005080201,51005080201,"Census Tract 802.01, Alleghany County, Virginia",49007,7051
1400000US51005080202,51005080202,"Census Tract 802.02, Alleghany County, Virginia",45645,10269
1400000US51005080301,51005080301,"Census Tract 803.01, Alleghany County, Virginia",52917,6318
1400000US51005080302,51005080302,"Census Tract 803.02, Alleghany County, Virginia",57386,16664
1400000US51007930100,51007930100,"Census Tract 9301, Amelia County, Virginia",57992,11068
1400000US51007930200,51007930200,"Census Tract 9302, Amelia County, Virginia",58378,8021
1400000US51009010100,51009010100,"Census Tract 101, Amherst County, Virginia",53750,11551
1400000US51009010200,51009010200,"Census Tract 102, Amherst County, Virginia",48150,6806
1400000US51009010300,51009010300,"Census Tract 103, Amherst County, Virginia",70651,6451
1400000US51009010401,51009010401,"Census Tract 104.01, Amherst County, Virginia",42727,7438
1400000US51009010402,51009010402,"Census Tract 104.02, Amherst County, Virginia",45484,10533
1400000US51009010502,51009010502,"Census Tract 105.02, Amherst County, Virginia",42554,27583
1400000US51009010503,51009010503,"Census Tract 105.03, Amherst County, Virginia",32213,6468
1400000US51009010504,51009010504,"Census Tract 105.04, Amherst County, Virginia",38311,6297
1400000US51009010600,51009010600,"Census Tract 106, Amherst County, Virginia",41111,13625
1400000US51011040100,51011040100,"Census Tract 401, Appomattox County, Virginia",47705,11942
1400000US51011040200,51011040200,"Census Tract 402, Appomattox County, Virginia",61223,10571
1400000US51011040300,51011040300,"Census Tract 403, Appomattox County, Virginia",50307,6938
1400000US51013100100,51013100100,"Census Tract 1001, Arlington County, Virginia",168333,23930
1400000US51013100200,51013100200,"Census Tract 1002, Arlington County, Virginia",205234,30395
1400000US51013100300,51013100300,"Census Tract 1003, Arlington County, Virginia",206140,30272
1400000US51013100400,51013100400,"Census Tract 1004, Arlington County, Virginia",205469,35265
1400000US51013100500,51013100500,"Census Tract 1005, Arlington County, Virginia",193315,16988
1400000US51013100600,51013100600,"Census Tract 1006, Arlington County, Virginia",122468,8683
1400000US51013100700,51013100700,"Census Tract 1007, Arlington County, Virginia",136571,19038
1400000US51013100800,51013100800,"Census Tract 1008, Arlington County, Virginia",103542,8557
1400000US51013100900,51013100900,"Census Tract 1009, Arlington County, Virginia",135651,18651
1400000US51013101000,51013101000,"Census Tract 1010, Arlington County, Virginia",157321,11406
1400000US51013101100,51013101100,"Census Tract 1011, Arlington County, Virginia",181629,16344
1400000US51013101200,51013101200,"Census Tract 1012, Arlington County, Virginia",146750,22540
1400000US51013101300,51013101300,"Census Tract 1013, Arlington County, Virginia",182308,12490
1400000US51013101401,51013101401,"Census Tract 1014.01, Arlington County, Virginia",113816,12093
1400000US51013101402,51013101402,"Census Tract 1014.02, Arlington County, Virginia",125119,12108
1400000US51013101403,51013101403,"Census Tract 1014.03, Arlington County, Virginia",103671,6735
1400000US51013101404,51013101404,"Census Tract 1014.04, Arlington County, Virginia",123295,5884
1400000US51013101500,51013101500,"Census Tract 1015, Arlington County, Virginia",112727,16827
1400000US51013101601,51013101601,"Census Tract 1016.01, Arlington County, Virginia",120625,18491
1400000US51013101602,51013101602,"Census Tract 1016.02, Arlington County, Virginia",90927,20702
1400000US51013101603,51013101603,"Census Tract 1016.03, Arlington County, Virginia",108859,14851
1400000US51013101701,51013101701,"Census Tract 1017.01, Arlington County, Virginia",106375,19438
1400000US51013101702,51013101702,"Census Tract 1017.02, Arlington County, Virginia",95373,9167
1400000US51013101703,51013101703,"Census Tract 1017.03, Arlington County, Virginia",100833,10958
1400000US51013101801,51013101801,"Census Tract 1018.01, Arlington County, Virginia",147846,12288
1400000US51013101802,51013101802,"Census Tract 1018.02, Arlington County, Virginia",122559,8700
1400000US51013101803,51013101803,"Census Tract 1018.03, Arlington County, Virginia",83097,5104
1400000US51013101900,51013101900,"Census Tract 1019, Arlington County, Virginia",172500,23196
1400000US51013102001,51013102001,"Census Tract 1020.01, Arlington County, Virginia",84632,17100
1400000US51013102002,51013102002,"Census Tract 1020.02, Arlington County, Virginia",71167,11940
1400000US51013102003,51013102003,"Census Tract 1020.03, Arlington County, Virginia",33098,18448
1400000US51013102100,51013102100,"Census Tract 1021, Arlington County, Virginia",120804,25336
1400000US51013102200,51013102200,"Census Tract 1022, Arlington County, Virginia",39375,12325
1400000US51013102301,51013102301,"Census Tract 1023.01, Arlington County, Virginia",136458,17720
1400000US51013102302,51013102302,"Census Tract 1023.02, Arlington County, Virginia",93674,17718
1400000US51013102400,51013102400,"Census Tract 1024, Arlington County, Virginia",91417,9266
1400000US51013102500,51013102500,"Census Tract 1025, Arlington County, Virginia",97966,13649
1400000US51013102600,51013102600,"Census Tract 1026, Arlington County, Virginia",84226,10155
1400000US51013102701,51013102701,"Census Tract 1027.01, Arlington County, Virginia",50478,11110
1400000US51013102702,51013102702,"Census Tract 1027.02, Arlington County, Virginia",117159,11590
1400000US51013102801,51013102801,"Census Tract 1028.01, Arlington County, Virginia",72439,6798
1400000US51013102802,51013102802,"Census Tract 1028.02, Arlington County, Virginia",127750,20910
1400000US51013102901,51013102901,"Census Tract 1029.01, Arlington County, Virginia",110179,7324
1400000US51013102902,51013102902,"Census Tract 1029.02, Arlington County, Virginia",99583,8723
1400000US51013103000,51013103000,"Census Tract 1030, Arlington County, Virginia",139803,10676
1400000US51013103100,51013103100,"Census Tract 1031, Arlington County, Virginia",96563,20961
1400000US51013103200,51013103200,"Census Tract 1032, Arlington County, Virginia",92715,10465
1400000US51013103300,51013103300,"Census Tract 1033, Arlington County, Virginia",68207,14572
1400000US51013103401,51013103401,"Census Tract 1034.01, Arlington County, Virginia",26442,17846
1400000US51013103402,51013103402,"Census Tract 1034.02, Arlington County, Virginia",112851,5827
1400000US51013103501,51013103501,"Census Tract 1035.01, Arlington County, Virginia",82004,9829
1400000US51013103502,51013103502,"Census Tract 1035.02, Arlington County, Virginia",108485,18452
1400000US51013103503,51013103503,"Census Tract 1035.03, Arlington County, Virginia",96957,11040
1400000US51013103601,51013103601,"Census Tract 1036.01, Arlington County, Virginia",171250,23666
1400000US51013103602,51013103602,"Census Tract 1036.02, Arlington County, Virginia",75197,13716
1400000US51013103700,51013103700,"Census Tract 1037, Arlington County, Virginia",195658,20731
1400000US51013103800,51013103800,"Census Tract 1038, Arlington County, Virginia",82215,13937
1400000US51013980100,51013980100,"Census Tract 9801, Arlington County, Virginia",-,**
1400000US51013980200,51013980200,"Census Tract 9802, Arlington County, Virginia",-,**
1400000US51015070100,51015070100,"Census Tract 701, Augusta County, Virginia",36747,4566
1400000US51015070200,51015070200,"Census Tract 702, Augusta County, Virginia",62803,5378
1400000US51015070300,51015070300,"Census Tract 703, Augusta County, Virginia",66171,7293
1400000US51015070400,51015070400,"Census Tract 704, Augusta County, Virginia",52879,8749
1400000US51015070500,51015070500,"Census Tract 705, Augusta County, Virginia",56837,7338
1400000US51015070600,51015070600,"Census Tract 706, Augusta County, Virginia",62675,5711
1400000US51015070700,51015070700,"Census Tract 707, Augusta County, Virginia",55757,9359
1400000US51015070800,51015070800,"Census Tract 708, Augusta County, Virginia",59951,9194
1400000US51015070900,51015070900,"Census Tract 709, Augusta County, Virginia",54480,6932
1400000US51015071000,51015071000,"Census Tract 710, Augusta County, Virginia",49833,8471
1400000US51015071101,51015071101,"Census Tract 711.01, Augusta County, Virginia",43869,7482
1400000US51015071102,51015071102,"Census Tract 711.02, Augusta County, Virginia",57171,18595
1400000US51015071200,51015071200,"Census Tract 712, Augusta County, Virginia",58093,3359
1400000US51017920100,51017920100,"Census Tract 9201, Bath County, Virginia",44985,4210
1400000US51019030101,51019030101,"Census Tract 301.01, Bedford County, Virginia",75833,10654
1400000US51019030103,51019030103,"Census Tract 301.03, Bedford County, Virginia",73784,15422
1400000US51019030104,51019030104,"Census Tract 301.04, Bedford County, Virginia",57560,9391
1400000US51019030201,51019030201,"Census Tract 302.01, Bedford County, Virginia",87012,7459
1400000US51019030202,51019030202,"Census Tract 302.02, Bedford County, Virginia",60074,7310
1400000US51019030300,51019030300,"Census Tract 303, Bedford County, Virginia",62806,7409
1400000US51019030401,51019030401,"Census Tract 304.01, Bedford County, Virginia",53990,5075
1400000US51019030402,51019030402,"Census Tract 304.02, Bedford County, Virginia",51232,5891
1400000US51019030501,51019030501,"Census Tract 305.01, Bedford County, Virginia",47054,8944
1400000US51019030503,51019030503,"Census Tract 305.03, Bedford County, Virginia",58542,7611
1400000US51019030504,51019030504,"Census Tract 305.04, Bedford County, Virginia",54122,8247
1400000US51019030601,51019030601,"Census Tract 306.01, Bedford County, Virginia",55313,17263
1400000US51019030602,51019030602,"Census Tract 306.02, Bedford County, Virginia",50185,8850
1400000US51019030603,51019030603,"Census Tract 306.03, Bedford County, Virginia",48833,10173
1400000US51019030604,51019030604,"Census Tract 306.04, Bedford County, Virginia",45476,11132
1400000US51019030605,51019030605,"Census Tract 306.05, Bedford County, Virginia",51933,5165
1400000US51019050100,51019050100,"Census Tract 501, Bedford County, Virginia",39925,11404
1400000US51021040100,51021040100,"Census Tract 401, Bland County, Virginia",44575,5301
1400000US51021040200,51021040200,"Census Tract 402, Bland County, Virginia",49406,8679
1400000US51023040100,51023040100,"Census Tract 401, Botetourt County, Virginia",47833,11288
1400000US51023040200,51023040200,"Census Tract 402, Botetourt County, Virginia",48710,4944
1400000US51023040301,51023040301,"Census Tract 403.01, Botetourt County, Virginia",63955,5931
1400000US51023040302,51023040302,"Census Tract 403.02, Botetourt County, Virginia",81382,20743
1400000US51023040401,51023040401,"Census Tract 404.01, Botetourt County, Virginia",54464,9925
1400000US51023040402,51023040402,"Census Tract 404.02, Botetourt County, Virginia",54403,8815
1400000US51023040501,51023040501,"Census Tract 405.01, Botetourt County, Virginia",77750,8825
1400000US51023040502,51023040502,"Census Tract 405.02, Botetourt County, Virginia",50272,12253
1400000US51025930100,51025930100,"Census Tract 9301, Brunswick County, Virginia",38935,5932
1400000US51025930201,51025930201,"Census Tract 9302.01, Brunswick County, Virginia",41806,8774
1400000US51025930202,51025930202,"Census Tract 9302.02, Brunswick County, Virginia",-,**
1400000US51025930203,51025930203,"Census Tract 9302.03, Brunswick County, Virginia",32404,9455
1400000US51025930300,51025930300,"Census Tract 9303, Brunswick County, Virginia",39505,6721
1400000US51027010100,51027010100,"Census Tract 101, Buchanan County, Virginia",23471,9341
1400000US51027010200,51027010200,"Census Tract 102, Buchanan County, Virginia",29175,4727
1400000US51027010300,51027010300,"Census Tract 103, Buchanan County, Virginia",32207,6919
1400000US51027010400,51027010400,"Census Tract 104, Buchanan County, Virginia",26544,7555
1400000US51027010500,51027010500,"Census Tract 105, Buchanan County, Virginia",36250,5344
1400000US51027010600,51027010600,"Census Tract 106, Buchanan County, Virginia",32465,6794
1400000US51027010700,51027010700,"Census Tract 107, Buchanan County, Virginia",30020,3067
1400000US51029930101,51029930101,"Census Tract 9301.01, Buckingham County, Virginia",44792,8102
1400000US51029930102,51029930102,"Census Tract 9301.02, Buckingham County, Virginia",40788,9820
1400000US51029930201,51029930201,"Census Tract 9302.01, Buckingham County, Virginia",41993,6742
1400000US51029930202,51029930202,"Census Tract 9302.02, Buckingham County, Virginia",49750,13678
