"Team","Age Group","Gender"
"AFC Lightning U-12 Boys","U12","Boys"
"AFC Lightning U-13 Boys","U13","Boys"
"AFC Lightning U-14 Boys","U14","Boys"
"Ajax United U-12 Boys","U12","Boys"
"Albion SC U-12 Boys","U12","Boys"
"Albion SC U-13 Boys","U13","Boys"
"Albion SC U-14 Boys","U14","Boys"
"Albion SC U-15 Boys","U15","Boys"
"Albion SC U-16/17 Boys","U17","Boys"
"Arlington Soccer Association U-12 Boys","U12","Boys"
"Arlington Soccer Association U-13 Boys","U13","Boys"
"Arlington Soccer Association U-14 Boys","U14","Boys"
"Armada FC Pro Academy U-12 Boys","U12","Boys"
"Armada FC Pro Academy U-13 Boys","U13","Boys"
"Armada FC Pro Academy U-14 Boys","U14","Boys"
"Armada FC Pro Academy U-15 Boys","U15","Boys"
"Armada FC Pro Academy U-16/17 Boys","U17","Boys"
"Arsenal Colorado U-12 Boys","U12","Boys"
"Arsenal Colorado U-13 Boys","U13","Boys"
"Arsenal Colorado U-14 Boys","U14","Boys"
"Arsenal FC U-12 Boys","U12","Boys"
"Arsenal FC U-13 Boys","U13","Boys"
"Arsenal FC U-14 Boys","U14","Boys"
"Arsenal FC U-15 Boys","U15","Boys"
"Arsenal FC U-16/17 Boys","U17","Boys"
"Arsenal FC U-18/19 Boys","U19","Boys"
"Atlanta United FC U-12 Boys","U12","Boys"
"Atlanta United FC U-13 Boys","U13","Boys"
"Atlanta United FC U-14 Boys","U14","Boys"
"Atlanta United FC U-15 Boys","U15","Boys"
"Atlanta United FC U-16/17 Boys","U17","Boys"
"Atlanta United FC U-18/19 Boys","U19","Boys"
"Ballistic United SC U-12 Boys","U12","Boys"
"Ballistic United SC U-13 Boys","U13","Boys"
"Ballistic United SC U-14 Boys","U14","Boys"
"Ballistic United SC U-15 Boys","U15","Boys"
"Baltimore Armour U-12 Boys","U12","Boys"
"Baltimore Armour U-13 Boys","U13","Boys"
"Baltimore Armour U-14 Boys","U14","Boys"
"Baltimore Armour U-15 Boys","U15","Boys"
"Baltimore Armour U-16/17 Boys","U17","Boys"
"Baltimore Armour U-18/19 Boys","U19","Boys"
"Barca Academy U-15 Boys","U15","Boys"
"Barca Academy U-16/17 Boys","U17","Boys"
"Barca Academy U-18/19 Boys","U19","Boys"
"Bayside FC U-12 Boys","U12","Boys"
"Beachside Soccer Club CT U-12 Boys","U12","Boys"
"Beachside Soccer Club CT U-13 Boys","U13","Boys"
