"DA Club Directory","DA Club Directory.1"
"AFC Lightning","Peachtree City, Ga."
"Ajax United","Modesto, Calif."
"Albion SC","San Diego, Calif."
"Arlington Soccer Association","Arlington, Va."
"Armada FC Pro Academy","Jacksonville, Fla."
"Arsenal Colorado","Fort Collins, Colo."
"Arsenal FC","Temecula, Calif."
"Atlanta United FC","Marietta, Ga."
"Ballistic United Soccer Club","Pleasanton, Calif."
"Baltimore Armour","Ellicott City, Md."
"Barca Academy","Casa Grande, Ariz."
"Bayside FC","East Providence, R.I."
"Beach Futbol Club","Long Beach, Calif."
"Beachside SC","Norwalk, Conn."
"Bethesda SC","Bethesda, Md."
"Boca United Football","Boca Raton, Fla."
"Boston Breakers Academy","Boston, Mass."
"BSC Oregon","Portland, Ore."
"Burlingame Soccer Club","Burlingame, Calif."
"BW Gottschee Academy","Queens, N.Y."
"California Odyssey SC","Fresno, Calif."
"California Thorns FC","Santa Clara, Calif."
"Campton United SC","St. Charles, Ill."
"Capital FC Timbers","Salem, Ore."
"Carolina Rapids","Cornelius, N.C."
"Cedar Stars Academy - Bergen","Carlstadt, N.J."
"Cedar Stars Academy - Monmouth","Aberdeen, N.J."
"Chargers Soccer Club","Clearwater, Fla."
"Charlotte Soccer Academy","Matthews, N.C."
"Charlotte Soccer Academy North","Matthews, N.C."
"Chicago Fire","Bridgeview, Ill."
"Chicago Fire Juniors City","Chicago, Ill."
"Chicago Fire Juniors South/West","Chicago, Ill."
"Chula Vista FC","Chula Vista, Calif."
"Cincinnati Development Academy","Cincinnati, Ohio"
"Cincinnati United Premier","Cincinnati, Ohio"
"Colorado Rapids","Commerce City, Colo."
"Colorado Rush","Littleton, Colo."
"Colorado Storm","Centennial, Colo."
"Concorde Fire","Atlanta, Ga."
"Continental FC DELCO","West Chester, Pa."
"Crew SC Academy","Columbus, Ohio"
"Crew SC Academy Wolves","Wixom, Mich."
"Crossfire Oregon","Lake Oswego, Ore."
"Crossfire Premier","Kirkland, Wash."
"D.C. United","Washington, D.C."
"Dallas Texans","Plano, Texas"
"De Anza Force","Saratoga, Calif."
"Discoveries Soccer Club","Rock Hill, S.C."
"Eagles Soccer Club","Camarillo, Calif."
"Eastside FC","Preston, Wash."
"Eastside Timbers","Portland, Ore."
"EBU Bay Oaks","Oakland, Calif."
"Eclipse Select Soccer Club","Oak Brook, Ill."
"Elk Grove Soccer","Elk Grove, Calif."
