"Home","Away","Field"
"RICHMOND STRIKERS 07 ELITE U11 Boys VA NPL","FC VIRGINIA ELITE 07 U11 Boys VA NPL","Unassigned"
"PWSI COURAGE 07B NPL U11 Boys VA NPL","CHANTILLY YOUTH SOCCER CYA 07B PURPLE U11 Boys VA NPL","Unassigned"
"FC VIRGINIA UNITED ELITE 06B U12 Boys VA NPL","VIRGINIA VSA 06B PRE ACADEMY NPL U12 Boys VA NPL","Unassigned"
"PWSI COURAGE 06B NPL U12 Boys VA NPL","CHANTILLY YOUTH 06 B PURPLE U12 Boys VA NPL","Unassigned"
"TIDEWATER SHARKS 2005 UNITED U13 Boys VA NPL","ANNANDALE UNITED FC 05 U13 Boys VA NPL",""
"TIDEWATER SHARKS 2005 UNITED U13 Boys VA NPL","GREAT FALLS 05 UNITED BLUE U13 Boys VA NPL",""
"TIDEWATER SHARKS 2004 UNITED U14 Boys VA NPL","AUFC ANNANDALE UNITED FC 04 U14 Boys VA NPL",""
"TIDEWATER SHARKS 2004 UNITED U14 Boys VA NPL","GREAT FALLS 04B BLUE U14 Boys VA NPL",""
"GSC SPIRIT NPL 07 U11 Girls VA NPL","AUFC ANNANDALE UNITED FC 07G U11 Girls VA NPL","Unassigned"
"RICHMOND KICKERS U11 G ELITE RED '07 U11 Girls VA NPL","VIRGINIA VSA 07G PRE ACADEMY NPL U11 Girls VA NPL","Unassigned"
"FC VIRGINIA UNITED ELITE 06 U12 Girls VA NPL","VIRGINIA VSA 06G PRE ACADEMY NPL U12 Girls VA NPL","Unassigned"
"GSC SPIRIT NPL 06 U12 Girls VA NPL","ANNANDALE UNITED FC AUFC 06 G U12 Girls VA NPL","Unassigned"
"RICHMOND KICKERS U12G ELITE RED '06 U12 Girls VA NPL","VIRGINIA VSA 06G PRE ACADEMY NPL U12 Girls VA NPL","Unassigned"
"PWSI COURAGE 06G NPL U12 Girls VA NPL","CYA PURPLE 06G U12 Girls VA NPL","Unassigned"
"GSC SPIRIT NPL 05 U13 Girls VA NPL","ANNANDALE UNITED FOOTBALL 2005 AUFC REIGN U13 Girls VA NPL","Unassigned"
"RICHMOND KICKERS U13 G ELITE '05 U13 Girls VA NPL","VIRGINIA VSA 05G PRE ACADEMY NPL U13 Girls VA NPL","Unassigned"
"TIDEWATER SHARKS 2004 GIRLS U14 Girls VA NPL","AUFC ANNANDALE UNITED FC 04G U14 Girls VA NPL",""
"TIDEWATER SHARKS 2004 GIRLS U14 Girls VA NPL","GREAT FALLS AA COURAGE NPL U14 Girls VA NPL",""
"PWSI COURAGE 99/00G NPL U19 Girls VA NPL","VYS PHOENIX '00 U19 Girls VA NPL","Unassigned"
