"Home","Age.Group","Gender"
"ABGC AUFC 01G (FORMERLY FCV HEAT) U17 Girls VA NPL","U17","Girls"
"ANNANDALE UNITED FC 03 U15 Boys VA NPL","U15","Boys"
"ANNANDALE UNITED FC 05 U13 Boys VA NPL","U13","Boys"
"ANNANDALE UNITED FC 2006B U12 Boys VA NPL","U12","Boys"
"ANNANDALE UNITED FC AUFC 06 G U12 Girls VA NPL","U12","Girls"
"ANNANDALE UNITED FC PRIDE 03 U15 Girls VA NPL","U15","Girls"
"ANNANDALE UNITED FOOTBALL 2005 AUFC REIGN U13 Girls VA NPL","U13","Girls"
"AUFC 07 U11 Boys VA NPL","U11","Boys"
"AUFC ANNANDALE UNITED FC 02G U16 Girls VA NPL","U16","Girls"
"AUFC ANNANDALE UNITED FC 04 U14 Boys VA NPL","U14","Boys"
"AUFC ANNANDALE UNITED FC 04G U14 Girls VA NPL","U14","Girls"
"AUFC ANNANDALE UNITED FC 07G U11 Girls VA NPL","U11","Girls"
"CHANTILLY YOUTH 06 B PURPLE U12 Boys VA NPL","U12","Boys"
"CHANTILLY YOUTH CYA 02G PURPLE U16 Girls VA NPL","U16","Girls"
"CHANTILLY YOUTH CYA PURPLE 03 U15 Boys VA NPL","U15","Boys"
"CHANTILLY YOUTH SOCCER CYA 07B PURPLE U11 Boys VA NPL","U11","Boys"
"CYA '04G PURPLE U14 Girls VA NPL","U14","Girls"
"CYA 05 G PURPLE U13 Girls VA NPL","U13","Girls"
"CYA COUGARS '01 PURPLE U17 Girls VA NPL","U17","Girls"
"CYA PURPLE 06G U12 Girls VA NPL","U12","Girls"
"CYA SOCCER 04B PURPLE U14 Boys VA NPL","U14","Boys"
"CYA SOCCER 05B PURPLE U13 Boys VA NPL","U13","Boys"
"CYA SOCCER CYA 03G PURPLE U15 Girls VA NPL","U15","Girls"
"FC VIRGINIA ELITE 07 U11 Boys VA NPL","U11","Boys"
"FC VIRGINIA FCV ELITE 07G U11 Girls VA NPL","U11","Girls"
"FC VIRGINIA FCV UNITED 05 ELITE U13 Boys VA NPL","U13","Boys"
"FC VIRGINIA UNITED 03 ELITE U15 Girls VA NPL","U15","Girls"
"FC VIRGINIA UNITED 04 ELITE U14 Girls VA NPL","U14","Girls"
"FC VIRGINIA UNITED ELITE  02 U16 Girls VA NPL","U16","Girls"
"FC VIRGINIA UNITED ELITE 00 U19 Girls VA NPL","U19","Girls"
"FC VIRGINIA UNITED ELITE 01 U17 Girls VA NPL","U17","Girls"
"FC VIRGINIA UNITED ELITE 03B U15 Boys VA NPL","U15","Boys"
"FC VIRGINIA UNITED ELITE 05G U13 Girls VA NPL","U13","Girls"
"FC VIRGINIA UNITED ELITE 06 U12 Girls VA NPL","U12","Girls"
"FC VIRGINIA UNITED ELITE 06B U12 Boys VA NPL","U12","Boys"
"FC VIRGINIA UNITED PREMIER '00 U19 Girls VA NPL","U19","Girls"
"FCV UNITED ELITE 04B U14 Boys VA NPL","U14","Boys"
"GREAT FALLS 00G POWER U19 Girls VA NPL","U19","Girls"
"GREAT FALLS 03B BLUE U15 Boys VA NPL","U15","Boys"
"GREAT FALLS 03G QUEST NPL U15 Girls VA NPL","U15","Girls"
"GREAT FALLS 04B BLUE U14 Boys VA NPL","U14","Boys"
"GREAT FALLS 05 UNITED BLUE U13 Boys VA NPL","U13","Boys"
"GREAT FALLS 05G SPIRIT BLUE U13 Girls VA NPL","U13","Girls"
"GREAT FALLS 06B BLUE U12 Boys VA NPL","U12","Boys"
"GREAT FALLS 06G SPURS BLUE U12 Girls VA NPL","U12","Girls"
"GREAT FALLS 07B MILAN U11 Boys VA NPL","U11","Boys"
"GREAT FALLS 07G FURY BLUE U11 Girls VA NPL","U11","Girls"
"GREAT FALLS AA COURAGE NPL U14 Girls VA NPL","U14","Girls"
"GREAT FALLS AA RENEGADE BLUE U16 Girls VA NPL","U16","Girls"
"GREAT FALLS AA RENEGADES RED U17 Girls VA NPL","U17","Girls"
"GSC SPIRIT NPL 00 U19 Girls VA NPL","U19","Girls"
"GSC SPIRIT NPL 02 U16 Girls VA NPL","U16","Girls"
"GSC SPIRIT NPL 03 U15 Girls VA NPL","U15","Girls"
"GSC SPIRIT NPL 05 U13 Girls VA NPL","U13","Girls"
"GSC SPIRIT NPL 06 U12 Girls VA NPL","U12","Girls"
"GSC SPIRIT NPL 07 U11 Girls VA NPL","U11","Girls"
"GSC UNITED NPL 03 U15 Boys VA NPL","U15","Boys"
"GSC UNITED NPL 04 U14 Boys VA NPL","U14","Boys"
"GSC UNITED NPL 05 U13 Boys VA NPL","U13","Boys"
"GSC UNITED NPL 06 U12 Boys VA NPL","U12","Boys"
"GSC UNITED NPL 07 U11 Boys VA NPL","U11","Boys"
"PWSI COURAGE 01G NPL U17 Girls VA NPL","U17","Girls"
"PWSI COURAGE 02G NPL U16 Girls VA NPL","U16","Girls"
"PWSI COURAGE 03B NPL U15 Boys VA NPL","U15","Boys"
"PWSI COURAGE 03G NPL U15 Girls VA NPL","U15","Girls"
"PWSI COURAGE 04B NPL U14 Boys VA NPL","U14","Boys"
"PWSI COURAGE 04G NPL U14 Girls VA NPL","U14","Girls"
"PWSI COURAGE 05B NPL U13 Boys VA NPL","U13","Boys"
"PWSI COURAGE 05G NPL U13 Girls VA NPL","U13","Girls"
"PWSI COURAGE 06B NPL U12 Boys VA NPL","U12","Boys"
"PWSI COURAGE 06G NPL U12 Girls VA NPL","U12","Girls"
"PWSI COURAGE 07B NPL U11 Boys VA NPL","U11","Boys"
"PWSI COURAGE 07G NPL U11 Girls VA NPL","U11","Girls"
