"Names","Street Address","City","State","Zip Code"
"Al Jennings Athletic Complex","1000 East Main Street","Wytheville","VA","24382"
"Amherst County High School","139 Lancer Lane","Amherst","VA","24521"
"Andrew Lewis Middle School","616 South College Ave","Salem","VA","24153"
"Bedford County Rec","Bedford","VA",,
"Bedford Elementary","806 Tiger Trail","Bedford","VA","24523"
"Bedford Middle School","503 Longwood Avenue","Bedford","VA","24523"
"Bedford Science & Tech. Center","600 Edmund Street","Bedford","VA","24523"
"Bedford YMCA","107 Turnpike Rd","Bedford","VA","24523"
"BHS-PF",,,,
"Bisset Park","Berkley Williams Road","Radford","VA",
"Blacksburg Middle School","3109 Prices Fork Rd","Blacksburg","VA","24060"
"Blue Ridge Park","1533 Webster Road","Roanoke","VA",
"Bogle Stadium","4880 Brambleton Avenue SW","Roanoke","VA","24018"
"Boxley Fields","1386 Colonial Rd","Blue Ridge","VA","24064"
"Carlisle School","300 Carlisle Road","Axton","VA","24054"
"Carroll County High School","100 Cavs Lane","Hillsville","VA","24343"
"Carroll County Wellness Center","164 Carter Pines Lane","Hillsville","VA","24343"
"Carver Elementary School","220 Trott Circle","Martinsville","VA","24112"
"Central VA Regional Soccer Complex","5635 Campbell Highway","Lynchburg","VA","24501"
"Christian Heritage Academy","625 Glennwood Drive","Rocky Mount","VA","24151"
"Christiansburg Middle School","1205 Buffalo Dr","Christiansburg","VA","24073"
"Clearbrook ES",,,,
"Cloverdale Elementary",,,,
"Coolwell Parks & Rec Center","640 N Coolwell Rd","Amherst","VA","24521"
"Countryside II","2350 Ranch Road","Roanoke","VA",
"Countryside Sportsplex","2102 Highland Farm Road","Roanoke","VA","24017"
"CRC","1691 Innovation Drive","Blacksburg","VA","24060"
"Dan Daniel Memorial Park","302 River Park Road","Danville","VA","24540"
"Dedmon Center","101 University Drive","Radford","VA","24141"
"Dudley Elementary School","7250 Brooks Mill Road","Wirtz","VA","24184"
"Fairfield Elementary","20 Fairfield School Road","Fairfield","VA","24435"
"Falling Branch Elementary","Christiansburg","VA",,
"Fieldale-Collinsville Middle School","645 Miles Road","Collinsville","VA","24078"
"Franklin Co. Rec","2460 Sontag Road","Rocky Mount","VA","24151"
"George Wythe High School","1 Maroon Way","Wytheville","VA","24382"
"Giles Co. High School","1825 Wenonah Avenue","Pearisburg","VA","24134"
"Girl Scouts","5488 Yellow Mountain Road","Roanoke","VA","24014"
"Gnarly","1179 Altice Rd","Moneta","VA","24121"
"Good Shepherd Baptist Church","155 Dunlap Dr NE","Christiansburg","VA","24073"
"Goodview Elementary School","1374 Rivermont Academy Rd","Goodview","VA","24095"
"Green Hill Park","2501 Parkside Road","Salem","VA",
"Greenfield","97 Preston Parkway","Troutville","VA","24175"
"GW Carver Elementary","6 East 4th Street","Salem","VA","24153"
"Halifax County High School","1 High School Circle","South Boston","VA","24592"
"Halifax County Middle School","1011 Middle School Circle","South Boston","VA","24592"
"Highland Belle","1972 Big Spring Drive","Lexington","VA","24450"
"Hollins Park","5688 Hollins Road","Roanoke","VA","24019"
"Hollins University","7916 Williamson Road","Roanoke","VA","24012"
"Ingersoll Rand","7500 Shadwell Drive","Roanoke","VA","24019"
"Jackson River Sports Complex","870 Edgemont Drive","Covington","VA","24426"
"Jordan's Point","830 Stono Lane","Lexington","VA","24450"
"Kipps Elementary","2801 Prices Fork Rd","Blacksburg","VA","24060"
"Laurel Park","280 Laurel Park Ave","Martinsville","VA","24112"
"Lawrence","872 Lee Highway","Roanoke","VA","24019"
"Liberty Hall","10 Woods Creek Road","Lexington","VA",
"Maury River Middle School","600 Waddell Street","Lexington","VA","24450"
"Merriman","6600 Merriman Road","Roanoke","VA","24018"
"Montvale Library","11575 W Lynchburg-Salem Turnpike","Montvale","VA","24122"
"Moose Lodge","255 Ridinger Street","Christiansburg","VA","24073"
"New River Community College","5251 College Drive","Dublin","VA","24084"
"Oakeys","834 East Main St","Salem","VA","24153"
"Old Blacksburg High School","520 Patrick Henry Drive","Blacksburg","VA","24060"
"Old Christiansburg Middle School","Depot Street Northwest","Christiansburg","VA","24073"
"Old Dominion Footwear","156 Old Dominion Drive","Madison Heights","VA","24572"
"Peaks View Park","170 Ivy Creek Lane","Lynchburg","VA","24502"
"PYSL (Piedmont)","Overton Street","Martinsville","VA",
"Radford Univ. Cupp Stadium","Radford","VA",,
"Radford Univ. Turf","Radford","VA",,
"Rivers Edge Park","Roanoke","VA",,
"Riverview Park","2510 River Street","Radford","VA",
"Rockbridge Middle School","1200 Sterrett Road","Fairfield","VA","24435"
"Salem Baptist Childrens Home","860 Mount Vernon Lane","Salem","VA","24153"
"Salem High School","400 Spartan Drive","Salem","VA","24153"
