"Home","Away","Age.Group","Field","Gender"
"NVSC 1999 U19 Female CCL","SYA 1999 U19 Female CCL","U19","","Girls"
"FC Richmond 1999 U19 Female CCL","LMVSC 1999 U19 Female CCL","U19","","Girls"
"Beach FC 1999 U19 Female CCL","Fredericksburg FC 1999 U19 Female CCL","U19","","Girls"
"Loudoun 2000 U18 Male CCL","Roanoke Star 2000 U18 Male CCL","U18","","Boys"
"FC Richmond 2000 U18 Male CCL","LMVSC 2000 U18 Male CCL","U18","","Boys"
"Loudoun 2000 U18 Female CCL","Roanoke Star 2000 U18 Female CCL","U18","","Girls"
"Beach FC 2002 U16 Male CCL","Fredericksburg FC 2002 U16 Male CCL","U16","","Boys"
"Virginia Legacy 2003 U15 Male CCL","SOCA 2003 U15 Male CCL","U15","","Boys"
"Virginia Legacy 2003 U15 Female CCL","SOCA 2003 U15 Female CCL","U15","","Girls"
"Virginia Legacy 2004 U14 Male CCL","SOCA 2004 U14 Male CCL","U14","","Boys"
"Virginia Legacy 2004 U14 Female CCL","SOCA 2004 U14 Female CCL","U14","","Girls"
"Virginia Legacy 2005 U13 Male CCL","SOCA 2005 U13 Male CCL","U13","","Boys"
"Virginia Legacy 2005 U13 Female CCL","SOCA 2005 U13 Female CCL","U13","","Girls"
"Virginia Legacy 2006 U12 Male CCL","SOCA 2006 U12 Male CCL","U12","","Boys"
"Virginia Legacy 2006 U12 Female CCL","SOCA 2006 U12 Female CCL","U12","","Girls"
"Virginia Legacy 2007 U11 Male CCL","SOCA 2007 U11 Male CCL","U11","","Boys"
"Virginia Legacy 2007 U11 Female CCL","SOCA 2007 U11 Female CCL","U11","","Girls"
"SYA 1999 U19 Female CCL","Arlington 1999 U19 Female CCL","U19","","Girls"
"McLean 1999 U19 Female CCL","FC Richmond 1999 U19 Female CCL","U19","","Girls"
"McLean 2000 U18 Male CCL","FC Richmond 2000 U18 Male CCL","U18","","Boys"
"Arlington 2000 U18 Female CCL","McLean 2000 U18 Female CCL","U18","","Girls"
"LMVSC 2008 U10 Male CCL","Ellicott City 2008 U10 Male CCL","U10","","Boys"
"LMVSC 2008 U10 Male CCL","Fredericksburg FC 2008 U10 Male CCL","U10","","Boys"
"LMVSC 2008 U10 Male CCL","FCSC United 2008 U10 Male CCL","U10","","Boys"
"LMVSC 2008 U10 Female CCL","Ellicott City 2008 U10 Female CCL","U10","","Girls"
"LMVSC 2008 U10 Female CCL","Fredericksburg FC 2008 U10 Female CCL","U10","","Girls"
"LMVSC 2008 U10 Female CCL","FCSC United 2008 U10 Female CCL","U10","","Girls"
"LMVSC 2009 U09 Male CCL","Ellicott City 2009 U09 Male CCL","U09","","Boys"
"LMVSC 2009 U09 Male CCL","FCSC United 2009 U09 Male CCL","U09","","Boys"
"LMVSC 2009 U09 Female CCL","Ellicott City 2009 U09 Female CCL","U09","","Girls"
"LMVSC 2009 U09 Female CCL","FCSC United 2009 U09 Female CCL","U09","","Girls"
"McLean 2009 U09 Female CCL","SYC 2009 U09 Female CCL","U09","","Girls"
"Fredericksburg FC 1999 U19 Female CCL","Virginia Legacy 1999 U19 Female CCL","U19","","Girls"
"NVSC 1999 U19 Female CCL","Potomac 1999 U19 Female CCL","U19","","Girls"
"SOCA 1999 U19 Female CCL","SYA 1999 U19 Female CCL","U19","","Girls"
"Beach FC 1999 U19 Female CCL","Virginia Legacy 1999 U19 Female CCL","U19","","Girls"
"FC Richmond 1999 U19 Female CCL","Beach FC 1999 U19 Female CCL","U19","","Girls"
"McLean 2000 U18 Male CCL","Roanoke Star 2000 U18 Male CCL","U18","","Boys"
"FC Richmond 2000 U18 Male CCL","Beach FC 2000 U18 Male CCL","U18","","Boys"
"McLean 2000 U18 Female CCL","Roanoke Star 2000 U18 Female CCL","U18","","Girls"
"Fredericksburg FC 2002 U16 Male CCL","Virginia Legacy 2002 U16 Male CCL","U16","","Boys"
"Ellicott City 2004 U14 Female CCL","LMVSC 2004 U14 Female CCL","U14","","Girls"
"Ellicott City 2007 U11 Female CCL","LMVSC 2007 U11 Female CCL","U11","","Girls"
"FCSC United 2008 U10 Male CCL","SYC 2008 U10 Male CCL","U10","","Boys"
"FCSC United 2008 U10 Male CCL","Fredericksburg FC 2008 U10 Male CCL","U10","","Boys"
"LMVSC 2008 U10 Male CCL","NVSC 2008 U10 Male CCL","U10","","Boys"
"FCSC United 2008 U10 Female CCL","SYC 2008 U10 Female CCL","U10","","Girls"
"FCSC United 2008 U10 Female CCL","Fredericksburg FC 2008 U10 Female CCL","U10","","Girls"
"LMVSC 2008 U10 Female CCL","NVSC 2008 U10 Female CCL","U10","","Girls"
"FCSC United 2009 U09 Male CCL","SYC 2009 U09 Male CCL","U09","","Boys"
"LMVSC 2009 U09 Male CCL","NVSC 2009 U09 Male CCL","U09","","Boys"
