"Home","Age.Group","Gender"
"Arlington 2002 U16 Female CCL II","U16","Girls"
"Arlington 2003 U15 Female CCL II","U15","Girls"
"Arlington 2003 U15 Male CCL II","U15","Boys"
"Arlington 2004 U14 Female CCL II","U14","Girls"
"Arlington 2004 U14 Male CCL II","U14","Boys"
"Arlington 2005 U13 Female CCL II","U13","Girls"
"Arlington 2005 U13 Male CCL II","U13","Boys"
"Arlington 2006 U12 Female CCL II","U12","Girls"
"Arlington 2006 U12 Male CCL II","U12","Boys"
"Arlington 2007 U11 Female CCL II","U11","Girls"
"Arlington 2007 U11 Male CCL II","U11","Boys"
"DC Stoddert 2002 U16 Male CCL II","U16","Boys"
"DC Stoddert 2003 U15 Female CCL II","U15","Girls"
"DC Stoddert 2003 U15 Male CCL II","U15","Boys"
"DC Stoddert 2004 U14 Female CCL II","U14","Girls"
"DC Stoddert 2004 U14 Male CCL II","U14","Boys"
"DC Stoddert 2005 U13 Female CCL II","U13","Girls"
"DC Stoddert 2005 U13 Male CCL II","U13","Boys"
"DC Stoddert 2006 U12 Female CCL II","U12","Girls"
"DC Stoddert 2006 U12 Male CCL II","U12","Boys"
"DC Stoddert 2007 U11 Female CCL II","U11","Girls"
"DC Stoddert 2007 U11 Male CCL II","U11","Boys"
"Ellicott City 2002 U16 Female CCL II","U16","Girls"
"Ellicott City 2002 U16 Male CCL II","U16","Boys"
"Ellicott City 2003 U15 Female CCL II","U15","Girls"
"Ellicott City 2003 U15 Male CCL II","U15","Boys"
"Ellicott City 2004 U14 Female CCL II","U14","Girls"
"Ellicott City 2004 U14 Male CCL II","U14","Boys"
"Ellicott City 2005 U13 Female CCL II","U13","Girls"
"Ellicott City 2005 U13 Male CCL II","U13","Boys"
"Ellicott City 2006 U12 Female CCL II","U12","Girls"
"Ellicott City 2006 U12 Male CCL II","U12","Boys"
"Ellicott City 2007 U11 Female CCL II","U11","Girls"
"Ellicott City 2007 U11 Male CCL II","U11","Boys"
"FC Frederick 2002 U16 Male CCL II","U16","Boys"
"FC Frederick 2003 U15 Female CCL II","U15","Girls"
"FC Frederick 2003 U15 Male CCL II","U15","Boys"
"FC Frederick 2004 U14 Female CCL II","U14","Girls"
"FC Frederick 2004 U14 Male CCL II","U14","Boys"
"FC Frederick 2005 U13 Female CCL II","U13","Girls"
"FC Frederick 2005 U13 Male CCL II","U13","Boys"
"FC Frederick 2006 U12 Female CCL II","U12","Girls"
"FC Frederick 2006 U12 Male CCL II","U12","Boys"
"FC Frederick 2007 U11 Female CCL II","U11","Girls"
"FC Frederick 2007 U11 Male CCL II","U11","Boys"
"FCSC United 2002 U16 Female CCL II","U16","Girls"
"FCSC United 2002 U16 Male CCL II","U16","Boys"
"FCSC United 2003 U15 Female CCL II","U15","Girls"
"FCSC United 2003 U15 Male CCL II","U15","Boys"
