"Names","Street Address","City","State","Zip Code"
"--- TBD / Unassigned ---",,,,
"Al Smith Circle Field","225 Al Smith Circle","Berryville","VA","22611"
"Algonkian ES","20196 Carter Court","Sterling","VA","20165"
"Alice Deal",,,,
"Allens Pond Complex","3330 Northview Drive","Bowie","MD","20716"
"Alpha Ridge Park","11600 Old Frederick Rd","Marriottsville","MD","21104"
"Altholton High School","6520 Freetown Road","Columbia","MD","21044"
"Andy Brown","3330 Northview Drive","Bowie","MD","20716"
"Angler Field",,,,
"Annandale HS","4700 Medford Dr","Annandale","VA","22003"
"Annapolis Sports Complex","1411 Cedar Park Road","Annapolis","MD",
"Archbishop Spalding HS","8080 New Cut Road","Severna Park","MD","21144"
"Arcola Comm. Ctr.","Gum Springs Road","Aldie","VA","20105"
"Arcola ES","41740 Tall Cedars Parkway","Aldie","VA","20105"
"Argyle Local Park","1030 Forest Glen Rd","Silver Spring","MD","20901"
"Argyle MS","2400 Bel Pre Rd","Silver Spring","MD","20906"
"Arlington Hall","300 South Taylor Street","Arlington","VA","22204"
"Arrowbrook","2351 Feld Point Rd","Herndon","Va 20171",
"Arrowhead","5200 Arrowhead Park Dr","Centreville","VA","20122"
"Arundel HS","1001 Annapolis Road","Gambrills","MD","21054"
"Arundel MS",,,,
"Athey","7614 Lee Highway","Warrenton","VA","20186"
"Auburn Middle School","7270 Riley Road","Warrenton","VA","20187"
"Auth Village Field","6111 Baxter Drive","Camp Springs","MD",
"Avenel LP","10051 Oaklyn Dr","Potomac","MD","20854"
"Avenel LP","10051 Oaklyn Dr","Potomac","MD","20854"
"Baileys ES Turf","6111 Knollwood Drive","Falls Church","VA","22041"
"Ballanger Creek","MD",,,
"Ballenger Creek","5420 Ballenger Creek Pike","Frederick","MD","21703"
"Ballenger Creek Park","5420 Ballenger Creek Pike","Frederick","MD","21703"
"Banneker MS","14800 Perrywood Drive","Burtonsville","MD","20866"
"Barcroft Soccer Field","4200 S Four Mile Run Drive","Arlington","VA","22204"
"Barnesfield","Barnesfield RD","Chantilly","VA","20151"
"Baron Cameron Park","11300 Baron Cameron Avenue","Reston","VA","20190"
"Barrie Private School","13500 Layhill Road","Silver Spring","MD","20906"
"Barry Farm Recreation Center","1230 Sumner Road SE","Washington","DC","20020"
"Barry Farm Recreation Center","1230 Sumner Road SE","Washington","DC","20020"
"Bates Heritage","121 S Villa Avenue","Annapolis","MD","21401"
"Bates Heritage","121 S Villa Avenue","Annapolis","MD","21401"
"Battlefield Middle School","11120 Leavells Rd","Fredericksburg","VA","22407"
"Beech Tree ES","3401 Beechtree Ln","Falls Church","VA","22042"
"Bell Branch",,,,
"Bell Branch Athletic Complex","2400 Davidsonville Rd","Gambrills","MD","21054"
"Belmont Park","900 Alexis Road","Woodbridge","VA","22191"
"Belmont Ridge MS","19045 Upper Belmont Place","Leesburg","VA","20176"
"Belmont Ridge MS","19045 Upper Belmont Place","Leesburg","VA","20176"
"Belmont Station","20235 Nightwatch Street","Ashburn","VA","20147"
"Ben Brenman Park","4800 Brenman park Drive","Alexandria","VA","22304"
"Benfield Elementary","365 Lynwood Drive","Severna Park","MD","21146"
"Benfield ES","365 Lynwood Rd","Severna Park","MD","21146"
"Benjamin Banneker","6501 N 16th Street","Arlington","VA","22205"
"BGE","9550 HG Trueman Road","Lusby","MD","20657"
"Blandair  Park","7120 Oakland Mills Rd","Columbia","Md 21046",
"Blandair Regional Park # 3","5750 Oakland Mills Rd","Columbia","Md 21046",
"Bles Park","44830 Riverside Parkway","Ashburn","VA","20147"
"Blue Ridge",,,,
"Blueberry Hill","MD",,,
"Bluemont Junction","5900 Wilson Blvd","Arlington","VA","22205"
"Bowie Mill Park","17311 Bowie Mill Road","Derwood","MD","20855"
"Braddock Park","13300 Braddock Rd","Clifton","VA","20124"
"Bradley ES","647 Hastings Lane","Warrenton","VA","20186"
"Brambleton Park","22377 Belmont Ridge Road","Ashburn","VA","20148"
"Bready Park(at Herndon Community Center)","814 Ferndale Ave","Herndon","Va 20170",
"Brenman Park","4800 Brenman park Drive","Alexandria","VA","22304"
"Bretton Woods","15700 River Road","Germantown","MD","20874"
"Briggs Chaney MS #1","1901 Rainbow Dr","Silver Spring","MD","20905"
"Broad Run HS","21670 Ashburn Road","Ashburn","VA","20147"
"Broadneck High School","1265 Green Holly Drive","Annapolis","MD","21409"
"Broadneck Park","699 College Parkway","Annapolis","MD","21409"
"Brookfield","4200 Lees Corner Rd","Chantilly","VA","20151"
"Browns Woods Park","317 Forest Beach Road","Annapolis","MD","21409"
"Bryant Adult Center","2709 Popkins Land","Alexandria","VA","22306"
"Bryant Alt HS","2709 Popkins Lane","Alexandria","VA","22306"
"Bryantown Sports Complex","5665 Bryantown Road","Waldorf","MD","20601"
"Buck Branch Neighborhood Park","8704 Bells Mill Road","Potomac","MD",
"Buck Branch Park","8704 Bells Mill Road","Potomac","MD","20852"
"Buckingham","2800 Barberry Lane","Bowie","MD","20715"
"Bull Run Middle School","6308 Catharpin Rd","Gainesville","VA","20155"
"Bull Run Park","Bull Run Dr","Manassas","VA",
"Bundy Field","429 O Street","NW","Washington","DC"
"Burtonsville ES","15516 Old Columbia Pike","Burtonsville","MD","20866"
"Bush HIll ES","5927 Westchester Street","Alexandria","VA","22310"
"Byrnes Ridge","24915 Mineral Springs Circle","Aldie","VA","20105"
"C. Hunter Ritchie Elementary School","4416 Broad Run Church Road","Warrenton","VA","20187"
"Calverton School","300 Calverton School Road","Huntingtown","MD","20639"
"Camelot ES","8100 Guinevere Dr","Annandale","VA","22003"
"Camp Shoresh","2428 Pleasant View Rd","Adamstown","MD","21710"
"Camp Springs Park","7001 Robinia Road","Temple Hills","MD","20748"
"Capital One","1680 Capital One Drive","McLean","VA","22102"
"Captain James E Daly ES","20301 Brandermill Dr","Germantown","MD","20876"
"Carl Sandburg MS","8428 Fort Hunt Road","Alexandria","VA","22308"
"Carroll County SC","2225 Littlestown Pike","Westminster","MD","21158"
"Carsins Run Turf Farm","500 Carsins Run Road","Aberdeen","MD","21001"
"Carter Baron","16th &amp; Kennedy Street","NW","Washington","DC"
"CCBC Dundalk","7200 Sollers Point Road","Baltimore","MD","21222"
"CCBC Essex","7201 Rossville Blvd","Baltimore","MD","21237"
"Cedar Creek Local Park","13513 Richter Farm Rd","Germantown","MD","20874"
"Cedar Creek Local Park","13513 Richter Farm Rd","Germantown","MD","20874"
"Cedar Lane (Howard Co. East Area)","10725 Rt 108","Columbia","MD","21044"
"Cedar Lane Elementary School-Ashburn","43700 Tolamac Dr","Ashburn","VA","20148"
"Cedar Lane Park","1100 Cedar Lane","Belair","MD","21015"
"Cedar Lane Park","1100 Cedar Lane","Belair","MD","21015"
"Cedar Lane Park","1100 Cedar Lane","Belair","MD","21015"
"Cedar Lane Park","1100 Cedar Lane","Belair","MD","21015"
"Cedar Lane Park","1100 Cedar Lane","Belair","MD","21015"
"Centennial Park West","4651 Centennial Lane","Ellicott City","MD","21042"
"Centerway LP","9551 Centerway Rd","Gaithersburg","MD","20879"
"Centreville High School","6001 Union Mill Rd","Clifton","VA","20124"
"Centreville High School","6001 Union Mill Rd","Clifton","VA","20124"
"Centreville HS","6001 Union Mill Road","Clifton","MD","20124"
"Chancellor Elementary School","5995 Plank Road","Fredericksburg","VA","22407"
"Chancellor Middle School","6320 Harrison Road","Fredericksburg","VA","22407"
"Chancellor Middle School (Fredericksburg","6320 Harrison Rd","Fredericksburg","VA","22407"
"Chancellors Run Reg Park","21905 Chancellors Run Road","Great Mills","MD","20634"
"Chantilly High School","4201 Stringfellow Road","Chantilly","VA","20151"
"Chaptico Park","26600 Budds Creek Road","Mechanicsville","MD","20659"
"Cherry Run ES","9732 Ironmaster Dr","Burke","VA","22015"
"Chesterbrook Academy","3753 Centreview Drive","Chantilly","VA","20151"
"Chesterbrook ES","1753 Kirby Rd","McLean","VA",
"Chesterfield","4901 S Chesterfield Rd","Arlington","VA","22206"
"Chinn Park","Chinn Park Road","Dale City","VA","22193"
"Christendom College","134 Christendom Drive","Front Royal","VA","22630"
"Church by the Chesapeake","3255 broomes island road","port republic","md 20676",
"Church by the Chesapeake","3255 broomes island road","port republic","md 20676",
"Church by the Chesapeake","3255 broomes island road","port republic","md 20676",
"Church Road","2112 Church Road","Bowie","MD","20716"
"Clarks Crossing","9850 Clarks Crossing Rd","Vienna","VA","22182"
"Clarksburg Village LP","12520 Blue Sky Dr","Clarksburg","MD","20871"
"Clear Spring LP","20301 Brandermill Drive","Germantown","MD","20876"
"Clearview ES","12635 Builders Rd","Herndon","VA","20170"
"Clermont ES","5720 Clermont Drive","Alexandria","VA","22310"
"College Park Community Center","50151 Pierce Avenue","College Park","MD","20740"
"Colonial Forge HS","550 Courthouse Road","Stafford","VA","22554"
"Colvin Run ES","1400 Trap Road","Vienna","VA","22182"
"Concord LP","7210 Hidden Creek Rd","Bethesda","MD","20817"
"Congressional School","3229 Sleepy Hollow Rd","Falls Church","Va 22042",
"Conklin Park","25701 Donegal Drive","Chantilly","VA","20152"
"Cooper MS","977 Balls Hill Rd","McLean","VA","22101"
"Courthouse Community Center","29 Stafford Avenue","Stafford","VA","22554"
"Covanent Park",,,,
"Cove Point Park","750 Cove Point Road","Lusby","MD","20657"
"Covenant Park","4560 Centennial Lane","Ellicott City","MD","21042"
"Covenant Park","4560 Centennial Lane","Ellicott City","MD","21042"
"Cranes Lane","200 Cranes Lane","Ranson","WV","25438"
"Cranes Lane Park","595 Cranes Lane","Ranson","WV","25438"
"Crofton Meadows ES","2020 Tilghman Drive","Crofton","MD","21114"
"Cross Creek Club Park","3530 Briggs Chaney Rd","Silver Spring","MD","20904"
"Cross Creek Community Park","3530 Briggs Chaney Rd","Silver Spring","MD","20904"
"Crossfield ES","2791 Fox Mill Rd","Herndon","VA","20191"
"Crownsville Hospital","105 Circle Dr","Crownsville","MD","21032"
"Culpeper Complex","Greens Corner Road and Cyclone Way","Culpeper","VA","22701"
"Culpeper Complex","Greens Corner Road and Cyclone Way","Culpeper","VA","22701"
"Curtis Park","58 Jesse Curtis Ln","Fredericksburg","VA","22406"
"Damascus Reg Park","23723 Kings Valley Road","Damascus","MD","20872"
"Darnestown LP","14211 Darnestown Road","Darnestown","MD","20878"
"Davidsonville Elementary School","962 Central Avenue","Davidsonville","MD","21035"
"Davidsonville Park","3042 Patuxent River Road","Davidsonville","MD","21035"
"Davidsonville Park","3042 Patuxent River Road","Davidsonville","MD","21035"
"Davidsonville Ruritan","3358 Davidsonville Rd","Davidsonville","MD","21035"
"Dayton Oaks Park","4691 Ten Oaks Road","Dayton","MD","21036"
"Deer Park","637 Deer Park Rd","Westminster","MD","21157"
"Deer Park ES","Lyons Mill Rd","east of Marriottsville Rd","Randallstown","MD"
"Dickinson Field","7455 Edenbrook Drive","Columbia","MD","21046"
"Dickinson Park","7455 Eden Brook Drive","Columbia","MD","21046"
"Dixon Park","1300 Dixon Street","Fredericksburg","VA","22401"
"Dr Henry A Wise High School","12650 Brooke Ln,","Upper Marlboro","MD","20772"
"Draper Drive Park","9797 Beech Drive","Fairfax","VA","22031"
"Duff Green Park","75 James Ashby Pkwy","Fredericksburg","VA","22405"
"Dufief LP","11336 Brandyhall Lane","Darnestown","MD","20878"
"Dufief LP #1","15001 Dufief Drive","Gaithersburg","MD","20878"
"Dunkirk District Park","10750 Southern Maryland Blvd (MD Rt 4)","Dunkirk","MD","20754"
"Dunn Loring","2334 Gallows Rd","Dunn Loring","VA","22027"
"Dupont Soccer Complex","159 Dupont rd","Martinsburg","wv",
"Dupont Soccer Complex","159 Dupont rd","Martinsburg","wv",
"Eagle Ridge MS","42901 Waxpool Rd","Broadlands","VA","20148"
"Eagle View ES","4500 Dixie Hill Road","Fairfax","VA","22030"
"East Columbia Library","6600 Cradlerock Way","Columbia","MD","21045"
"Eastern High School","1700 East Capitol St NE","Washington","DC","20003"
"Eastern Regional Park","11723 Eastern Avenue","Baltimore","MD","21220"
"Eastgate Park","43664 Tall Cedars Parkway","Chantilly","VA",
"EC Lawrence Park","Sully Rd / Route 28","Centreville","VA","20120"
