"Home","Away","Field"
"CFC 06B Red (Red Stars) U12 Boys NCSL","GSC United Red 06 U12 Boys NCSL",
"DCST White Metros U12 Boys NCSL","GSC United Red 06 U12 Boys NCSL",
"FRED FC Frederick '06 Royal II U12 Boys NCSL","SMS Scorpions Classic U12 Boys NCSL",
"FTSC Future Monarchs Black '02B U16 Boys NCSL","REST 02 Cyclones U16 Boys NCSL",
"GSC United Red 06 U12 Boys NCSL","PAC Elite 06 Navy U12 Boys NCSL",
"GSC United Red 06 U12 Boys NCSL","POT Black 06 U12 Boys NCSL",
"GSC United Red 06 U12 Boys NCSL","FPYC United Gold 06 U12 Boys NCSL",
"GSC United Red 06 U12 Boys NCSL","SYA Cardinals '06 Black U12 Boys NCSL",
"GSC United Red 06 U12 Boys NCSL","LOUD 06B Silver U12 Boys NCSL",
"VYS 06B White U12 Boys NCSL","GSC United Red 06 U12 Boys NCSL",
"VYS 06B Black U12 Boys NCSL","GSC United Red 06 U12 Boys NCSL",
