"Home","Age Group","Gender"
"ABGC AUFC 08B Red U10 Boys ODSL","U10","Boys"
"ABGC United 03G U16 Girls ODSL","U16","Girls"
"ABGC United 09G U09 Girls ODSL","U09","Girls"
"ABGC United Black 06 U12 Boys ODSL","U12","Boys"
"ABGC United FC Red 07B U11 Boys ODSL","U11","Boys"
"ALEX 03 Boys Blue U16 Boys ODSL","U16","Boys"
"ALEX 05 Boys Black U13 Boys ODSL","U13","Boys"
"ALEX 05 Girls Blue U13 Girls ODSL","U13","Girls"
"ALEX 06 Boys Black U12 Boys ODSL","U12","Boys"
"ALEX 07 Boys Black U11 Boys ODSL","U11","Boys"
"ALEX 07 Girls Blue U11 Girls ODSL","U11","Girls"
"ALEX 08 Boys Black U10 Boys ODSL","U10","Boys"
"ALEX 08 Boys Silver U10 Boys ODSL","U10","Boys"
"ALEX 08 Girls Blue U10 Girls ODSL","U10","Girls"
"ALEX 09 Boys Black U09 Boys ODSL","U09","Boys"
"ALEX 09 Boys Silver U09 Boys ODSL","U09","Boys"
"ALEX 09 Girls Blue U09 Girls ODSL","U09","Girls"
"ARL 06G Silver U12 Girls ODSL","U12","Girls"
"ARL 07B Gold U11 Boys ODSL","U11","Boys"
"ARL 07B Silver U11 Boys ODSL","U11","Boys"
"ARL 07G Gold U11 Girls ODSL","U11","Girls"
"ARL 07G Silver U11 Girls ODSL","U11","Girls"
"ARL 08B Gold U10 Boys ODSL","U10","Boys"
"ARL 08B Silver U10 Boys ODSL","U10","Boys"
"ARL 08G Gold U10 Girls ODSL","U10","Girls"
"ARL 08G Silver U10 Girls ODSL","U10","Girls"
"ARL 09B Gold U09 Boys ODSL","U09","Boys"
"ARL 09B Silver U09 Boys ODSL","U09","Boys"
"ARL 09G Gold U09 Girls ODSL","U09","Girls"
"ARL 09G Silver U09 Girls ODSL","U09","Girls"
"BRYC Blaze U12 Boys ODSL","U12","Boys"
"BRYC Bulldogs U12 Boys ODSL","U12","Boys"
"BRYC Dragons U09 Boys ODSL","U09","Boys"
"BRYC Fireballs U11 Boys ODSL","U11","Boys"
"BRYC Fireballs U12 Girls ODSL","U12","Girls"
"BRYC Griffins U11 Girls ODSL","U11","Girls"
"BRYC Lightning Bolts U09 Girls ODSL","U09","Girls"
"BRYC Lightning U10 Girls ODSL","U10","Girls"
"BRYC Phoenix U11 Girls ODSL","U11","Girls"
"BRYC Promise U13 Girls ODSL","U13","Girls"
"BRYC Shooting Stars U09 Girls ODSL","U09","Girls"
"BRYC Spirit U10 Girls ODSL","U10","Girls"
"BRYC Stars U12 Girls ODSL","U12","Girls"
"BRYC Thunder U10 Boys ODSL","U10","Boys"
"BRYC TigerSharks U10 Boys ODSL","U10","Boys"
"BRYC Tornados U12 Girls ODSL","U12","Girls"
"BRYC United U13 Boys ODSL","U13","Boys"
"CCS FC Fury U13 Girls ODSL","U13","Girls"
"CFC 03G Soth U16 Girls ODSL","U16","Girls"
"CFC 05G Red U13 Girls ODSL","U13","Girls"
"CFC 06G White U12 Girls ODSL","U12","Girls"
"CFC 07B Red U11 Boys ODSL","U11","Boys"
"CFC 07B White U11 Boys ODSL","U11","Boys"
"CFC 08B Red U10 Boys ODSL","U10","Boys"
"CFC 08G White U10 Girls ODSL","U10","Girls"
"CFC 09B White U09 Boys ODSL","U09","Boys"
"CHAN Spirit 03 Blue U16 Girls ODSL","U16","Girls"
"CHAN United 01 U19 Boys ODSL","U19","Boys"
"CULP CSC Comets 04B U14 Boys ODSL","U14","Boys"
"CULP CSC Comets 06G U12 Girls ODSL","U12","Girls"
"CULP CSC Comets 07G U11 Girls ODSL","U11","Girls"
"CULP CSC Comets 08B U10 Boys ODSL","U10","Boys"
"CVFC Silver U11 Boys ODSL","U11","Boys"
"CYC Cougars 04B Royal U14 Boys ODSL","U14","Boys"
"CYC Cougars 04G U14 Girls ODSL","U14","Girls"
"DFC Loudoun Timberwolves U14 Boys ODSL","U14","Boys"
"DFC Scorpions U13 Boys ODSL","U13","Boys"
"DFC United U14 Girls ODSL","U14","Girls"
"DFC Western Loudoun United U14 Boys ODSL","U14","Boys"
"EPIC Blue U14 Girls ODSL","U14","Girls"
"FCVA FCV Elite U09 Boys ODSL","U09","Boys"
"FFC 01 Boys Red U19 Boys ODSL","U19","Boys"
"FRED '06 Gray U12 Boys ODSL","U12","Boys"
"FRED 04 Royal II U14 Girls ODSL","U14","Girls"
"FRED FC Frederick �07 White U11 Girls ODSL","U11","Girls"
"FRSA ROX 07B Blue U11 Boys ODSL","U11","Boys"
"FRSA ROX 07G Blue U11 Girls ODSL","U11","Girls"
"FRSA ROX 08B Blue U10 Boys ODSL","U10","Boys"
"FRSA ROX 99G Blue U19 Girls ODSL","U19","Girls"
"FSCI Academy FC United U19 Boys ODSL","U19","Boys"
"FSCI Vasquez Academy 06 U12 Boys ODSL","U12","Boys"
"GRFL 06 Force U12 Boys ODSL","U12","Boys"
"GRFL 07 Verona U11 Boys ODSL","U11","Boys"
"GRFL 08 Lazio White U10 Boys ODSL","U10","Boys"
"GSC 03 Girls U16 Girls ODSL","U16","Girls"
