"Home","Away","Field","Age.Group","Gender"
"AYSO Arsenal U09 Boys TASL","WBSC Strikers U09 Boys TASL","AYSO Cornland Park Field 3","U09","Boys"
"Beach FC Lightning U09 Boys TASL","TSA City U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"TSA City U09 Boys TASL","CSC Fusion U09 Boys TASL","Wahrill Soccer Complex Field 2","U09","Boys"
"CUSC Vipers U09 Boys TASL","WBSC Strikers U09 Boys TASL","Centerville Compex 9B","U09","Boys"
"WBSC Strikers U09 Boys TASL","Beach FC Lightning U09 Boys TASL","Joliff Middle School Field 3","U09","Boys"
"WBSC Strikers U09 Boys TASL","Beach FC Tsunami U09 Boys TASL","Joliff Middle School Field 3","U09","Boys"
"CSC Fusion U09 Boys TASL","WBSC Strikers U09 Boys TASL","Centerville Complex Field 7b","U09","Boys"
"TSA City U09 Boys TASL","Beach FC Tsunami U09 Boys TASL","Wahrill Soccer Complex Field 2","U09","Boys"
"Beach FC Tsunami U09 Boys TASL","CUSC Vipers U09 Boys TASL","Hampton Roads Soccer Complex Field 18A","U09","Boys"
"WBSC Strikers U09 Boys TASL","Beach FC Lightning U09 Boys TASL","Joliff Middle School Field 3","U09","Boys"
"Beach FC Tsunami U09 Boys TASL","CSC Fusion U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"TSA City U09 Boys TASL","WBSC Strikers U09 Boys TASL","Wahrill Soccer Complex Field 2","U09","Boys"
"WBSC Strikers U09 Boys TASL","CUSC Vipers U09 Boys TASL","Joliff Middle School Field 3","U09","Boys"
"CSC Fusion U09 Boys TASL","TSA City U09 Boys TASL","Centerville Complex Field 7b","U09","Boys"
"Beach FC Tsunami U09 Boys TASL","WBSC Strikers U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"CUSC Vipers U09 Boys TASL","CSC Fusion U09 Boys TASL","Centerville Compex 9B","U09","Boys"
"CSC Fusion U09 Boys TASL","Beach FC Tsunami U09 Boys TASL","Centerville Complex Field 7b","U09","Boys"
"CUSC Vipers U09 Boys TASL","TSA City U09 Boys TASL","Centerville Complex Field 7b","U09","Boys"
"Beach FC Tsunami U09 Boys TASL","Beach FC Lightning U09 Boys TASL","Hampton Roads Soccer Complex Field 18A","U09","Boys"
"CSC Fusion U09 Boys TASL","CUSC Vipers U09 Boys TASL","Centerville Complex Field 7b","U09","Boys"
"Beach FC Lightning U09 Boys TASL","CUSC Vipers U09 Boys TASL","Hampton Roads Soccer Complex Field 18A","U09","Boys"
"Beach FC Lightning U09 Boys TASL","CSC Fusion U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"CUSC Vipers U09 Boys TASL","TSA City U09 Boys TASL","Centerville Compex 9B","U09","Boys"
"Beach FC Lightning U09 Boys TASL","Beach FC Tsunami U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"TSA City U09 Boys TASL","Beach FC Lightning U09 Boys TASL","Wahrill Soccer Complex Field 2","U09","Boys"
"CUSC The Jedis U09 Boys TASL","CSL Dragons U09 Boys TASL","Centerville Compex 9B","U09","Boys"
"Beach FC Fire U09 Boys TASL","CSL Dragons U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"Suffolk Icepacks U09 Boys TASL","CSL Dragons U09 Boys TASL","SYAA Field 7","U09","Boys"
"Suffolk Icepacks U09 Boys TASL","Beach FC Fire U09 Boys TASL","SYAA Field 7","U09","Boys"
"CSL Dragons U09 Boys TASL","Portsmouth Ecudor U09 Boys TASL","Churchland Park Field  6","U09","Boys"
"CUSC The Jedis U09 Boys TASL","Beach FC Fire U09 Boys TASL","Centerville Compex 9B","U09","Boys"
"Portsmouth Ecudor U09 Boys TASL","Beach FC Timbers U09 Boys TASL","John Tyler Complex Field 3","U09","Boys"
"Suffolk Icepacks U09 Boys TASL","CUSC The Jedis U09 Boys TASL","SYAA Field 7","U09","Boys"
"Beach FC Timbers U09 Boys TASL","Beach FC Fire U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"Portsmouth Ecudor U09 Boys TASL","Suffolk Icepacks U09 Boys TASL","John Tyler Complex Field 3","U09","Boys"
"Beach FC Fire U09 Boys TASL","Portsmouth Ecudor U09 Boys TASL","Hampton Roads Soccer Complex Field 18A","U09","Boys"
"CSL Dragons U09 Boys TASL","Beach FC Timbers U09 Boys TASL","Churchland Park Field  6","U09","Boys"
"CUSC The Jedis U09 Boys TASL","Portsmouth Ecudor U09 Boys TASL","Centerville Compex 9B","U09","Boys"
"CSL Dragons U09 Boys TASL","Portsmouth Ecudor U09 Boys TASL","Churchland Park Field  6","U09","Boys"
"Beach FC Timbers U09 Boys TASL","Suffolk Icepacks U09 Boys TASL","Hampton Roads Soccer Complex Field 18A","U09","Boys"
"Beach FC Timbers U09 Boys TASL","Suffolk Icepacks U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"CUSC The Jedis U09 Boys TASL","Beach FC Timbers U09 Boys TASL","Centerville Compex 9B","U09","Boys"
"Beach FC Timbers U09 Boys TASL","Suffolk Icepacks U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"Beach FC Fire U09 Boys TASL","CSL Dragons U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"CSL Dragons U09 Boys TASL","CUSC The Jedis U09 Boys TASL","Churchland Park Field  6","U09","Boys"
"CUSC The Jedis U09 Boys TASL","Beach FC Timbers U09 Boys TASL","Centerville Compex 9B","U09","Boys"
"Suffolk Icepacks U09 Boys TASL","Beach FC Fire U09 Boys TASL","SYAA Field 7","U09","Boys"
"Beach FC Fire U09 Boys TASL","CUSC The Jedis U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"TSA United U09 Boys TASL","Beach FC Rapids U09 Boys TASL","Wahrill Soccer Complex Field 2","U09","Boys"
"Beach FC Revolution U09 Boys TASL","TSA United U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"Beach FC Impact U09 Boys TASL","TSA United U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"Beach FC Impact U09 Boys TASL","Beach FC Revolution U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"Beach FC Rapids U09 Boys TASL","Beach FC Impact U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"TSA United U09 Boys TASL","Beach FC Impact U09 Boys TASL","Wahrill Soccer Complex Field 2","U09","Boys"
"Beach FC Revolution U09 Boys TASL","Beach FC Rapids U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"Beach FC Impact U09 Boys TASL","Smithfield Arsenal U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"Beach FC Revolution U09 Boys TASL","Beach FC Impact U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"TSA United U09 Boys TASL","Beach FC Revolution U09 Boys TASL","Wahrill Soccer Complex Field 2","U09","Boys"
"Beach FC Impact U09 Boys TASL","Beach FC Rapids U09 Boys TASL","Hampton Roads Soccer Complex Field 18A","U09","Boys"
"Smithfield Arsenal U09 Boys TASL","TSA United U09 Boys TASL","Carrollton Nike Park  1","U09","Boys"
"Beach FC Impact U09 Boys TASL","Smithfield Arsenal U09 Boys TASL","Hampton Roads Soccer Complex Field 18A","U09","Boys"
"Beach FC Rapids U09 Boys TASL","Smithfield Arsenal U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"Smithfield Arsenal U09 Boys TASL","TSA United U09 Boys TASL","Carrollton Nike Park  1","U09","Boys"
"Beach FC Revolution U09 Boys TASL","Smithfield Arsenal U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"Smithfield Arsenal U09 Boys TASL","Beach FC Revolution U09 Boys TASL","Carrollton Nike Park  1","U09","Boys"
"Beach FC Rapids U09 Boys TASL","TSA United U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"Smithfield Arsenal U09 Boys TASL","Beach FC Rapids U09 Boys TASL","Carrollton Nike Park  1","U09","Boys"
"Beach FC Rapids U09 Boys TASL","Beach FC Revolution U09 Boys TASL","Hampton Roads Soccer Complex Field 18B","U09","Boys"
"CSL Wolverines U10 Boys TASL","Beach FC Ghent Racers U10 Boys TASL","Churchland Park Field  6","U10","Boys"
"Smithfield Flames U10 Boys TASL","Suffolk Rampage U10 Boys TASL","Carrollton Nike Park  1","U10","Boys"
"Suffolk Rampage U10 Boys TASL","Beach FC Ghent Racers U10 Boys TASL","SYAA Field 7","U10","Boys"
"Smithfield Flames U10 Boys TASL","CSC Avengers U10 Boys TASL","Carrollton Nike Park  1","U10","Boys"
"CSC Avengers U10 Boys TASL","Suffolk Rampage U10 Boys TASL","Centerville Complex Field 7b","U10","Boys"
"Beach FC Ghent Racers U10 Boys TASL","CSC Avengers U10 Boys TASL","Lake Taylor Soccer Complex Field 13","U10","Boys"
"CSL Wolverines U10 Boys TASL","Suffolk Rampage U10 Boys TASL","Churchland Park Field  6","U10","Boys"
"CSC Avengers U10 Boys TASL","CSL Wolverines U10 Boys TASL","Centerville Complex Field 7b","U10","Boys"
"Suffolk Rampage U10 Boys TASL","CSL Wolverines U10 Boys TASL","SYAA Field 7","U10","Boys"
"Suffolk Rampage U10 Boys TASL","CSC Avengers U10 Boys TASL","SYAA Field 7","U10","Boys"
"CSC Avengers U10 Boys TASL","Beach FC Ghent Racers U10 Boys TASL","Centerville Complex Field 7b","U10","Boys"
