"Team","Age.Group","Gender"
"AYSO Arsenal","U09","Boys"
"AYSO Arsenal","U10","Boys"
"AYSO Arsenal","U11","Boys"
"AYSO Arsenal","U13","Boys"
"AYSO Arsenal","U09","Girls"
"AYSO Arsenal","U11","Girls"
"Beach FC Arsenal","U15","Boys"
"Beach FC Avalanche","U13","Boys"
"Beach FC Backdraft","U18","Boys"
"Beach FC Black Mambas","U15","Boys"
"Beach FC Bull Sharks","U12","Boys"
"Beach FC Cannon","U14","Boys"
"Beach FC Chelsea","U14","Boys"
"Beach FC Coastal Kickers","U12","Boys"
"Beach FC Crazy Cleats","U13","Girls"
"Beach FC Crush","U16","Girls"
"Beach FC Destroyers","U15","Boys"
"Beach FC Dragons","U11","Boys"
"Beach FC Dragons","U12","Boys"
"Beach FC Dynamo","U14","Boys"
"Beach FC Fire","U09","Boys"
"Beach FC Fire","U10","Boys"
"Beach FC Fire","U12","Girls"
"Beach FC Fire","U13","Girls"
"Beach FC Fire Cats","U14","Girls"
"Beach FC Flames","U13","Boys"
"Beach FC Flames","U09","Girls"
"Beach FC Fury","U10","Girls"
"Beach FC Fusion","U13","Boys"
"Beach FC Fusion","U14","Boys"
"Beach FC Fusion","U12","Girls"
"Beach FC Galaxy","U14","Boys"
"Beach FC Ghent Racers","U10","Boys"
"Beach FC Ghent Racers","U12","Boys"
"Beach FC Griffons","U11","Girls"
"Beach FC HERicanes","U19","Girls"
"Beach FC Hornets","U15","Boys"
"Beach FC Hurricanes","U18","Boys"
"Beach FC Hurricanes","U14","Girls"
"Beach FC Impact","U09","Boys"
"Beach FC Lady Arsenal","U16","Girls"
"Beach FC Ladybugs","U11","Girls"
"Beach FC Larchmont United","U18","Boys"
"Beach FC Legends","U18","Boys"
"Beach FC Lightning","U09","Boys"
"Beach FC Lions","U13","Boys"
"Beach FC Matrix","U13","Boys"
"Beach FC Mavericks","U16","Girls"
"Beach FC Ninjas","U11","Boys"
"Beach FC Norfolk Fury","U12","Girls"
"Beach FC Norfolk Pilots","U19","Boys"
"Beach FC Norfolk Raptors","U13","Boys"
"Beach FC Norfolk United","U15","Boys"
"Beach FC Panthers","U15","Boys"
"Beach FC Panthers","U14","Girls"
"Beach FC Panthers 99","U19","Boys"
"Beach FC Phoenix","U13","Girls"
"Beach FC Pride","U10","Boys"
"Beach FC Rapids","U09","Boys"
"Beach FC Raptors","U11","Boys"
"Beach FC Raptors","U12","Boys"
"Beach FC Rays","U13","Girls"
"Beach FC Revolution","U09","Boys"
"Beach FC Riptide","U16","Girls"
"Beach FC Riptides","U19","Girls"
"Beach FC Rockets","U12","Girls"
"Beach FC Scorpions","U11","Boys"
"Beach FC Sharks","U13","Boys"
"Beach FC Sonics","U12","Boys"
"Beach FC Spirit","U14","Girls"
"Beach FC St Greg Saints","U13","Boys"
"Beach FC St Patrick Wolfhounds N","U10","Boys"
"Beach FC Sting","U12","Boys"
"Beach FC Stingrays","U13","Boys"
"Beach FC Storm","U13","Girls"
"Beach FC Strikers","U11","Boys"
"Beach FC Strikers","U12","Boys"
"Beach FC Strikers","U14","Boys"
"Beach FC Strikers","U15","Boys"
"Beach FC Strikers","U19","Boys"
"Beach FC Strikers","U16","Girls"
"Beach FC Strikers 2","U11","Boys"
"Beach FC Team United","U16","Boys"
"Beach FC Thunder","U11","Boys"
"Beach FC Tidal Wave","U16","Boys"
"Beach FC Timbers","U09","Boys"
"Beach FC Titans","U12","Boys"
"Beach FC Tornadoes","U11","Girls"
"Beach FC Tsunami","U09","Boys"
"Beach FC Twisters","U19","Girls"
"Beach FC United","U10","Boys"
"Beach FC United","U19","Boys"
"Beach FC United","U16","Girls"
"Beach FC VA Rovers FC","U14","Boys"
"Beach FC Warriors United","U15","Boys"
"Carolina Explosions","U15","Boys"
"Carolina Lightning","U11","Boys"
"Carolina Lightning","U13","Girls"
"Carolina Red Wolves","U13","Boys"
"CSC Avengers","U10","Boys"
"CSC Freedom","U13","Boys"
"CSC Fusion","U09","Boys"
"CSC Griffins","U15","Boys"
"CSC Hawks","U11","Boys"
"CSC Mutiny","U12","Boys"
"CSC Sharknados","U12","Girls"
"CSL Avengers","U11","Boys"
"CSL Blackjacks","U18","Boys"
"CSL Challengers","U11","Boys"
"CSL Dragons","U09","Boys"
"CSL Famous Strikers","U11","Boys"
"CSL Flash","U13","Girls"
"CSL Hurricanes","U14","Boys"
"CSL Impact","U19","Boys"
"CSL Inferno","U16","Girls"
"CSL Orangemen","U12","Boys"
"CSL Sparks Orange","U10","Girls"
"CSL Sparks White","U10","Girls"
"CSL Stingrays","U13","Boys"
"CSL Storm","U15","Boys"
"CSL Thunderbolts","U10","Boys"
"CSL Tornadoes","U14","Boys"
"CSL United","U19","Boys"
"CSL Wolverines","U10","Boys"
"CUSC 06G Blue Waves","U12","Girls"
"CUSC Black","U09","Girls"
"CUSC Black","U10","Girls"
"CUSC Blues","U12","Boys"
"CUSC Fire","U16","Girls"
"CUSC Galaxy","U19","Boys"
"CUSC Hurricanes","U19","Girls"
"CUSC Panthers","U11","Boys"
"CUSC Revolution","U16","Boys"
"CUSC Sharks","U15","Boys"
"CUSC Strikers","U10","Boys"
"CUSC The Jedis","U09","Boys"
"CUSC Vipers","U09","Boys"
"Franklin Fire SC Fire","U14","Boys"
"Franklin Fire SC Fire","U16","Boys"
"Franklin Fire SC Fire","U18","Boys"
"Portsmouth Commodores","U12","Boys"
"Portsmouth Ecudor","U09","Boys"
"Portsmouth Ecudor","U10","Boys"
"Portsmouth Hornets","U10","Boys"
"Portsmouth Los Diablos","U18","Boys"
"Portsmouth Menace FC","U14","Boys"
"Smithfield Arsenal","U09","Boys"
"Smithfield Firestars","U11","Girls"
"Smithfield Firestorm","U19","Girls"
"Smithfield Flames","U10","Boys"
"Smithfield Hotshots","U15","Boys"
"Smithfield Inferno","U18","Boys"
"Smithfield Inferno","U13","Girls"
"Smithfield Sparks","U09","Girls"
"Smithfield ViP Sirens","U16","Girls"
"Suffolk Arsenal","U11","Boys"
"Suffolk Fury","U10","Girls"
"Suffolk Icepacks","U09","Boys"
"Suffolk Knights","U13","Boys"
"Suffolk Rampage","U10","Boys"
"Suffolk Revolution","U16","Boys"
