"Home","Away","Field","Age.Group","Gender"
"BEACHFC 08B RED RONALDO U10 Boys VSL","OBX STORM ACADEMY AJAX U10 Boys VSL","HRSC 18C","U10","Boys"
"TIDEWATER SHARKS 2008 UNITED U10 Boys VSL","CUSC 2008 BLACK U10 Boys VSL","Warhill Sports Complex #1","U10","Boys"
"DYNAMO SC 08B GREY U10 Boys VSL","VIP UNITED FC RED U10 Boys VSL","Courthouse Park 1B","U10","Boys"
"TIDEWATER SHARKS 2008 CITY U10 Boys VSL","YORKTOWN FC 08 PATRIOTS U10 Boys VSL","Warhill-8v8 GRASS #3","U10","Boys"
"BEACH FC 08B RED MESSI U10 Boys VSL","BEACHFC 08B RED NEYMAR U10 Boys VSL","HRSC 4B","U10","Boys"
"TIDEWATER SHARKS 2008 UNITED U10 Boys VSL","CUSC 2008 BLACK U10 Boys VSL","Warhill Sports Complex #2","U10","Boys"
"DYNAMO SC 08B WHITE U10 Boys VSL","VIRGINIA LEGACY SC PENINSULA WIZARDS U10 Boys VSL","Courthouse Park 1B","U10","Boys"
"VIRGINIA LEGACY SC WILLIAMSBURG WIZARDS BLACK U10 Boys VSL","VIRGINIA LEGACY SC WILLIAMSBURG WIZARDS GREEN U10 Boys VSL","Warhill-8v8 GRASS #3","U10","Boys"
"BEACHFC 08B BLACK DYBALA U10 Boys VSL","VA RUSH 08B BLACK SAMBA U10 Boys VSL","HRSC 4B","U10","Boys"
"VA RUSH 08 BLACK COPA U10 Boys VSL","BEACHFC 08B BLACK POGBA U10 Boys VSL","Rave #5","U10","Boys"
"VIRGINIA BEACH CITY FC 08 ACADEMY II U10 Boys VSL","BEACHFC 08B BLACK GRIEZMANN U10 Boys VSL","Norfolk Collegiate Lower School #1","U10","Boys"
"VA RUSH 08B BLUE COPA U10 Boys VSL","VA RUSH 08B BLUE SAMBA U10 Boys VSL","Rave #5","U10","Boys"
"YORKTOWN FC ARTILLERY U10 Boys VSL","BAYSTARS FC MANTARAYS U10 Boys VSL","MCREYNOLDS ATHLETIC COMPLEX (MAC) #3","U10","Boys"
"BEACHFC 08B RED NEYMAR U10 Boys VSL","BEACHFC 08B RED RONALDO U10 Boys VSL","HRSC 4B","U10","Boys"
"OBX STORM ACADEMY AJAX U10 Boys VSL","TIDEWATER SHARKS 2008 UNITED U10 Boys VSL","Nags Head Soccer Complex #1","U10","Boys"
"VIRGINIA BEACH CITY FC 08 ACADEMY I U10 Boys VSL","BEACH FC 08B RED MESSI U10 Boys VSL","Norfolk Collegiate Lower School #1","U10","Boys"
"YORKTOWN FC 08 PATRIOTS U10 Boys VSL","VIRGINIA LEGACY SC WILLIAMSBURG WIZARDS BLACK U10 Boys VSL","MCREYNOLDS ATHLETIC COMPLEX (MAC) #3","U10","Boys"
"VA RUSH 08 BLACK COPA U10 Boys VSL","BEACHFC 08B BLACK DYBALA U10 Boys VSL","HRSC 18C","U10","Boys"
"BEACHFC 08B BLACK GRIEZMANN U10 Boys VSL","BEACHFC 08B BLACK POGBA U10 Boys VSL","HRSC 4B","U10","Boys"
"VA RUSH 08B BLACK SAMBA U10 Boys VSL","VIRGINIA BEACH CITY FC 08 ACADEMY II U10 Boys VSL","HRSC 18C","U10","Boys"
"BAYSTARS FC MANTARAYS U10 Boys VSL","VA RUSH 08B BLUE SAMBA U10 Boys VSL","BETHEL ELEMENTARY #3","U10","Boys"
"YORKTOWN FC ARTILLERY U10 Boys VSL","VA RUSH 08B BLUE COPA U10 Boys VSL","MCREYNOLDS ATHLETIC COMPLEX (MAC) #3","U10","Boys"
"VIRGINIA LEGACY SC WILLIAMSBURG WIZARDS BLACK U10 Boys VSL","VIP UNITED FC RED U10 Boys VSL","Warhill-8v8 GRASS #3","U10","Boys"
"VA RUSH 08B BLUE COPA U10 Boys VSL","YORKTOWN FC ARTILLERY U10 Boys VSL","HRSC 4B","U10","Boys"
"CUSC 2008 BLACK U10 Boys VSL","VIRGINIA BEACH CITY FC 08 ACADEMY I U10 Boys VSL","Centerville Athletic Complex 9A","U10","Boys"
"YORKTOWN FC 08 PATRIOTS U10 Boys VSL","DYNAMO SC 08B WHITE U10 Boys VSL","MCREYNOLDS ATHLETIC COMPLEX (MAC) #3","U10","Boys"
"DYNAMO SC 08B GREY U10 Boys VSL","TIDEWATER SHARKS 2008 CITY U10 Boys VSL","Courthouse Park 1B","U10","Boys"
"VIRGINIA LEGACY SC WILLIAMSBURG WIZARDS GREEN U10 Boys VSL","VIRGINIA LEGACY SC PENINSULA WIZARDS U10 Boys VSL","Warhill-8v8 GRASS #3","U10","Boys"
"VIRGINIA BEACH CITY FC 08 ACADEMY II U10 Boys VSL","BEACHFC 08B BLACK DYBALA U10 Boys VSL","Norfolk Collegiate Lower School #1","U10","Boys"
