"Home","Away","Field"
"MONTICELLO UNITED FIRE-RED U11 Boys VSL","TIDEWATER SHARKS 2007 CITY U11 Boys VSL","Unassigned"
"RICHMOND STRIKERS 06 ELITE BLACK U12 Boys VSL","DYNAMO SC 06B WHITE U12 Boys VSL","Unassigned"
"DYNAMO SC 06B WHITE U12 Boys VSL","RICHMOND KICKERS U12 B ELITE WHITE '06 1718 U12 Boys VSL","Unassigned"
"RICHMOND STRIKERS 05 ELITE BLACK U13 Boys VSL","VA RUSH 05B NERO U13 Boys VSL","Unassigned"
"BEACH FC 05B BLACK U13 Boys VSL","YORKTOWN FC ATTACK U13 Boys VSL","Unassigned"
"BEACHFC 05B PANTHERS U13 Boys VSL","MONTICELLO UNITED FIRE U13 Boys VSL","Unassigned"
"MONTICELLO UNITED FIRE BLACK U15 Boys VSL","RSK CHESTERFIELD 03B ELITE BLUE U15 Boys VSL","Unassigned"
"VIRGINIA LEGACY SC PENINSULA TITANS U15 Boys VSL","VA RUSH 03B AZUL U15 Boys VSL","Unassigned"
"PORTSMOUTH 2002 GOLD BOYS U16 Boys VSL","OBX STORM SOCCER OBX STORM BOYS 2002 U16 Boys VSL","Unassigned"
"SMITHFIELD SC BLAZERS U16 Boys VSL","RSK CHESTERFIELD 02B ELITE BLUE U16 Boys VSL","Unassigned"
"POWHATAN FURY 01B ELITE U17 Boys VSL","VIRGINIA LEGACY SC WIZARDS GREEN 01B U17 Boys VSL","Unassigned"
"VA RUSH 99B - VSL U19 Boys VSL","POWHATAN FURY 99B U19 Boys VSL","Unassigned"
"BEACHFC 06G WHITE U12 Girls VSL","VIRGINIA BEACH CITY FC 06 ACADEMY I U12 Girls VSL","Unassigned"
"CHESAPEAKE CSC PLATINUM - SHARKNADOES U12 Girls VSL","DYNAMO SC 06G WHITE U12 Girls VSL",""
"CHESAPEAKE CSC PLATINUM - SHARKNADOES U12 Girls VSL","VIRGINIA BEACH CITY FC 06 ACADEMY I U12 Girls VSL",""
"CHESAPEAKE CSC PLATINUM - SHARKNADOES U12 Girls VSL","VIRGINIA LEGACY SC PHOENIX U12 Girls VSL",""
"CHESAPEAKE CSC PLATINUM - SHARKNADOES U12 Girls VSL","DYNAMO SC 06G GREY U12 Girls VSL",""
"VIRGINIA LEGACY SC PHOENIX U17 Girls VSL","BEACH FC 02G BLACK U17 Girls VSL","Unassigned"
"VA RUSH 01G NERO U17 Girls VSL","YORKTOWN FC ALLIANCE 01G U17 Girls VSL","Unassigned"
"RSK CHESTERFIELD 01G ELITE BLUE U17 Girls VSL","VA RUSH 01G NERO U17 Girls VSL","Unassigned"
"PORTSMOUTH 2000 GOLD GIRLS U18 Girls VSL","OLD DOMINION SC VB UNITED U18 Girls VSL","Unassigned"
"YORKTOWN FC UNITED U19 Girls VSL","VA RUSH NERO 99G U19 Girls VSL","Unassigned"
