"Name","FieldID","Street.Address","City","State","Zip.Code","Address","Latitude","Longitude","GEOID"
"Bryan Park #1","FD00001","4308 Hermitage Road","Richmond","VA",23227,"4308 Hermitage Road, Richmond, VA 23227",37.595869,-77.466589,"51760010200"
"Capital Park #3","FD00002","6900 Wilkinson Road","Richmond","VA",23227,"6900 Wilkinson Road, Richmond, VA 23227",37.619633,-77.42567,"51087200904"
"Fighting Creek Park #1","FD00003","2505 Mann Road","Powhatan","VA",23139,"2505 Mann Road, Powhatan, VA 23139",37.539913,-77.918696,"51145500200"
"Fighting Creek Park #2","FD00004","2505 Mann Road","Powhatan","VA",23139,"2505 Mann Road, Powhatan, VA 23139",37.539913,-77.918696,"51145500200"
"Fighting Creek Park #3","FD00005","2505 Mann Road","Powhatan","VA",23139,"2505 Mann Road, Powhatan, VA 23139",37.539913,-77.918696,"51145500200"
"Greenfield #1","FD00006","10751 Savoy Road","Richmond","VA",23235,"10751 Savoy Road, Richmond, VA 23235",37.519686,-77.591071,"51041100921"
"Greenfield #2","FD00007","10751 Savoy Road","Richmond","VA",23235,"10751 Savoy Road, Richmond, VA 23235",37.519686,-77.591071,"51041100921"
"Striker Park #4","FD00008","23060 Pouncey Tract Road","Glen Allen","VA",23059,"23060 Pouncey Tract Road, Glen Allen, VA 23059",37.712606,-77.638517,"51085320300"
"Striker Park #5","FD00009","23060 Pouncey Tract Road","Glen Allen","VA",23059,"23060 Pouncey Tract Road, Glen Allen, VA 23059",37.712606,-77.638517,"51085320300"
"Striker Park #6","FD00010","23060 Pouncey Tract Road","Glen Allen","VA",23059,"23060 Pouncey Tract Road, Glen Allen, VA 23059",37.712606,-77.638517,"51085320300"
"Striker Park #9","FD00011","23060 Pouncey Tract Road","Glen Allen","VA",23059,"23060 Pouncey Tract Road, Glen Allen, VA 23059",37.712606,-77.638517,"51085320300"
"Striker Park #10","FD00012","23060 Pouncey Tract Road","Glen Allen","VA",23059,"23060 Pouncey Tract Road, Glen Allen, VA 23059",37.712606,-77.638517,"51085320300"
"Striker Park #11","FD00013","23060 Pouncey Tract Road","Glen Allen","VA",23059,"23060 Pouncey Tract Road, Glen Allen, VA 23059",37.712606,-77.638517,"51085320300"
"Ukrop Park #1","FD00014","5300 Ridgedale Parkway","Richmond","VA",23234,"5300 Ridgedale Parkway, Richmond, VA 23234",37.452376,-77.493476,"51041100819"
"Ukrop Park #4","FD00015","5300 Ridgedale Parkway","Richmond","VA",23234,"5300 Ridgedale Parkway, Richmond, VA 23234",37.452376,-77.493476,"51041100819"
"United Training Center #4","FD00016","2601 Weir Place","Chester","VA",23831,"2601 Weir Place, Chester, VA 23831",37.34961,-77.411368,"51041100505"
"United Training Center #5","FD00017","2601 Weir Place","Chester","VA",23831,"2601 Weir Place, Chester, VA 23831",37.34961,-77.411368,"51041100505"
"West Creek #6","FD00018","12575 West Creek Parkway","Henrico","VA",23238,"12575 West Creek Parkway, Henrico, VA 23238",37.603203,-77.67057,"51075400100"
"Woodlake #1","FD00019","5700 Woodlake Village Parkway","Midlothian","VA",23112,"5700 Woodlake Village Parkway, Midlothian, VA 23112",37.419081,-77.671678,"51041101007"
"Woodlake #3","FD00020","5700 Woodlake Village Parkway","Midlothian","VA",23112,"5700 Woodlake Village Parkway, Midlothian, VA 23112",37.419081,-77.671678,"51041101007"
