"TeamID","Age.Group","Gender","LeagueID","TotalCost","CoachPaid","TotalGames","TotalTime","TotalDistance","AwayGames","WeightedCost","WeightedTime","WeightedDistance","LeagueTier"
"51001002","U11","Boys","LG0001",750,"FALSE",9,281.566666666667,208.035075161059,4,333.33,282,208,"Tier 4"
"51001003","U12","Boys","LG0001",750,"FALSE",9,371.333333333333,309.984689413823,5,333.33,297,248,"Tier 4"
"51001005","U11","Girls","LG0001",750,"FALSE",8,300.8,244.043535751213,4,375,301,244,"Tier 4"
"51001006","U12","Girls","LG0001",750,"FALSE",8,206.533333333333,160.139783663406,3,375,275,214,"Tier 4"
"51001007","U17","Boys","LG0007",625,"FALSE",8,967.966666666667,915.187803229142,4,312.5,968,915,"Tier 4"
"51001008","U17","Boys","LG0007",625,"FALSE",8,1106.13333333333,1073.5541935099,4,312.5,1106,1074,"Tier 4"
"51001009","U17","Girls","LG0007",625,"FALSE",8,844.066666666667,790.899894615446,4,312.5,844,791,"Tier 4"
"51001010","U15","Boys","LG0007",800,"FALSE",8,526.7,474.662968265331,4,400,527,475,"Tier 4"
"51001011","U15","Girls","LG0007",800,"FALSE",8,607.6,546.916010498688,4,400,608,547,"Tier 4"
"51001012","U14","Boys","LG0007",800,"FALSE",8,506.6,465.779845701106,4,400,507,466,"Tier 4"
"51001013","U13","Boys","LG0007",800,"FALSE",8,1119.1,1086.44516026406,4,400,1119,1086,"Tier 4"
"51001014","U13","Girls","LG0007",800,"FALSE",8,716.1,633.269207826295,4,400,716,633,"Tier 4"
"51001015","U19","Boys","LG0007",625,"FALSE",8,399.933333333333,366.866251093613,2,312.5,800,734,"Tier 4"
"51002004","U11","Boys","LG0001",1745,"TRUE",9,180,132.821820567884,4,775.56,180,133,"Tier 4"
"51002005","U11","Boys","LG0001",1745,"TRUE",9,241.166666666667,170.804998806967,5,775.56,193,137,"Tier 4"
"51002006","U11","Boys","LG0001",1745,"TRUE",9,172.1,103.305446194226,4,775.56,172,103,"Tier 4"
"51002007","U12","Boys","LG0001",1745,"TRUE",9,127.966666666667,83.3196631671041,4,775.56,128,83,"Tier 4"
"51002008","U12","Boys","LG0001",2055,"TRUE",9,210.533333333333,151.604628966834,4,913.33,211,152,"Tier 4"
"51002009","U12","Boys","LG0001",2055,"TRUE",10,206.633333333333,166.968653066094,5,822,165,134,"Tier 4"
"51002010","U12","Boys","LG0001",1745,"TRUE",9,112.733333333333,75.352441740237,5,775.56,90,60,"Tier 4"
"51002011","U12","Boys","LG0001",1745,"TRUE",9,126.666666666667,96.1174242424242,4,775.56,127,96,"Tier 4"
"51002012","U12","Boys","LG0001",1745,"TRUE",9,268.733333333333,201.65856398632,5,775.56,215,161,"Tier 4"
"51002013","U11","Girls","LG0001",1745,"TRUE",8,167.8,115.499234470691,4,872.5,168,115,"Tier 4"
"51002014","U11","Girls","LG0001",1745,"TRUE",9,146.366666666667,113.13553845542,3,775.56,195,151,"Tier 4"
"51002015","U12","Girls","LG0001",1745,"TRUE",10,356.166666666667,243.136333810546,7,698,204,139,"Tier 4"
"51002016","U12","Girls","LG0001",1745,"TRUE",7,124.2,89.1680088284419,2,997.14,248,178,"Tier 4"
"51002045","U12","Boys","LG0007",2055,"TRUE",8,208.733333333333,155.081822158594,4,1027.5,209,155,"Tier 4"
"51002046","U12","Boys","LG0007",2055,"TRUE",8,118.633333333333,85.3764018134097,3,1027.5,158,114,"Tier 4"
"51002047","U12","Girls","LG0007",2055,"TRUE",8,1043.13333333333,1024.60008550068,4,1027.5,1043,1025,"Tier 4"
"51002048","U13","Boys","LG0007",1565,"TRUE",8,158.8,108.07509146584,4,782.5,159,108,"Tier 4"
"51002049","U14","Boys","LG0007",2055,"TRUE",8,557.133333333333,552.505865744055,4,1027.5,557,553,"Tier 4"
"51002050","U13","Boys","LG0007",1565,"TRUE",8,269.133333333333,252.627157400779,4,782.5,269,253,"Tier 4"
"51002051","U13","Boys","LG0007",1565,"TRUE",8,511.266666666667,463.585162650123,4,782.5,511,464,"Tier 4"
"51002052","U13","Girls","LG0007",1565,"TRUE",8,550.066666666667,494.019923645908,4,782.5,550,494,"Tier 4"
"51002053","U14","Boys","LG0007",1565,"TRUE",8,319.266666666667,304.194752644556,4,782.5,319,304,"Tier 4"
"51002054","U14","Boys","LG0007",1565,"TRUE",8,214.666666666667,185.171100771495,4,782.5,215,185,"Tier 4"
"51002055","U14","Boys","LG0007",1565,"TRUE",8,370.7,344.803845542035,4,782.5,371,345,"Tier 4"
"51002056","U14","Girls","LG0007",1565,"TRUE",8,1052,1044.90649606299,4,782.5,1052,1045,"Tier 4"
"51002057","U15","Boys","LG0007",1565,"TRUE",8,365.766666666667,336.52345303428,4,782.5,366,337,"Tier 4"
"51002058","U15","Boys","LG0007",1565,"TRUE",8,266.633333333333,226.448789071821,4,782.5,267,226,"Tier 4"
"51002059","U15","Boys","LG0007",1565,"TRUE",8,298.166666666667,256.636244333095,4,782.5,298,257,"Tier 4"
"51002060","U15","Boys","LG0007",1565,"TRUE",8,157.3,114.472729261115,4,782.5,157,114,"Tier 4"
"51002061","U16","Boys","LG0007",1360,"TRUE",8,209.6,185.162401574803,4,680,210,185,"Tier 4"
