"GEOID","White.Percent","Minority.Percent","Black.Percent","American.Indian.Percent","Asian.Percent","Pacific.Islander.Percent","Hispanic.Percent","Poverty.Rate","Household.Income","HHI.Factor"
"51001090100",91.1270983213429,8.87290167865707,3.32305584104145,0.513874614594039,0.822199383350462,0,1.2675573826653,13.3,47414,"$25,000-49,999"
"51001090200",65.1162790697674,34.8837209302326,30.6071484314032,0,0,0,4.27657249882941,26.9,39130,"$25,000-49,999"
"51001090300",71.4169381107492,28.5830618892508,19.014657980456,0.651465798045603,0.936482084690554,0,6.43322475570033,34.8,31625,"$25,000-49,999"
"51001090400",33.3982157339822,66.6017842660178,38.7996755879968,0,0,0,26.1151662611517,27.7,32222,"$25,000-49,999"
"51001090500",54.1569541569542,45.8430458430458,33.7995337995338,0,0.271950271950272,0,11.2665112665113,22.2,35833,"$25,000-49,999"
"51001090600",76.6995467875233,23.3004532124767,20.3412423353772,0,0.21327645961077,0,2.39936017062117,50.6,44770,"$25,000-49,999"
"51001090700",56.0671088568084,43.9328911431916,35.3882169332813,1.7752633632462,0,0,5.03316426063207,20.7,40388,"$25,000-49,999"
"51001090800",61.196067722556,38.803932277444,32.3047515019115,0,0,0,5.27034407427635,17.2,35986,"$25,000-49,999"
"51001980100",,,,,,,,,,
"51001980200",,,,,,,,,,
"51001990100",,,,,,,,,,
"51001990200",,,,,,,,,,
"51003010100",89.0582959641256,10.9417040358744,5.27354260089686,0,1.847533632287,0,1.04035874439462,7.2,76188,"$75,000-99,999"
"51003010201",78.145554848292,21.854445151708,9.20857203479737,0.127307447485678,1.08211330362826,0,9.95119881179716,6.3,71125,"$50,000-74,999"
"51003010202",87.9114118732698,12.0885881267302,1.96862503844971,0,1.78406644109505,0.215318363580437,5.35219932328514,14.5,116406,"$100,000+"
"51003010300",77.1921853702862,22.8078146297138,4.62289868241708,0,8.39391185824625,0,4.73648341662881,1.8,79576,"$75,000-99,999"
"51003010401",88.7015945330296,11.2984054669704,7.67653758542141,1.09339407744875,0.227790432801822,0,0.0455580865603645,3.8,75226,"$75,000-99,999"
"51003010402",89.3831168831169,10.6168831168831,4.22077922077922,0.162337662337662,0,0,3.6038961038961,9.4,96328,"$75,000-99,999"
"51003010500",79.1737089201878,20.8262910798122,15.2863849765258,0,2.04694835680751,0,0.619718309859155,0,73552,"$50,000-74,999"
"51003010601",73.3476536682089,26.6523463317911,18.1923331130205,0,4.85789821546596,0,2.95769993390615,25.7,57003,"$50,000-74,999"
"51003010602",82.0266062836117,17.9733937163883,9.87829040475517,0,4.35890178318709,0,1.89640532125672,9.5,83539,"$75,000-99,999"
"51003010700",49.0850950435246,50.9149049564754,29.1526025937111,0.1776514478593,3.16219577189554,0,10.6946171611299,13.3,50120,"$50,000-74,999"
"51003010800",73.5922330097087,26.4077669902913,13.2686084142395,1.27292340884574,2.00647249190939,0.388349514563107,4.7680690399137,18.6,51074,"$50,000-74,999"
"51003010901",56.078431372549,43.921568627451,4.53781512605042,1.00840336134454,27.0588235294118,0,7.33893557422969,16.5,27008,"$25,000-49,999"
"51003010902",58.6746987951807,41.3253012048193,6.74698795180723,0.240963855421687,18.3132530120482,0.271084337349398,9.93975903614458,19.2,35536,"$25,000-49,999"
"51003010903",64.1453566621803,35.8546433378196,8.42530282637954,0.0807537012113055,14.9125168236878,0,5.814266487214,,8452,"Under $25,000"
"51003011000",93.0179070149499,6.9820929850501,2.44783965828816,0,1.64284540824708,0,1.11713487760802,2.7,138494,"$100,000+"
"51003011100",87.4102907188906,12.5897092811094,4.28171755260917,0,4.81693224668532,0,1.1799051210315,4.6,78977,"$75,000-99,999"
"51003011201",90.7355679702048,9.26443202979516,1.60614525139665,0,0.139664804469274,0,5.23743016759777,13.9,59975,"$50,000-74,999"
"51003011202",81.4877910278251,18.5122089721749,5.6785917092561,0,5.70698466780239,0,4.48608745031232,5.7,100455,"$100,000+"
"51003011301",89.4449339207049,10.5550660792952,4.72246696035242,0,2.62555066079295,0,3.20704845814978,10.7,69013,"$50,000-74,999"
"51003011302",43.136797949196,56.863202050804,13.1437893264973,0.209741319039851,3.58890701468189,0,38.289443020275,42.9,51706,"$50,000-74,999"
