"Home","Away","Field"
"Loudoun 1999 U19 Male CCL","Roanoke Star 1999 U19 Male CCL","Loudoun Soccer Park #1"
"NVSC 1999 U19 Male CCL","SYA 1999 U19 Male CCL","Hellwig Park #8"
"Arlington 1999 U19 Male CCL","McLean 1999 U19 Male CCL","Greenbrier Park (Yorktown HS) #Stadium"
"FC Richmond 1999 U19 Male CCL","LMVSC 1999 U19 Male CCL","Huguenot Park #3"
"Beach FC 1999 U19 Male CCL","Fredericksburg FC 1999 U19 Male CCL","Hampton Roads Soccer Complex #15"
"Loudoun 1999 U19 Female CCL","Roanoke Star 1999 U19 Female CCL","Loudoun Soccer Park #2"
"NVSC 2000 U18 Male CCL","SYA 2000 U18 Male CCL","Hellwig Park #8"
"Arlington 2000 U18 Male CCL","McLean 2000 U18 Male CCL","Greenbrier Park (Yorktown HS) #Stadium"
"Beach FC 2000 U18 Male CCL","Fredericksburg FC 2000 U18 Male CCL","Hampton Roads Soccer Complex #15"
"NVSC 2000 U18 Female CCL","SYA 2000 U18 Female CCL","Hellwig Park #7"
"FC Richmond 2000 U18 Female CCL","LMVSC 2000 U18 Female CCL","Huguenot Park #1"
"Beach FC 2000 U18 Female CCL","Fredericksburg FC 2000 U18 Female CCL","Hampton Roads Soccer Complex #14"
"Loudoun 2001 U17 Male CCL","Roanoke Star 2001 U17 Male CCL","Loudoun Soccer Park #1"
"NVSC 2001 U17 Male CCL","SYA 2001 U17 Male CCL","Hellwig Park #8"
"Arlington 2001 U17 Male CCL","McLean 2001 U17 Male CCL","Williamsburg Middle School #1"
"FC Richmond 2001 U17 Male CCL","LMVSC 2001 U17 Male CCL","Huguenot Park #3"
"Beach FC 2001 U17 Male CCL","Fredericksburg FC 2001 U17 Male CCL","Hampton Roads Soccer Complex #16"
"Loudoun 2001 U17 Female CCL","Roanoke Star 2001 U17 Female CCL","Philip Bolen Park #2"
"NVSC 2001 U17 Female CCL","SYA 2001 U17 Female CCL","Hellwig Park #7"
"Arlington 2001 U17 Female CCL","McLean 2001 U17 Female CCL","Long Bridge Park #3"
"FC Richmond 2001 U17 Female CCL","LMVSC 2001 U17 Female CCL","Huguenot Park #3"
"Beach FC 2001 U17 Female CCL","Fredericksburg FC 2001 U17 Female CCL","Hampton Roads Soccer Complex #17"
"Loudoun 2002 U16 Male CCL","Roanoke Star 2002 U16 Male CCL","Philip Bolen Park #12"
