Home,Away,Field
Orange Fire 05/04 Boys U15 Boys SCSL,FYSA U14 Boys U15 Boys SCSL,Booster Park #1
Orange Fire 05/04 Boys U15 Boys SCSL,Madison U15 Boys U15 Boys SCSL,Booster Park #1
Orange Fire 05/04 Boys U15 Boys SCSL,Nelson U15 Boys U15 Boys SCSL,Booster Park #1
Orange Fire 05/04 Boys U15 Boys SCSL,GFC United U14 Boys U15 Boys SCSL,Booster Park #1
Orange Fire 03/02 Boys U16 Boys SCSL,CVU 03/02 Boys Red U16 Boys SCSL,Booster Park #1
Orange Fire 03/02 Boys U16 Boys SCSL,SOCA Cville 03 Boys White U16 Boys SCSL,Booster Park #1
Orange Fire 03/02 Boys U16 Boys SCSL,SOCA Cville 03 Boys Blue U16 Boys SCSL,Booster Park #1
Orange Fire 03/02 Boys U16 Boys SCSL,FYSA U16 Boys U16 Boys SCSL,Booster Park #1
Orange Fire 05/04 Girls U15 Girls SCSL,SOCA Cville 04 Girls White U15 Girls SCSL,Booster Park #1
Orange Fire 05/04 Girls U15 Girls SCSL,SOCA Cville 05 Girls Classic U15 Girls SCSL,Booster Park #1
Orange Fire 05/04 Girls U15 Girls SCSL,FYSA U14 Girls U15 Girls SCSL,Booster Park #1
Orange Fire 05/04 Girls U15 Girls SCSL,Madison U13/15 Girls U15 Girls SCSL,Booster Park #1
Orange Fire 05/04 Girls U15 Girls SCSL,SOCA Cville 04 Girls White U15 Girls SCSL,Booster Park #1
Orange Fire 03/02 Girls U17 Girls SCSL,GFC Fusion U15 Girls U17 Girls SCSL,Booster Park #1
Orange Fire 03/02 Girls U17 Girls SCSL,SOCA Cville 03 Girls Classic U17 Girls SCSL,Booster Park #1
Orange Fire 03/02 Girls U17 Girls SCSL,Luray Valley U13/17 Girls U17 Girls SCSL,Booster Park #1
Orange Fire 03/02 Girls U17 Girls SCSL,FYSA U15/16 Girls U17 Girls SCSL,Booster Park #1
Orange Fire 06/07 Boys U12 Boys SCSL,SOCA Cville 07 Boys White U12 Boys SCSL,Booster Park #2
Orange Fire 06/07 Boys U12 Boys SCSL,Nelson U12 Boys U12 Boys SCSL,Booster Park #2
Orange Fire 06/07 Boys U12 Boys SCSL,SOCA Cville 07 Boys Blue U12 Boys SCSL,Booster Park #2
Orange Fire 06/07 Boys U12 Boys SCSL,SVU U11B White U12 Boys SCSL,Booster Park #2
Orange Fire 07/06 Girls U12 Girls SCSL,FYSA U12 Girls U12 Girls SCSL,Booster Park #2
Orange Fire 07/06 Girls U12 Girls SCSL,SOCA Cville 07 Girls Classic U12 Girls SCSL,Booster Park #2
Orange Fire 07/06 Girls U12 Girls SCSL,SOCA Cville 06 Girls White U12 Girls SCSL,Booster Park #2
Orange Fire 07/06 Girls U12 Girls SCSL,SOCA Cville 06 Girls Blue U12 Girls SCSL,Booster Park #2
Orange Fire 07/06 Girls U12 Girls SCSL,GFC Fusion U12 Girls U12 Girls SCSL,Booster Park #2
CVU 07/06 Boys U12 Boys SCSL,SVU U12 Boys White U12 Boys SCSL,CVRSC #5
CVU 07/06 Boys U12 Boys SCSL,SOCA Aug 07/06 Boys Classic U12 Boys SCSL,CVRSC #5
CVU 07/06 Boys U12 Boys SCSL,SOCA Cville 06 Boys Blue U12 Boys SCSL,CVRSC #5
CVU 07/06 Boys U12 Boys SCSL,SOCA Cville 06 Boys White U12 Boys SCSL,CVRSC #5
CVU 03/02 Boys Red U16 Boys SCSL,FYSA U16 Boys U16 Boys SCSL,CVRSC #6
