Home,Away,Field
SUSA EAST B07 U11 Boys EDP,NEW YORK RED BULLS RDS NYS 07 U11 Boys EDP,Baymen Soccer Complex #4
MIDDLETOWN SC ARSENAL RED U11 Boys EDP,FISHTOWN AC ROWDIES U11 Boys EDP,Thompson SS
CEDAR STARS ACADEMY BERGEN 2007 WHITE U11 Boys EDP,A.S. JUNIOR ELITE - 2007 BOYS U11 Boys EDP,Overpeck #1
PRINCETON SA PREMIER ELITE 07 ORANGE U11 Boys EDP,PDA SHORE 2007 DEBRUYNE U11 Boys EDP,Greenway Meadows Park SS Â
CHERRY HILL FC DIABLOS U11 Boys EDP,SJEB 2007 NEWCASTLE U11 Boys EDP,Decou 9v9 D5
PREMIER SC NAVY 07B U11 Boys EDP,CENTRAL CARROLL STRIKERS U11 Boys EDP,Notre Dame Prep School #1
BRAUSA UNITED FUTEBOL 07 U11 Boys EDP,SAC PREMIER WHITE 07 U11 Boys EDP,Concordia Preparatory School #1
WORLD CLASS FC '07 NJ WHITE U11 Boys EDP,NY STARS PREMIER GRAVITY U11 Boys EDP,Orangetown Soccer Complex 4 Turf
ELECTRIC CITY SHOCK JUNIORS FC ECSJSC 07 U11 Boys EDP,BTSC GOALQUEST NAPOLI U11 Boys EDP,Luzerne County Sports Complex A
PASCACK FC PFC CANO U11 Boys EDP,AMERICAS UNITED PARIS SAINT-GERMAIN U11 Boys EDP,Memorial Field Park Ridge
CEDAR STARS ACADEMY MONMOUTH B-2007 WHITE U11 Boys EDP,ROBBINSVILLE SA RAIDERS U11 Boys EDP,Capelli Sport Field at Sycamore Recreation Complex #5 SS A
YMS BLACKOUT U11 Boys EDP,KEYSTONE ATHLETIC 2007 GRIFOS U11 Boys EDP,Macclesfield Park L
ALEXANDRIA SA 07B RED U11 Boys EDP,WALDORF SC '07 BOYS - ORANGE U11 Boys EDP,Witter Fields #1
SILVER LAKE SA TIGERS U11 Boys EDP,NEW YORK RED BULLS RDS NY NORTH 2007 U11 Boys EDP,Miller Field #5
IRONBOUND SC 07RED-RAIDERS U11 Boys EDP,ARSENAL SOCCER SCHOOLS ACADEMY 2007 BERGKAMP U11 Boys EDP,RiverBank Park
JACKSON WARRIORS U11 Boys EDP,FISHTOWN AC ROWDIES U11 Boys EDP,Justice Complex 1B
PHILADELPHIA SC COPPA 07 YOUNG GUNS U11 Boys EDP,FC EUROPA 07' ELITE U11 Boys EDP,PSC/Agusta A6
PIPELINE SC BLACK NORTH U11 Boys EDP,SAC PREMIER BLUE SPURS 2007 U11 Boys EDP,Ulla Popken #1
KINGS PARK X-TREME U11 Boys EDP,CEDAR STARS ACADEMY BERGEN WEST U11 FUSION GREEN U11 Boys EDP,Tiffany Fields #1
IRONBOUND SC 07BLUE-ALLIANCE U11 Boys EDP,RONKONKOMA SC REVOLUTION U11 Boys EDP,Riverbank Park #1
FC COPA ACADEMY B07 BLACK U11 Boys EDP,WAYNE SC QUICK TOUCH 2007 U11 Boys EDP,Rutgers-Busch Sport Club Turf
PDA HIBERNIAN GIGGS 07 U11 Boys EDP,FC EUROPA 07' PREMIER U11 Boys EDP,PDA South Westampton Sports Complex #1
CEDAR STARS ACADEMY BERGEN 2007 BLACK U11 Boys EDP,NY STARS PREMIER GRAVITY U11 Boys EDP,Overpeck #1
STA 2007 BOYS EDP U11 Boys EDP,IRONBOUND SC 07WHITE-JAGUARS U11 Boys EDP,Central Park 3B
CEDAR STARS ACADEMY NEWARK 2008 GREEN U11 Boys EDP,NJ STALLIONS ACADEMY 07 REAL U11 Boys EDP,Capelli Sport Field at St. Benedict's Preparatory School Field (Lower) #1
MARYLAND UNITED FC 2007 ACADEMY U11 Boys EDP,A3 UNITED 2007 U11 Boys EDP,Murtaugh Field 02
ALEXANDRIA SA 08 RED U11 Boys EDP,SAC UNITED BLUE 07 U11 Boys EDP,Witter Fields #1
PREMIER SC WHITE 07 U11 Boys EDP,HARFORD FC UNITED 2008 MINGLE U11 Boys EDP,Notre Dame Prep School #1
SHORE FC BLACK U11 Boys EDP,HENLOPEN TIDE U11 Boys EDP,Talbot County Community Center #1
GLEN ROCK SHOOTING STARS 07 BOYS RED U11 Boys EDP,CEDAR STARS ACADEMY BERGEN WEST U11 FUSION WHITE U11 Boys EDP,Memorial
COLONIA YOUTH COLONIA FC 7 U11 Boys EDP,CAPS GREATER FLEMINGTON CAPS 07 MONACO U11 Boys EDP,Home Depot Fields
LIVERPOOL FCIA NEW JERSEY REDS U11 Boys EDP,MANALAPAN SC GPS 07B U11 Boys EDP,Weimann Field #1
BORDENTOWN FC FUEL U11 Boys EDP,NEXT LEVEL SA 07 BOYS MONJAS U11 Boys EDP,Fenton Lane Park Field 2
