Home,Away
NVSC 1999 U19 Female CCL,SYA 1999 U19 Female CCL
FC Richmond 1999 U19 Female CCL,LMVSC 1999 U19 Female CCL
Beach FC 1999 U19 Female CCL,Fredericksburg FC 1999 U19 Female CCL
Loudoun 2000 U18 Male CCL,Roanoke Star 2000 U18 Male CCL
FC Richmond 2000 U18 Male CCL,LMVSC 2000 U18 Male CCL
Loudoun 2000 U18 Female CCL,Roanoke Star 2000 U18 Female CCL
Beach FC 2002 U16 Male CCL,Fredericksburg FC 2002 U16 Male CCL
Virginia Legacy 2003 U15 Male CCL,SOCA 2003 U15 Male CCL
Virginia Legacy 2003 U15 Female CCL,SOCA 2003 U15 Female CCL
Virginia Legacy 2004 U14 Male CCL,SOCA 2004 U14 Male CCL
Virginia Legacy 2004 U14 Female CCL,SOCA 2004 U14 Female CCL
Virginia Legacy 2005 U13 Male CCL,SOCA 2005 U13 Male CCL
Virginia Legacy 2005 U13 Female CCL,SOCA 2005 U13 Female CCL
Virginia Legacy 2006 U12 Male CCL,SOCA 2006 U12 Male CCL
Virginia Legacy 2006 U12 Female CCL,SOCA 2006 U12 Female CCL
Virginia Legacy 2007 U11 Male CCL,SOCA 2007 U11 Male CCL
Virginia Legacy 2007 U11 Female CCL,SOCA 2007 U11 Female CCL
SYA 1999 U19 Female CCL,Arlington 1999 U19 Female CCL
McLean 1999 U19 Female CCL,FC Richmond 1999 U19 Female CCL
McLean 2000 U18 Male CCL,FC Richmond 2000 U18 Male CCL
Arlington 2000 U18 Female CCL,McLean 2000 U18 Female CCL
LMVSC 2008 U10 Male CCL,Ellicott City 2008 U10 Male CCL
LMVSC 2008 U10 Male CCL,Fredericksburg FC 2008 U10 Male CCL
LMVSC 2008 U10 Male CCL,FCSC United 2008 U10 Male CCL
LMVSC 2008 U10 Female CCL,Ellicott City 2008 U10 Female CCL
LMVSC 2008 U10 Female CCL,Fredericksburg FC 2008 U10 Female CCL
LMVSC 2008 U10 Female CCL,FCSC United 2008 U10 Female CCL
LMVSC 2009 U09 Male CCL,Ellicott City 2009 U09 Male CCL
LMVSC 2009 U09 Male CCL,FCSC United 2009 U09 Male CCL
LMVSC 2009 U09 Female CCL,Ellicott City 2009 U09 Female CCL
LMVSC 2009 U09 Female CCL,FCSC United 2009 U09 Female CCL
McLean 2009 U09 Female CCL,SYC 2009 U09 Female CCL
Fredericksburg FC 1999 U19 Female CCL,Virginia Legacy 1999 U19 Female CCL
NVSC 1999 U19 Female CCL,Potomac 1999 U19 Female CCL
SOCA 1999 U19 Female CCL,SYA 1999 U19 Female CCL
Beach FC 1999 U19 Female CCL,Virginia Legacy 1999 U19 Female CCL
FC Richmond 1999 U19 Female CCL,Beach FC 1999 U19 Female CCL
McLean 2000 U18 Male CCL,Roanoke Star 2000 U18 Male CCL
FC Richmond 2000 U18 Male CCL,Beach FC 2000 U18 Male CCL
McLean 2000 U18 Female CCL,Roanoke Star 2000 U18 Female CCL
Fredericksburg FC 2002 U16 Male CCL,Virginia Legacy 2002 U16 Male CCL
Ellicott City 2004 U14 Female CCL,LMVSC 2004 U14 Female CCL
Ellicott City 2007 U11 Female CCL,LMVSC 2007 U11 Female CCL
FCSC United 2008 U10 Male CCL,SYC 2008 U10 Male CCL
FCSC United 2008 U10 Male CCL,Fredericksburg FC 2008 U10 Male CCL
LMVSC 2008 U10 Male CCL,NVSC 2008 U10 Male CCL
FCSC United 2008 U10 Female CCL,SYC 2008 U10 Female CCL
FCSC United 2008 U10 Female CCL,Fredericksburg FC 2008 U10 Female CCL
LMVSC 2008 U10 Female CCL,NVSC 2008 U10 Female CCL
FCSC United 2009 U09 Male CCL,SYC 2009 U09 Male CCL
LMVSC 2009 U09 Male CCL,NVSC 2009 U09 Male CCL
