"Home","Away","Field"
"ALEX 03 Boys Blue U16 Boys ODSL","RWFC VA Allstars FC U16 Boys ODSL","Hammond Middle School Turf Field"
"ALEX 05 Boys Black U13 Boys ODSL","MSC Lions 05 U13 Boys ODSL","Hammond Middle School Turf Field"
"ALEX 07 Boys Black U11 Boys ODSL","ABGC United FC Red 07B U11 Boys ODSL","Ben Brenman Park Field 1B"
"ALEX 06 Boys Black U12 Boys ODSL","BRYC Blaze U12 Boys ODSL","Ben Brenman Park Field 1B"
"ALEX 09 Boys Black U09 Boys ODSL","BRYC Dragons U09 Boys ODSL","Ben Brenman Park Field 1B"
"ALEX 08 Boys Black U10 Boys ODSL","MSC Lions 08 Gold U10 Boys ODSL","Ben Brenman Park Field 1B"
"ALEX 08 Girls Blue U10 Girls ODSL","BRYC Spirit U10 Girls ODSL","Ben Brenman Park Field 1B"
"ALEX 09 Boys Silver U09 Boys ODSL","ARL 09B Silver U09 Boys ODSL","Ben Brenman Park Field 1B"
"ALEX 05 Boys Black U13 Boys ODSL","BRYC United U13 Boys ODSL","Hammond Middle School Turf Field"
"ALEX 09 Girls Blue U09 Girls ODSL","BRYC Lightning Bolts U09 Girls ODSL","Ben Brenman Park Field 1B"
"ALEX 08 Boys Silver U10 Boys ODSL","WIN 08B Orange U10 Boys ODSL","Ben Brenman Park Field 1B"
"ALEX 05 Girls Blue U13 Girls ODSL","LOUD 05G Gray U13 Girls ODSL","Hammond Middle School Turf Field"
"ALEX 09 Boys Black U09 Boys ODSL","CFC 09B White U09 Boys ODSL","Ben Brenman Park Field 1B"
"ALEX 03 Boys Blue U16 Boys ODSL","RWFC BVB Dortmund U16 Boys ODSL","Hammond Middle School Turf Field"
"ALEX 07 Girls Blue U11 Girls ODSL","ARL 07G Gold U11 Girls ODSL","Ben Brenman Park Field 1B"
"ALEX 07 Boys Black U11 Boys ODSL","BRYC Fireballs U11 Boys ODSL","Ben Brenman Park Field 1B"
"ALEX 06 Boys Black U12 Boys ODSL","LPFC 2006B U12 Boys ODSL","Ben Brenman Park Field 1B"
"ALEX 09 Boys Silver U09 Boys ODSL","FCVA FCV Elite U09 Boys ODSL","Ben Brenman Park Field 1B"
"ALEX 09 Girls Blue U09 Girls ODSL","LOUD 09G Gray U09 Girls ODSL","Ben Brenman Park Field 1B"
"ALEX 08 Boys Black U10 Boys ODSL","FRSA ROX 08B Blue U10 Boys ODSL","Ben Brenman Park Field 1B"
"ALEX 08 Girls Blue U10 Girls ODSL","CFC 08G White U10 Girls ODSL","Ben Brenman Park Field 1B"
"ALEX 05 Girls Blue U13 Girls ODSL","TCSC Spirit Blue U13 Girls ODSL","Eugene Simpson Soccer Field #1 Full"
"ALEX 03 Boys Blue U16 Boys ODSL","HCFC Harrisonburg City F.C. 02 U16 Boys ODSL","Hammond Middle School Turf Field"
