"Home","Away","Field"
"MANHATTAN KICKERS FC MKFC U11 Boys EDP","LONG ISLAND PREMIER FC BOYS '07 U11 Boys EDP","Pier 40 Rooftop RT"
"PDA ZANETTI U11 Boys EDP","CEDAR STARS ACADEMY BERGEN 2007 GREEN U11 Boys EDP","PDA 1B SS"
"D.C. UNITED U11 U11 Boys EDP","PIPELINE SC 2007B BLACK U11 Boys EDP","RFK Turf Field #1"
"PRINCETON FC LIVERPOOL U11 Boys EDP","WSC ELITE BARCELONA U11 Boys EDP","Princeton FC Smoyer Park SF"
"PA RUSH ACADEMY 07 U11 Boys EDP","DEPTFORD PREMIER FC '07 BOYS U11 Boys EDP","Rush Soccer Complex #4"
"HPSC LITTLE TIGERS 07 WHITE U11 Boys EDP","ACHILLES FC 07 U11 Boys EDP","Fox Chapel ES #1"
"NEW YORK SURF B07 WESTCHESTER U11 Boys EDP","MT OLIVE SC PREMIER 2007 BLACK U11 Boys EDP","SUNY Purchase"
"STA 2007 BOYS EDP U11 Boys EDP","MONROE TOWNSHIP SC FC FORCE WHITE U11 Boys EDP","Central Park 3B"
"FC SPORTIKA ACADEMY 2007B WHITE U11 Boys EDP","MORRIS ELITE 07B EDP U11 Boys EDP","Sportika Sports"
"GPS NJ SOUTH 07 BOYS U11 Boys EDP","MANALAPAN SC GPS 07B U11 Boys EDP","Tyler Davis Fields"
"UPPER FREEHOLD/ALLENTOWN SA UFA UNITED U11 Boys EDP","MATCH FIT ACADEMY FC PRE ECNL 07 BLACK U11 Boys EDP","Mark Harbourt Complex #4"
"MARLTON GPS NJ PREMIER 07B U11 Boys EDP","EAST BRUNSWICK SC STA LIVERPOOL U11 Boys EDP","Memorial Sports Complex M02b"
"VALENCIA CF ACADEMY NY 2007 BLACK U11 Boys EDP","VISTULA GARFIELD 2007 LEWANDOWSKI U11 Boys EDP","LIU: CW Post Campus #1"
"NEW YORK RED BULLS RDS NJ 07 U11 Boys EDP","WATCHUNG HILLS NJ ELITE 2007 FEYENOORD U11 Boys EDP","New York Red Bulls Training Facility A"
"HOLMDEL FC NJX ATLETICO U11 Boys EDP","FC SPORTIKA ACADEMY 2007B U11 Boys EDP","CROSS FARMS FIELD #2"
"LEHIGH VALLEY UNITED LVU 2007 BOYS BLACK U11 Boys EDP","CEDAR STARS ACADEMY MONMOUTH B-2007 GREEN U11 Boys EDP","Lehigh County Sports Fields #2"
"PIPELINE SC 2007B BLACK U11 Boys EDP","BETHESDA SC PRE-ACADEMY I 07 U11 Boys EDP","Baltimore PolyTech HS 9v9"
"BALTIMORE UNION ELITE 07B U11 Boys EDP","FREEDOM STORM U11 Boys EDP","Cowenton Park Field 01"
"VALENCIA CF ACADEMY NY 2007 WHITE U11 Boys EDP","WORLD CLASS FC '07 NJ RED U11 Boys EDP","LIU: CW Post Campus #1"
"FUTURE SA 06/07 U11 Boys EDP","A.S. JUNIOR ELITE - 2007 BOYS U11 Boys EDP","Overpeck #2"
"MARLBORO SA 2007 GUNNERS BLUE U11 Boys EDP","PARSIPPANY SC 2007 BOYS BLUE U11 Boys EDP","Vanderburg #9"
"WALDORF SC '07 BOYS - ORANGE U11 Boys EDP","LTSC 2007 (GREEN) U11 Boys EDP","Bryantown Sports Complex #6"
"WORLD CLASS FC '07 NJTEANECK U11 Boys EDP","PLAYERS EYE FC BOYS 2007 U11 Boys EDP","World Class FC/Waldwick SuperDome #1"
"MONROE TOWNSHIP SC FC FORCE WHITE U11 Boys EDP","CEDAR STARS ACADEMY STATEN ISLAND 2007 ROONEY U11 Boys EDP","Ave K Veterans Park #1"
"PACHUCA FC USA DRAGONS 07 U11 Boys EDP","JOUONS FOOTBALL FC 07 U11 Boys EDP","South Gunner's Branch Local Park #1"
"NLS AJAX 07 U11 Boys EDP","GO PREMIER SOCCER 07 BLUE U11 Boys EDP","Swann Park"
"ENCO 07 RED U11 Boys EDP","KEYSTONE ATHLETIC 2007 GRIFOS U11 Boys EDP","Fox Run Fields 9 v 9"
"BALTIMORE UNION RED 2008 U11 Boys EDP","PIPELINE SC BLACK U11 Boys EDP","Cowenton Park Field 01"
"MATRIX MAESTROS U11 Boys EDP","RIVER 2007 BOYS U11 Boys EDP","MAYS (Mid-Atlantic Youth Sportsplex) #1"
"JERSEY STARS CHELSEA JS U11 Boys EDP","NORTHERN VALLEY U10 - MCAULEY U11 Boys EDP","Gunnell Oval Complex"
"PATERSON REC UNISAMBA U11 Boys EDP","SB4U ACADEMY LANUS U11 Boys EDP","Pennigton Park #1"
