"Home","Away","Field"
"Sacramento Republic FC U-15 Boys USDA","Real So Cal U-15 Boys USDA","Cosumnes River College"
"Sacramento Republic FC U-16/17 Boys USDA","Real So Cal U-16/17 Boys USDA","Cosumnes River College"
"BSC Oregon U-12 Boys USDA","Westside Timbers Soccer Club U-12 Boys USDA","Tektronix Field"
"Albion SC U-15 Boys USDA","Silicon Valley Soccer Academy U-15 Boys USDA","Francis Parker School"
"Ballistic United SC U-15 Boys USDA","Arsenal FC U-15 Boys USDA","Val Vista - Field 1"
"Barca Academy U-15 Boys USDA","Seattle Sounders FC U-15 Boys USDA","Grande Sports World Field 7"
"Barca Academy U-16/17 Boys USDA","Seattle Sounders FC U-16/17 Boys USDA","Grande Sports World Field 7"
"Bayside FC U-12 Boys USDA","Global Premier Soccer U-12 Boys USDA","Bayside FC Stadium Bayside FC Stadium 1A"
"Bayside FC U-12 Boys USDA","Global Premier Soccer U-12 Boys USDA","Bayside FC Stadium Bayside FC Stadium 1B"
"Campton United SC U-12 Boys USDA","Sockers FC U-12 Boys USDA","East Side Sports Complex ESSC - Field 11"
"Concorde Fire U-13 Boys USDA","AFC Lightning U-13 Boys USDA","Georgia Soccer Park - Field 3"
"Crossfire Oregon U-12 Boys USDA","FC Portland Academy U-12 Boys USDA","Athey Creek Middle School #3"
"Crossfire Premier I U-12 Boys USDA","Washington Rush U-12 Boys USDA","60 Acres Soccer Complex - South Side Field #22"
"Eastside FC U-12 Boys USDA","Washington Premier FC U-12 Boys USDA","Preston Park Preston Field 3"
"Internationals U-13 Boys USDA","Chicago Fire U-13 Boys USDA","Pinnacle Sports Complex (Turf) Pinnacle Sports Complex - Main"
"LA Galaxy U-12 Boys USDA","Legends FC U-12 Boys USDA","StubHub Center Field 5"
"Loudoun Soccer U-12 Boys USDA","McLean Youth Soccer U-12 Boys USDA","Loudoun Soccer Park Loudoun Soccer Park - Field 1-AB (Turf)"
"New York Soccer Club U-12 Boys USDA","Beachside Soccer Club CT U-12 Boys USDA","Manhattanville College (grass)"
