"Home","Away","Field"
"Beach Futbol Club U-14 Girls USDA","Eagles Soccer Club U-14 Girls USDA","Toyota Sports Complex"
"California Thorns FC U-14 Girls USDA","Reign Academy U-14 Girls USDA","Santa Clara University - Stanton Field"
"Legends FC U-14 Girls USDA","Los Angeles Premier Futbol Club U-14 Girls USDA","Silverlakes #8"
"San Jose Earthquakes U-14 Girls USDA","Crossfire Premier U-14 Girls USDA","Mustang Soccer Lower Field"
"San Jose Earthquakes U-16/17 Girls USDA","Crossfire Premier U-16/17 Girls USDA","Mustang Soccer Upper Field"
"Sky Blue - PDA U-14 Girls USDA","FC Virginia U-14 Girls USDA","PDA # 5"
"So Cal Blues Soccer Club U-14 Girls USDA","West Coast Futbol Club U-14 Girls USDA","Field 28"
"Empire United U-14 Girls USDA","New York City FC U-14 Girls USDA","Empire United Soccer Complex"
"LA Galaxy U-14 Girls USDA","Pateadores U-14 Girls USDA","Field 7"
"Oakwood Soccer Club U-14 Girls USDA","FC Fury NY U-14 Girls USDA","TD Bank OSP #1 (front field)"
"PA Classics U-14 Girls USDA","Washington Spirit Academy - Baltimore Armour U-14 Girls USDA","Classics Turf"
"Penn Fusion Soccer Academy U-14 Girls USDA","Virginia Development Academy U-14 Girls USDA","Penn Fusion Turf Field"
"San Diego Surf U-14 Girls USDA","SC del Sol U-14 Girls USDA","Surf Cup Sports Park # 17"
"Washington Spirit Academy - Virginia U-14 Girls USDA","Cedar Stars Academy - Monmouth U-14 Girls USDA","Maryland SoccerPlex 8 Grass"
"Portland Thorns FC U-14 Girls USDA","La Roca Futbol Club U-14 Girls USDA","Field 1"
"Portland Thorns FC U-18/19 Girls USDA","La Roca Futbol Club U-18/19 Girls USDA","Field 2"
"California Thorns FC U-15 Girls USDA","Reign Academy U-15 Girls USDA","Santa Clara University - Stanton Field"
"Legends FC U-15 Girls USDA","Los Angeles Premier Futbol Club U-15 Girls USDA","Silverlakes #8"
"Orlando Pride U-14 Girls USDA","Boca United Football Club U-14 Girls USDA","Field 3"
"Orlando Pride U-16/17 Girls USDA","Boca United Football Club U-16/17 Girls USDA","Field 4"
"Sky Blue - PDA U-16/17 Girls USDA","FC Virginia U-16/17 Girls USDA","PDA #4"
"So Cal Blues Soccer Club U-15 Girls USDA","West Coast Futbol Club U-15 Girls USDA","Field 28"
"Beach Futbol Club U-15 Girls USDA","Eagles Soccer Club U-15 Girls USDA","Toyota Sports Complex"
"San Jose Earthquakes U-15 Girls USDA","Crossfire Premier U-15 Girls USDA","Mustang Soccer Lower Field"
