"Home","Away","Field"
"BRYC Elite Academy ECNL U13","McLean YSA ECNL U13","Woodson High School - Auxiliary Turf Field"
"Carolina Elite Soccer Academy ECNL U13","South Carolina United ECNL U13","Mesa Complex - Field 4"
"Carolina Rapids ECNL U13","South Carolina United ECNL U13","Matthews Sportsplex - Field 7"
"Richmond United ECNL U13","McLean YSA ECNL U13","West Creek - Field 10"
"Carolina Elite Soccer Academy ECNL U13","Carolina Rapids ECNL U13","Mesa Complex - Field 4"
"BRYC Elite Academy ECNL U13","Richmond United ECNL U13","Woodson High School - Auxiliary Turf Field"
"Carolina Elite Soccer Academy ECNL U13","Richmond United ECNL U13","Mesa Complex - Field 4"
"McLean YSA ECNL U13","Carolina Rapids ECNL U13","Lewinsville Park - Field 3"
"South Carolina United ECNL U13","Richmond United ECNL U13","SCUFC Monticello Road Complex - Field 3"
"BRYC Elite Academy ECNL U13","Carolina Rapids ECNL U13","Robinson High School - Stadium Turf"
"McLean YSA ECNL U13","Carolina Elite Soccer Academy ECNL U13","Lewinsville Park - Field 3"
"BRYC Elite Academy ECNL U13","South Carolina United ECNL U13","Woodson High School - Auxiliary Turf Field"
"BRYC Elite Academy ECNL U13","Carolina Elite Soccer Academy ECNL U13","Robinson High School - Stadium Turf"
"McLean YSA ECNL U13","South Carolina United ECNL U13","Lewinsville Park - Field 3"
"Carolina Rapids ECNL U13","Richmond United ECNL U13","Matthews Sportsplex - Field 6"
"NCFC Youth ECNL U14","Richmond United ECNL U14","WRAL Soccer Center - Accentuate Staffing"
"NC Fusion ECNL U14","Carolina Rapids ECNL U14","BBandT Soccer Park - Field 3"
"BRYC Elite Academy ECNL U14","McLean YSA ECNL U14","Woodson High School - Auxiliary Turf Field"
"Carolina Elite Soccer Academy ECNL U14","South Carolina United ECNL U14","Mesa Complex - Field 4"
"Carolina Rapids ECNL U14","South Carolina United ECNL U14","Matthews Sportsplex - Field 7"
"Richmond United ECNL U14","McLean YSA ECNL U14","West Creek - Field 8"
"Carolina Elite Soccer Academy ECNL U14","NC Fusion ECNL U14","Mesa Complex - Field 4"
"NCFC Youth ECNL U14","BRYC Elite Academy ECNL U14","WRAL Soccer Center - Travers Lasik"
"Carolina Elite Soccer Academy ECNL U14","Carolina Rapids ECNL U14","Mesa Complex - Field 4"
"NCFC Youth ECNL U14","McLean YSA ECNL U14","WRAL Soccer Center - Accentuate Staffing"
"BRYC Elite Academy ECNL U14","Richmond United ECNL U14","Woodson High School - Auxiliary Turf Field"
"McLean YSA ECNL U14","Carolina Rapids ECNL U14","Lewinsville Park - Field 3"
"South Carolina United ECNL U14","NCFC Youth ECNL U14","SCUFC Monticello Road Complex - Stadium B"
"Carolina Elite Soccer Academy ECNL U14","Richmond United ECNL U14","Mesa Complex - Field 4"
"BRYC Elite Academy ECNL U14","NC Fusion ECNL U14","Woodson High School - Auxiliary Turf Field"
"McLean YSA ECNL U14","NC Fusion ECNL U14","Lewinsville Park - Field 3"
"BRYC Elite Academy ECNL U14","Carolina Rapids ECNL U14","Robinson High School - Stadium Turf"
"Carolina Elite Soccer Academy ECNL U14","NCFC Youth ECNL U14","Mesa Complex - Field 4"
"South Carolina United ECNL U14","Richmond United ECNL U14","SCUFC Monticello Road Complex - Field 3"
"NC Fusion ECNL U14","Richmond United ECNL U14","BBandT Soccer Park - Field 3"
"BRYC Elite Academy ECNL U14","South Carolina United ECNL U14","Woodson High School - Auxiliary Turf Field"
"McLean YSA ECNL U14","Carolina Elite Soccer Academy ECNL U14","Lewinsville Park - Field 3"
"Carolina Rapids ECNL U14","Richmond United ECNL U14","Matthews Sportsplex - Field 6"
"NC Fusion ECNL U14","NCFC Youth ECNL U14","BP Field - BP 07"
"McLean YSA ECNL U14","South Carolina United ECNL U14","Lewinsville Park - Field 3"
"BRYC Elite Academy ECNL U14","Carolina Elite Soccer Academy ECNL U14","Robinson High School - Stadium Turf"
"NC Fusion ECNL U14","South Carolina United ECNL U14","BP Field - Field 4"
"Richmond United ECNL U15","BRYC Elite Academy ECNL U15","West Creek - Field 8"
"Carolina Rapids ECNL U15","Carolina Elite Soccer Academy ECNL U15","Matthews Sportsplex - Field 7"
"BRYC Elite Academy ECNL U15","McLean YSA ECNL U15","Robinson High School - Upper Turf"
"NCFC Youth ECNL U15","Richmond United ECNL U15","WRAL Soccer Center - Accentuate Staffing"
"NC Fusion ECNL U15","Carolina Rapids ECNL U15","BBandT Soccer Park - Field 5"
"Carolina Elite Soccer Academy ECNL U15","South Carolina United ECNL U15","Mesa Complex - Field 4"
"Carolina Rapids ECNL U15","South Carolina United ECNL U15","Matthews Sportsplex - Field 8"
"Carolina Elite Soccer Academy ECNL U15","NC Fusion ECNL U15","Mesa Complex - Field 4"
"NCFC Youth ECNL U15","BRYC Elite Academy ECNL U15","WRAL Soccer Center - Travers Lasik"
"Richmond United ECNL U15","McLean YSA ECNL U15","West Creek - Field 8"
"NC Fusion ECNL U15","South Carolina United ECNL U15","BP Field - BP 02 Triton Management"
"NCFC Youth ECNL U15","McLean YSA ECNL U15","WRAL Soccer Center - Travers Lasik"
"BRYC Elite Academy ECNL U15","Richmond United ECNL U15","Robinson High School - Upper Turf"
"Carolina Elite Soccer Academy ECNL U15","Carolina Rapids ECNL U15","Mesa Complex - Field 4"
"BRYC Elite Academy ECNL U15","NC Fusion ECNL U15","Robinson High School - Upper Turf"
"McLean YSA ECNL U15","Carolina Rapids ECNL U15","Lewinsville Park - Field 3"
"Carolina Elite Soccer Academy ECNL U15","Richmond United ECNL U15","Mesa Complex - Field 4"
"South Carolina United ECNL U15","NCFC Youth ECNL U15","SCUFC Monticello Road Complex - Stadium B"
"McLean YSA ECNL U15","NC Fusion ECNL U15","Lewinsville Park - Field 3"
"South Carolina United ECNL U15","Richmond United ECNL U15","SCUFC Monticello Road Complex - Stadium B"
"BRYC Elite Academy ECNL U15","Carolina Rapids ECNL U15","Robinson High School - Stadium Turf"
"Carolina Elite Soccer Academy ECNL U15","NCFC Youth ECNL U15","Mesa Complex - Field 4"
"NC Fusion ECNL U15","Richmond United ECNL U15","BBandT Soccer Park - Field 3"
"McLean YSA ECNL U15","Carolina Elite Soccer Academy ECNL U15","Lewinsville Park - Field 3"
"Carolina Rapids ECNL U15","NCFC Youth ECNL U15","Ramblewood - Field 10"
"BRYC Elite Academy ECNL U15","South Carolina United ECNL U15","Woodson High School - Auxiliary Turf Field"
"NC Fusion ECNL U15","NCFC Youth ECNL U15","BP Field - BP 12"
"BRYC Elite Academy ECNL U15","Carolina Elite Soccer Academy ECNL U15","Robinson High School - Stadium Turf"
"Carolina Rapids ECNL U15","Richmond United ECNL U15","Matthews Sportsplex - Field 8"
"McLean YSA ECNL U15","South Carolina United ECNL U15","Lewinsville Park - Field 2"
"BRYC Elite Academy ECNL U15","NCFC Youth ECNL U15","Woodson High School - Stadium Turf"
"McLean YSA ECNL U15","Richmond United ECNL U15","Lewinsville Park - Field 2"
"South Carolina United ECNL U15","Carolina Rapids ECNL U15","SCUFC Monticello Road Complex - Stadium B"
"NC Fusion ECNL U15","Carolina Elite Soccer Academy ECNL U15","BP Field - BP 08 Secret"
"Richmond United ECNL U15","Carolina Elite Soccer Academy ECNL U15","River City Sportsplex - Field 11"
"NC Fusion ECNL U15","McLean YSA ECNL U15","BP Field - BP 03 Wrangler"
"NCFC Youth ECNL U15","South Carolina United ECNL U15","Bryan Park - Field 10"
"Carolina Rapids ECNL U15","BRYC Elite Academy ECNL U15","Bailey Road Park - Field 2 (lower)"
"Richmond United ECNL U15","South Carolina United ECNL U15","River City Sportsplex - Field 11"
"NC Fusion ECNL U15","BRYC Elite Academy ECNL U15","BP Field - BP 02 Triton Management"
"Carolina Rapids ECNL U15","McLean YSA ECNL U15","Ramblewood - Field 9"
"NCFC Youth ECNL U15","Carolina Elite Soccer Academy ECNL U15","Bryan Park - Field 10"
"Carolina Rapids ECNL U15","NC Fusion ECNL U15","Bailey Road Park - Field 1 (upper)"
"South Carolina United ECNL U15","Carolina Elite Soccer Academy ECNL U15","River Bluff High School Stadium - Stadium"
"Carolina Elite Soccer Academy ECNL U15","BRYC Elite Academy ECNL U15","Mesa Complex - Field 4"
"South Carolina United ECNL U15","McLean YSA ECNL U15","SCUFC Monticello Road Complex - Stadium B"
"NCFC Youth ECNL U15","NC Fusion ECNL U15","WRAL Soccer Center - Stadium"
"Richmond United ECNL U15","Carolina Rapids ECNL U15","Ukrop Park - Turf Field 2"
"Carolina Elite Soccer Academy ECNL U15","McLean YSA ECNL U15","Mesa Complex - Field 4"
"Richmond United ECNL U15","NC Fusion ECNL U15","Ukrop Park - Turf Field 2"
"NCFC Youth ECNL U15","Carolina Rapids ECNL U15","WRAL Soccer Center - Travers Lasik"
"South Carolina United ECNL U15","BRYC Elite Academy ECNL U15","SCUFC Monticello Road Complex - Stadium B"
"Carolina Rapids ECNL U16","Carolina Elite Soccer Academy ECNL U16","Matthews Sportsplex - Field 7"
"Richmond United ECNL U16","BRYC Elite Academy ECNL U16","West Creek - Field 8"
"BRYC Elite Academy ECNL U16","McLean YSA ECNL U16","Robinson High School - Upper Turf"
"NCFC Youth ECNL U16","Richmond United ECNL U16","WRAL Soccer Center - Powerade #3"
"NC Fusion ECNL U16","Carolina Rapids ECNL U16","BBandT Soccer Park - Field 5"
"Carolina Elite Soccer Academy ECNL U16","South Carolina United ECNL U16","Mesa Complex - Field 5"
"Carolina Rapids ECNL U16","South Carolina United ECNL U16","Matthews Sportsplex - Field 8"
"Carolina Elite Soccer Academy ECNL U16","NC Fusion ECNL U16","Mesa Complex - Field 5"
"NCFC Youth ECNL U16","BRYC Elite Academy ECNL U16","WRAL Soccer Center - Stadium"
"Richmond United ECNL U16","McLean YSA ECNL U16","West Creek - Field 10"
"NC Fusion ECNL U16","South Carolina United ECNL U16","BP Field - BP 03 Wrangler"
"BRYC Elite Academy ECNL U16","Richmond United ECNL U16","Robinson High School - Upper Turf"
"Carolina Elite Soccer Academy ECNL U16","Carolina Rapids ECNL U16","Mesa Complex - Field 5"
"NCFC Youth ECNL U16","McLean YSA ECNL U16","WRAL Soccer Center - Stadium"
"McLean YSA ECNL U16","Carolina Rapids ECNL U16","Lewinsville Park - Field 2"
"BRYC Elite Academy ECNL U16","NC Fusion ECNL U16","Robinson High School - Upper Turf"
"Carolina Elite Soccer Academy ECNL U16","Richmond United ECNL U16","Mesa Complex - Field 5"
"South Carolina United ECNL U16","NCFC Youth ECNL U16","SCUFC Monticello Road Complex - Stadium A"
"McLean YSA ECNL U16","NC Fusion ECNL U16","Lewinsville Park - Field 2"
"BRYC Elite Academy ECNL U16","Carolina Rapids ECNL U16","Robinson High School - Upper Turf"
"Carolina Elite Soccer Academy ECNL U16","NCFC Youth ECNL U16","Mesa Complex - Field 5"
"South Carolina United ECNL U16","Richmond United ECNL U16","SCUFC Monticello Road Complex - Stadium A"
"McLean YSA ECNL U16","Carolina Elite Soccer Academy ECNL U16","Lewinsville Park - Field 2"
"BRYC Elite Academy ECNL U16","South Carolina United ECNL U16","Robinson High School - Upper Turf"
"NC Fusion ECNL U16","Richmond United ECNL U16","BBandT Soccer Park - Field 5"
"BRYC Elite Academy ECNL U16","Carolina Elite Soccer Academy ECNL U16","Robinson High School - Upper Turf"
"Carolina Rapids ECNL U16","Richmond United ECNL U16","Matthews Sportsplex - Field 8"
"McLean YSA ECNL U16","South Carolina United ECNL U16","Spring Hill Rec Center - Field 5"
"NC Fusion ECNL U16","NCFC Youth ECNL U16","BP Field - BP 08 Secret"
"BRYC Elite Academy ECNL U16","NCFC Youth ECNL U16","Woodson High School - Stadium Turf"
"McLean YSA ECNL U16","Richmond United ECNL U16","Lewinsville Park - Field 2"
"NC Fusion ECNL U16","Carolina Elite Soccer Academy ECNL U16","BP Field - BP 07"
"South Carolina United ECNL U16","Carolina Rapids ECNL U16","SCUFC Monticello Road Complex - Stadium A"
"Richmond United ECNL U16","Carolina Elite Soccer Academy ECNL U16","River City Sportsplex - Field 12"
"NCFC Youth ECNL U16","South Carolina United ECNL U16","Bryan Park - Field 11"
"Carolina Rapids ECNL U16","BRYC Elite Academy ECNL U16","Bailey Road Park - Field 1 (upper)"
"NC Fusion ECNL U16","McLean YSA ECNL U16","BP Field - BP 02 Triton Management"
"Carolina Rapids ECNL U16","McLean YSA ECNL U16","Ramblewood - Field 9"
"NCFC Youth ECNL U16","Carolina Elite Soccer Academy ECNL U16","Bryan Park - Field 10"
"Richmond United ECNL U16","South Carolina United ECNL U16","River City Sportsplex - Field 12"
"NC Fusion ECNL U16","BRYC Elite Academy ECNL U16","BP Field - BP 02 Triton Management"
"Carolina Rapids ECNL U16","NC Fusion ECNL U16","Bailey Road Park - Field 1 (upper)"
"South Carolina United ECNL U16","Carolina Elite Soccer Academy ECNL U16","River Bluff High School Stadium - Stadium"
"Richmond United ECNL U16","Carolina Rapids ECNL U16","Ukrop Park - Turf Field 1"
"South Carolina United ECNL U16","McLean YSA ECNL U16","SCUFC Monticello Road Complex - Stadium A"
"Carolina Elite Soccer Academy ECNL U16","BRYC Elite Academy ECNL U16","Mesa Complex - Field 4"
