Game #,Home,Score,Visitor,Score,Date,Time,Location
4143168,Beach Futbol Club U-14 Girls,3,Eagles Soccer Club U-14,1,9/2/17,9:00 AM,Toyota Sports Complex
4143194,California Thorns FC U-14 Girls,0,Reign Academy U-14,3,9/2/17,9:00 AM,Santa Clara University - Stanton Field
4143314,Legends FC U-14 Girls,7,Los Angeles Premier Futbol Club U-14,1,9/2/17,9:00 AM,Silverlakes #8
4143393,San Jose Earthquakes U-14 Girls,3,Crossfire Premier U-14,2,9/2/17,9:00 AM,Mustang Soccer Lower Field
4144033,San Jose Earthquakes U-16/17 Girls,2,Crossfire Premier U-16/17,1,9/2/17,9:00 AM,Mustang Soccer Upper Field
4142018,Sky Blue - PDA U-14 Girls,3,FC Virginia U-14,0,9/2/17,9:00 AM,PDA # 5
4143444,So Cal Blues Soccer Club U-14 Girls,0,West Coast Futbol Club U-14,3,9/2/17,9:00 AM,Field 28
4141833,Empire United U-14 Girls,0,New York City FC U-14,5,9/2/17,10:00 AM,Empire United Soccer Complex
4143233,LA Galaxy U-14 Girls,3,Pateadores U-14,0,9/2/17,10:00 AM,Field 7
4141951,Oakwood Soccer Club U-14 Girls,5,FC Fury NY U-14,4,9/2/17,10:00 AM,TD Bank OSP #1 (front field)
4141971,PA Classics U-14 Girls,1,Washington Spirit Academy - Baltimore Armour U-14,1,9/2/17,10:00 AM,Classics Turf
4141984,Penn Fusion Soccer Academy U-14 Girls,7,Virginia Development Academy U-14,1,9/2/17,10:00 AM,Penn Fusion Turf Field
4143419,San Diego Surf U-14 Girls,5,SC del Sol U-14,0,9/2/17,10:00 AM,Surf Cup Sports Park # 17
4142072,Washington Spirit Academy - Virginia U-14 Girls,0,Cedar Stars Academy - Monmouth U-14,4,9/2/17,10:00 AM,Maryland SoccerPlex 8 Grass
4143356,Portland Thorns FC U-14 Girls,2,La Roca Futbol Club U-14,3,9/2/17,10:30 AM,Field 1
4144316,Portland Thorns FC U-18/19 Girls,1,La Roca Futbol Club U-18/19,1,9/2/17,10:30 AM,Field 2
4143514,California Thorns FC U-15 Girls,1,Reign Academy U-15,1,9/2/17,11:00 AM,Santa Clara University - Stanton Field
4143634,Legends FC U-15 Girls,5,Los Angeles Premier Futbol Club U-15,0,9/2/17,11:00 AM,Silverlakes #8
4141956,Orlando Pride U-14 Girls,1,Boca United Football Club U-14,1,9/2/17,11:00 AM,Field 3
4142656,Orlando Pride U-16/17 Girls,0,Boca United Football Club U-16/17,2,9/2/17,11:00 AM,Field 4
4142718,Sky Blue - PDA U-16/17 Girls,1,FC Virginia U-16/17,0,9/2/17,11:00 AM,PDA #4
