"Field","Street Address","City","State","Zip Code"
"4S Ranch Sports Park Field 5","16118 4S Ranch Parkway","San Diego ","CA","92127"
"60 Acres - Field 22","15200 NE 116th St","Redmond","WA","98052"
"60 Acres Soccer Complex - South Side Field #22","15200 NE 116th St","Redmond","WA","98052"
"Abbotts Hill Elementary","5575 Abbotts Bridge Road","Johns Creek","GA","30097"
"Acton Boxborough High School Turf","Lower Fields","66 Hayward Rd","Acton","MA"
"Addenbrooke Park Addenbrooke- East Field","601 S Garrison St","Lakewood","CO","80226"
"Addenbrooke Park Addenbrooke- South Field 1","601 S Garrison St","Lakewood","CO","80226"
"Addenbrooke Park Addenbrooke- South Field 2","601 S Garrison St","Lakewood","CO","80226"
"Alameda College -Stadium Field","555 Ralph Appezzato Memorial Pkwy ","Alameda","CA","94501"
"Alexander HS","6500 Alexander Parkway ","Douglasville","GA","30135"
"Alga Norte Community Park Alga Norte #3","6565 Alicante Road","Carlsbad","CA","92009"
"Allen Creek Soccer Complex   Allen Creek Soccer Complex Field 1","2500 Allen Creek Rd","Gainesville","GA","30507"
"Allen Creek Soccer Complex   Allen Creek Soccer Complex Field 4A","2500 Allen Creek Rd","Gainesville","GA","30507"
"Allen Creek Soccer Complex   Allen Creek Soccer Complex Field 4B","2500 Allen Creek Rd","Gainesville","GA","30507"
"Allen Field","3908 Torrey Pines Rd.","La Jolla","CA","92037"
"America First Federal","76 West Sego Lily Drive","Sandy","UT","84070"
"Archbishop Murphy High School","12911 39th Avenue SE","Bothell","WA","98208"
"Argo High School - Stadium Field (Turf)","7329 W 63rd Street","sUMMIT","IL","60501"
"Arlington Heights High School","4501 W. Freeway","Fort Worth","TX","76107"
"Army and Navy Academy","2605 Carlsbad Boulevard","Carlsbad ","CA","920008"
"Ashland University - Ferguson Field","Ferguson Soccer Field","1000 Broad Street","Ashland","OH"
"Athey Creek Middle School #3","2900 SW Borland Rd.","Tualatin","OR","97062"
"Atlanta United Training Center - Field 4","861 Franklin Gateway SE","Marietta","GA","30067"
"Atlanta United Training Center - Field 5","861 Franklin Gateway SE","Marietta","GA","30067"
"Atlanta United Training Center - Field 6","861 Franklin Gateway SE","Marietta","GA","30067"
"Atlanta United Training Center- Field 3 (Stadium)","861 Franklin Gateway SE","Marietta","GA","30067"
"Aurora Sports Park ASP Turf 4A","19300 E Colfax Ave","Aurora","CO","80111"
"Aurora Sports Park ASP Turf 4B","19300 E Colfax Ave","Aurora","CO","80111"
"Aviator Sports and Recreation - Field 1 (Turf)","5 Floyd Bennett Field","Brooklyn","NY","11234"
"Bailey Park - Turf 1","11536 Bailey Rd","Cornelius","NC","28031"
"Bailey Park - Turf 2","11536 Bailey Rd","Cornelius","NC","28031"
"Bailey Park Turf - 2A","28031",NA,NA,NA
"Bailey Park Turf 2B","28031",NA,NA,NA
"Bartholomew Sports Park","10150 Franklin High Road","Elk Grove","CA","95757"
"Bartholomew Sports Park BSP 3S","10150 Franklin High Road","Elk Grove ","CA","95757"
"Bayside FC Facility (East Providence High School)","2000 Pawtucket Avenue","East Providence ","RI","02914"
"Bayside FC Stadium (East Providence High School)","2000 Pawtucket Ave,","East Providence","RI","02914"
"Bayside FC Stadium Bayside FC Stadium 1A","2000 Pawtucket Avenue","East Providence","RI","02914"
"Bayside FC Stadium Bayside FC Stadium 1B","2000 Pawtucket Avenue","East Providence","RI","02914"
"BB&T Soccer Park BB&T - Field 1","5765 Hwy. 158 ","Advance","NC","27006"
"BB&T Soccer Park BB&T - Field 10","5765 Hwy. 158 ","Advance","NC","27006"
"BB&T Soccer Park BB&T - Field 11","5765 Hwy. 158 ","Advance","NC","27006"
"BB&T Soccer Park BB&T - Field 13","5765 Hwy. 158 ","Advance","NC","27006"
"BB&T Soccer Park BB&T - Field 2","5765 Hwy. 158 ","Advance","NC","27006"
"BB&T Soccer Park BB&T - Field 3","5765 Hwy. 158 ","Advance","NC","27006"
"BB&T Soccer Park BB&T - Field 4","5765 Hwy. 158 ","Advance","NC","27006"
"BB&T Soccer Park BB&T - Field 5","5765 Hwy. 158 ","Advance","NC","27006"
"BB&T Soccer Park BB&T - Field 6","5765 Hwy. 158 ","Advance","NC","27006"
"BB&T Soccer Park BB&T - Field 7","5765 Hwy. 158 ","Advance","NC","27006"
"BB&T Soccer Park BB&T - Field 8","5765 Hwy. 158 ","Advance","NC","27006"
"BB&T Soccer Park BB&T - Field 9","5765 Hwy. 158 ","Advance","NC","27006"
"BB&T Soccer Park BB&T Soccer Park Field 1","5765 US Hwy 158","Bermuda Run","NC","27006"
"BB&T Soccer Park BB&T Soccer Park Field 2","5765 US Hwy 158","Bermuda Run","NC","27006"
"BB&T Soccer Park BB&T Soccer Park Field 9A","5765 US Hwy 158","Bermuda Run","NC","27006"
"BB&T Soccer Park BB&T Soccer Park Field 9B","5765 US Hwy 158","Bermuda Run","NC","27006"
"Bear Branch 1","Bear Branch 1",NA,NA,NA
"Bear Branch Soccer Complex Field 3 (turf)","5200 Research Forest Dr.","The Woodlands","TX","77380"
"Bear Branch Soccer Complex Field 3A (turf)","5200 Research Forest Dr.","The Woodlands","TX","77380"
"Bear Branch Soccer Complex Field 3B (turf)","5200 Research Forest Dr.","The Woodlands","TX","77380"
"Bear Branch Soccer Complex Field 7","5200 Research Forest Dr.","The Woodlands","TX","77380"
"Belson Stadium, St. John's University","80-00 Utopia Pkwy","Queens","NY 11432","Queens"
"Blue Ash Sports Center","11540 Grooms Rd.","Cincinnati","OH","45242"
"Bonita Creek Park","3010 La Vida","Newport Beach","CA","92620"
"Brennan Field","61-57 Lutheran Avenue","Middle Village","NY","11379"
"Bryan Park #2","6105 Townsend Rd.","Browns Summit","NC","27214"
"Bryan Park #3","6105 Townsend Rd.","Browns Summit","NC","27214"
"Bryan Park Bryan Park Field 1","6105 Townsend Rd","Browns Summit","NC","27214"
"Bryan Park Bryan Park Field 10","6105 Townsend Rd","Browns Summit","NC","27214"
"Bryan Park Bryan Park Field 11","6105 Townsend Rd","Browns Summit","NC","27214"
"Bryan Park Bryan Park Field 2","6105 Townsend Rd","Browns Summit","NC","27214"
"Bryan Park Bryan Park Field 3","6105 Townsend Rd","Browns Summit","NC","27214"
"Bryan Park Bryan Park Field 7","6105 Townsend Rd","Browns Summit","NC","27214"
"Burroughs Park - Field 2","9738 Huffsmith Rd","Tomball","TX","77375"
"Burroughs Park - Field 5","9738 Huffsmith Rd","Tomball ","TX","77375"
"Burroughs Park - Field 9","9738 Huffsmith Rd","Tomball","TX","77375"
"Cabrillo College - Field 1","6500 Soquel Drive","Aptos","CA","95003"
"Cabrillo College - Stadium Field","6500 Soquel Drive","Aptos","CA","95050"
"Cal State LA - Stadium","2110 Lansdowne Ave","Monterey Park","CA","90032"
"Cal State Monterey Bay Soccer Field","2nd Avenue ","Seaside","CA","93955"
"Canlan Sportsplex Lake Barrington Canlan Sportsplex Lake Barrington (Indoor Turf Field)","28156 W Northpointe Pkwy","Lake Barrington","IL","60010"
"Canlan Sportsplex Lake Barrington Canlan Sportsplex Lake Barrington Field A","28156 W Northpointe Pkwy","Lake Barrington","IL","60010"
"Canlan Sportsplex Lake Barrington Canlan Sportsplex Lake Barrington Field B","28156 W Northpointe Pkwy","Lake Barrington","IL","60010"
"Capelli Sport Complex - Field 3 Capelli Sport Complex - Field 3 FS","1659 Wayside Road","Tinton Falls ","NJ","07712"
"Capelli Sport Complex - Field 4 ","1659 Wayside Road","Tinton Falls","NJ","07712"
"Capelli Sport Complex - Field 4 Capelli Sport Complex - Field 4 FS","1659 Wayside Road","Tinton Falls","NJ","07712"
"Capelli Sport Complex - Field 4 Capelli Sport Complex - Field 4 SS B","1659 Wayside Road","Tinton Falls","NJ","07712"
"Capital FC Training Complex John Chambers Field (11v11)","5201 State St","Salem","OR","97317"
"Capital FC Training Complex John Chambers Field B (9v9)","5201 State St","Salem","OR","97317"
"Central Park Soccer Field #7","9151 NW 2nd St","Plantation","FL","33324"
"Centre Nutrilait","411 Avenue Letourneux","Montreal ","H1V 2L7",NA
"Centre Nutrilait ACADEMY 2","411 Avenue Letourneux","Montreal ","H1V 2L7",NA
"Centre Nutrilait ACADEMY1","411 Avenue Letourneux","Montreal ","H1V 2L7",NA
"Classic Soccer Park Field 1","1461 Lancaster Road","Manheim","PA","17545"
"Classic Soccer Park Field 2","1461 Lancaster Road","Manheim","PA","17545"
"Classic Soccer Park Field 3 (9v9)","1461 Lancaster Road","Manheim","PA","17545"
"College of Marin- Kentfield Campus","1120 Magnolia Ave","Larkspur","CA","94939"
"Colorado School of Mines CO School of Mines- Stermole Soccer Track","1300 12th Street","Golden","CO","80401"
