"Home","Away","Field"
"Montreal Impact FC U-16/17 Boys USDA","FC Westchester Armour U-16/17 Boys USDA","Centre Nutrilait"
"Montreal Impact FC U-15 Boys USDA","FC Westchester Armour U-15 Boys USDA","Centre Nutrilait"
"Montreal Impact FC U-18/19 Boys USDA","FC Westchester Armour U-18/19 Boys USDA","Centre Nutrilait"
"Vancouver Whitecaps FC U-15 Boys USDA","Portland Timbers U-15 Boys USDA","National Soccer Development Centre - Turf"
"Vancouver Whitecaps FC U-16/17 Boys USDA","Portland Timbers U-16/17 Boys USDA","National Soccer Development Centre - Turf"
"Vancouver Whitecaps FC U-18/19 Boys USDA","Portland Timbers U-18/19 Boys USDA","National Soccer Development Centre - Turf"
"Montreal Impact FC U-15 Boys USDA","New England Revolution U-15 Boys USDA","Centre Nutrilait"
"Montreal Impact FC U-16/17 Boys USDA","New England Revolution U-16/17 Boys USDA","Centre Nutrilait"
"Montreal Impact FC U-18/19 Boys USDA","New England Revolution U-18/19 Boys USDA","Centre Nutrilait"
"Montreal Impact FC U-15 Boys USDA","Cedar Stars Academy - Bergen U-15 Boys USDA","Centre Nutrilait"
"Montreal Impact FC U-16/17 Boys USDA","Oakwood Soccer Club U-16/17 Boys USDA","Centre Nutrilait ACADEMY1"
"Vancouver Whitecaps FC U-15 Boys USDA","Crossfire Premier U-15 Boys USDA","National Soccer Development Centre - Turf"
"Montreal Impact FC U-15 Boys USDA","Oakwood Soccer Club U-15 Boys USDA","Centre Nutrilait ACADEMY 2"
"Montreal Impact FC U-18/19 Boys USDA","Oakwood Soccer Club U-18/19 Boys USDA","Centre Nutrilait ACADEMY1"
"San Francisco Glens Evolution U-12 Boys USDA","Silicon Valley Soccer Academy U-12 Boys USDA","TBD 1C/D"
"Vancouver Whitecaps FC U-16/17 Boys USDA","Crossfire Premier U-16/17 Boys USDA","National Soccer Development Centre - Turf"
"San Francisco Glens Evolution U-12 Boys USDA","Silicon Valley Soccer Academy U-12 Boys USDA","TBD 1C/D"
"Vancouver Whitecaps FC U-18/19 Boys USDA","Crossfire Premier U-18/19 Boys USDA","National Soccer Development Centre - Turf"
"Montreal Impact FC U-15 Boys USDA","Beachside Soccer Club CT U-15 Boys USDA","Centre Nutrilait"
"Montreal Impact FC U-16/17 Boys USDA","Beachside Soccer Club CT U-16/17 Boys USDA","Centre Nutrilait"
"Montreal Impact FC U-18/19 Boys USDA","Beachside Soccer Club CT U-18/19 Boys USDA","Centre Nutrilait"
"Montreal Impact FC U-15 Boys USDA","New York City FC U-15 Boys USDA","Centre Nutrilait"
"Vancouver Whitecaps FC U-15 Boys USDA","Silicon Valley Soccer Academy U-15 Boys USDA","National Soccer Development Centre - Turf"
"Montreal Impact FC U-16/17 Boys USDA","New York City FC U-16/17 Boys USDA","Centre Nutrilait"
"Vancouver Whitecaps FC U-16/17 Boys USDA","Silicon Valley Soccer Academy U-16/17 Boys USDA","National Soccer Development Centre - Turf"
