"Field","Street Address","City","State","Zip Code"
"""Mayfield"" (Stanford Palo Alto Community Fields) Mayfield North Field (turf)","2700 El Camino Real ","Palo Alto","CA","94306"
"""Mayfield"" (Stanford Palo Alto Community Fields) Mayfield South Field (turf)","2700 El Camino Real ","Palo Alto","CA","94306"
"53rd Street Community Sports Park Field 1","300 NE 53rd Avenue","  Hillsboro","OR","97124"
"53rd Street Community Sports Park Field 2","300 NE 53rd Avenue","  Hillsboro","OR","97124"
"60 Acres - Field 19","15200 NE 116th St","Redmond","WA","98052"
"60 Acres - Field 21","15200 NE 116th St","Redmond","WA","98052"
"Aquinas College","1700 Fulton St E","Grand Rapids","MI","49506"
"Army and Navy Academy","2605 Carlsbad Boulevard","Carlsbad ","CA","920008"
"Baltimore Polytechnic High School","1400 W. Cold Spring Lane","Baltimore","MD","21209"
"Bear Branch Sportsfields Field 3 (turf)","5205 Research Forest Blvd","The Woodlands","TX","77381"
"Bear Branch Sportsfields Field 7","5205 Research Forest Blvd","The Woodlands","TX","77381"
"Bellarmine College Prepatory Bellarmine College Prep - Brigit Whims Memorial Field - Soccer","960 W. Hedding Street","San Jose","CA","95126"
"Bellevue College","3000 Landerholm Cir SE","Bellevue","WA","98007"
"Bles Park Field 2","44830 Riverside Parkway","Ashburn","VA","20148"
"Burlingame High School Back Field","720 Oak Grove Ave","Burlingame","CA","94010"
"Burlingame High School Stadium Field","680 Carolan Ave","Burlingame","CA","94010"
"Canlan Sportsplex Indoor","28156 West North Pointe Parkway","Lake Barrington","IL","60010"
"Canlan Sportsplex Lake Barrington Canlan Sportsplex Lake Barrington (Indoor Turf Field)","28156 W Northpointe Pkwy","Lake Barrington","IL","60010"
"Cantiague Park","480 West John St","Hicksville","NY","11801"
"Capelli Sport Complex - Field 3 Capelli Sport Complex - Field 3 FS","1659 Wayside Road","Tinton Falls ","NJ","07712"
"Capelli Sport Complex - Field 4 Capelli Sport Complex - Field 4 FS","1659 Wayside Road","Tinton Falls","NJ","07712"
"Capelli Sport Complex - Field 5","1660 Wayside Road","Tinton Falls","NJ","07712"
"Classic Soccer Park Field 1","1461 Lancaster Road","Manheim","PA","17545"
"Classics Turf","1270 Lititz Rd","Manheim","PA","17545"
"Clay County Soccer Complex Clay County Soccer Complex Fld 16","4387 Lakeshore Drive","Fleming Island","FL","32003"
"Clay County Soccer Complex Clay County soccer Complex Fld 17","4387 Lakeshore Drive","Fleming Island","FL","32003"
"Commissioners Park","3704 111th Street","Naperville","IL","60585"
"Covenant Park Covenant Park #5","4560 Centennial Lane","Ellicott City","MD","21042"
"Dallas Texans Soccer Complex - Lewisville","1021 East Main Street","Lewisville","TX","75057"
"DeAnza College DeAnza College - Soccer Field","21250 Stevens Creek Blvd","Cupertino","CA","95014"
"DeAnza College DeAnza College - Stadium Field","21250 Stevens Creek Blvd","Cupertino","CA","95014"
"Delta Park Field 5","10737 N Union CtÂ ","Portland","OR","97217"
"Delta Park Field 6","10737 N Union CtÂ ","Portland","OR","97217"
"Denver Christian School","3898 S. Teller Street","Lakewood","CO","80235"
"Doyle Field","126 Priest St","Leominster","MA","01453"
"El Camino College","16007 Crenshaw Blvd","Torrane","CA","90506"
"Empire United Soccer Complex","1520 John Street","West Henrietta","NY","14586"
"Evergreen Sportsplex Evergreen Field 1","19623 Evergreen Mills Road","Leesburg","VA","20175"
"Evergreen Sportsplex Evergreen Field 2","19623 Evergreen Mills Road","Leesburg","VA","20175"
"Evergreen Sportsplex Evergreen Field 3","19623 Evergreen Mills Road","Leesburg","VA","20175"
"Evergreen Sportsplex Evergreen Field 4","19623 Evergreen Mills Road","Leesburg","VA","20175"
"FC Stars Facility Field 1","1430 Lunenburg Road","Lancaster","MA","01523"
"Fowler Park Fowler Park: Field 10 (turf)","4110 Carolene Way","Cumming","GA","30040"
"Fowler Park Fowler Park: Field 5 (turf)","4110 Carolene Way","Cumming","GA","30040"
"Francis Parker School","6501 Linda Vista Road","San Diego","CA","92111"
"Fullerton College Grass","321 E Chapman Ave","Fullerton","CA","92832"
"Fullerton College Turf","321 E Chapman Ave","Fullerton","CA","92832"
"Georgia Soccer Park - Field 1","3895 Ben Hill Road","East Point","GA","30349"
"Georgia Soccer Park - Field 2","3895 Ben Hill Road","East Point","GA","30349"
"Georgia Soccer Park - Field 3","3895 Ben Hill Road","East Point","GA","30349"
"Gosling Sportsfields Field 1 (turf)","Marisco Pl","Conroe","TX","77384"
"Gosling Sportsfields Field 3 (turf)","Marisco Pl","Conroe","TX","77384"
"Grand park INDOOR Center","711 E 191st St","Westfield","IN",NA
"Grand Park INDOOR East","711 E 191st St","Westfield","IN",NA
"Grand Park INDOOR West","711 E 191st St","westfield","IN","46074"
"Grand Park Sports Campus - Field 3 (Turf)","711 E. 191st St.","Westfield","IN","46074"
"Grande Sports World Field #1","12684 W Gila Bend Hwy","Casa Grande","AZ","85193"
"Grande Sports World Field #2","12684 W Gila Bend Hwy","Casa Grande","AZ","85193"
"Grandville High School","4700 Canal Ave SW","Grandville","MI","49418"
"Grandville High School Grandville Football Field","4700 Canal Ave SW","Grandville","MI","49418"
"Grandville High School Grandville Soccer Field","4700 Canal Ave SW","Grandville","MI","49418"
"Grist Mill Park #4"," 4710 Mt Vernon Memorial Highway  "," Alexandria","VA","22309"
"Highlands Heritage Regional Park Highlands Heritage Park Stadium Field","9651 S Quebec Street","Highlands Ranch","CO","80130"
"Hofstra University","245 Hofstra Northern Blvd","Hempstead","NY","11549"
"Howison Homestead Park Howison #1 (Turf)","14716 Minnieville Rd","Woodbridge","VA","22193"
"Howison Homestead Park Howison #3 (Turf)","14716 Minnieville Rd","Woodbridge","VA","22193"
"IMG Soccer Complex Field  #11","5650 Bollittieri Blvd","Bradenton","FL","34210"
"IMG Soccer Complex Field  #14","5650 Bollittieri Blvd","Bradenton","FL","34210"
"IMG Soccer Complex Field  #15","5650 Bollittieri Blvd","Bradenton","FL","34210"
"IMG Soccer Complex Field # 16","5691 Bollettieri Boulevard","Bradenton","FL","34210"
"IMG Soccer Complex Field #12","5650 Bollittieri Blvd","Bradenton","FL","34210"
"IMG Soccer Complex Field #2","5650 Bollittieri Blvd","Bradenton","FL","34210"
"Independence High School - Varsity Field","1776 Educational Park Dr","San Jose","CA","95133"
"J.C. Handly Sports Complex Field 6 (Carillon Sports and Family Medicine)","3104 S. Kings Ave","Brandon","FL","33511"
"J.C. Handly Sports Complex Field 7","3104 S. Kings Ave","Brandon","FL","33511"
"James Lick High School","58 N White rd","San Jose","CA","95127"
"Jaycee Park","32501 Pembroke Street","Livonia ","MI","48152"
"Jefferson High School Stadium Field","6996 Mission St","Daly City","94014",NA
"John J Burns Park ","4990 Merrick Road","Massapequa Park","NY","11762"
"Jordan Middle School Jordan MS Field #3","750 North California Avenue","Palo Alto","CA","94303"
"Kansas City Kansas Community College","7250 State Avenue","Kansas City","KS","66112"
"La Canada High School La Canada JV Field - Grass","4463 Oak Grove Dr,","La Canada Flintridge","CA","91011"
"La Canada High School La Canada Stadium - Turf","4463 Oak Grove Dr,","La Canada Flintridge","CA","91011"
"Lake Fairfax Park Lake Fairfax #1","1400 Lake Fairfax Dr","Reston","VA","20190"
"Lakewood Memorial Field","7655 W 10th Ave","Lakewood","CO","80214"
"Langston Hughes Middle School","11401 Ridge Heights Road","Reston","VA","20191"
"Loggers' Run Park Field 1","11185 W Palmetto Park Road","Boca Raton","FL","33428"
"Loggers' Run Park Field 2","11185 W Palmetto Park Road","Boca Raton","FL","33428"
"Loggers' Run Park Field 3","11185 W Palmetto Park Road","Boca Raton","FL","33428"
"Loggers' Run Park Field 4","11185 W Palmetto Park Road","Boca Raton","FL","33428"
"Mahany Park","1545 Pleasant Grove Blvd","Roseville","CA","95747"
"Manhattanville College Turf field","2900 Purchase Street","Purchase ","NY","10577"
"Marian Univertiy","3200 Cold Springs Rd","Indianapolis","IN","46222"
"Maryland SoccerPlex Maryland SoccerPlex 12","18031 Central Park Circle","Boyds","MD","20841"
"Maryland SoccerPlex Maryland SoccerPlex 13","18031 Central Park Circle","Boyds","MD","20841"
"Maryland SoccerPlex Maryland SoccerPlex 2 Grass","18031 Central Park Circle","Boyds","MD","20841"
"Maryland SoccerPlex Maryland SoccerPlex 6","18031 Central Park Circle","Boyds","MD","20841"
"Maryland SoccerPlex Maryland SoccerPlex 8","18031 Central Park Circle","Boyds","MD","20841"
"Maryland SoccerPlex Maryland SoccerPlex 8 Grass","18031 Central Park Circle","Boyds","MD","20841"
"Marymoor Park - Field 2 (Turf)","6046 W Lake Sammamish Parkway NE","Redmond","WA","98052"
"Marymoor Park - Field 3 (Turf)","6046 W Lake Sammamish Parkway NE","Redmond","WA","98052"
"McMaster Athletic Complex","101 W L Walden Dr","Georgetown ","TX","78626"
"Meadowmere Park Meadowmere Park Field 5","3000 Meadowmere Ln","Grapevine","TX",NA
"Meadowmere Park Meadowmere Park Field 6","3000 Meadowmere Ln","Grapevine","TX",NA
"Merritt College","12500 Campus Dr","Oakland","CA","94619"
"Metro North Park Metro North Park 1","4645 Paper Mill Road","Marietta","GA","30067"
"Metro North Park Metro North Park 3","4645 Paper Mill Road","Marietta","GA","30067"
"Metro State University, Regency Athletic Complex","1600 W Colfax","Denver","CO","80204"
"Middle Creek Soccer Park Middle Creek #1","151 Middle Creek Park Ave","Apex","NC","27539"
"Middle Creek Soccer Park Middle Creek #2","151 Middle Creek Park Ave","Apex","NC","27539"
