"Team","Age Group","Gender"
"Albion SC U-14 Girls","U14","Girls"
"Albion SC U-15 Girls","U15","Girls"
"Albion SC U-16/17 Girls","U17","Girls"
"Albion SC U-18/19 Girls","U19","Girls"
"Beach Futbol Club U-14 Girls","U14","Girls"
"Beach Futbol Club U-15 Girls","U15","Girls"
"Beach Futbol Club U-16/17 Girls","U17","Girls"
"Beach Futbol Club U-18/19 Girls","U19","Girls"
"Boca United Football Club U-14 Girls","U14","Girls"
"Boca United Football Club U-15 Girls","U15","Girls"
"Boca United Football Club U-16/17 Girls","U17","Girls"
"Boca United Football Club U-18/19 Girls","U19","Girls"
"Boston Breakers Academy U-14 Girls","U14","Girls"
"Boston Breakers Academy U-15 Girls","U15","Girls"
"Boston Breakers Academy U-16/17 Girls","U17","Girls"
"Boston Breakers Academy U-18/19 Girls","U19","Girls"
"Burlingame Soccer Club U-14 Girls","U14","Girls"
"Burlingame Soccer Club U-15 Girls","U15","Girls"
"Burlingame Soccer Club U-16/17 Girls","U17","Girls"
"Burlingame Soccer Club U-18/19 Girls","U19","Girls"
"California Thorns FC U-14 Girls","U14","Girls"
"California Thorns FC U-15 Girls","U15","Girls"
"California Thorns FC U-16/17 Girls","U17","Girls"
"California Thorns FC U-18/19 Girls","U19","Girls"
"Cedar Stars Academy - Monmouth U-14 Girls","U14","Girls"
"Cedar Stars Academy - Monmouth U-15 Girls","U15","Girls"
"Cedar Stars Academy - Monmouth U-16/17 Girls","U17","Girls"
"Cedar Stars Academy - Monmouth U-18/19 Girls","U19","Girls"
"Charlotte Soccer Academy U-14 Girls","U14","Girls"
"Charlotte Soccer Academy U-15 Girls","U15","Girls"
"Charlotte Soccer Academy U-16/17 Girls","U17","Girls"
"Charlotte Soccer Academy U-18/19 Girls","U19","Girls"
"Cincinnati Development Academy U-14 Girls","U14","Girls"
"Cincinnati Development Academy U-15 Girls","U15","Girls"
"Cincinnati Development Academy U-16/17 Girls","U17","Girls"
"Cincinnati Development Academy U-18/19 Girls","U19","Girls"
"Colorado Rush U-14 Girls","U14","Girls"
"Colorado Rush U-15 Girls","U15","Girls"
"Colorado Rush U-16/17 Girls","U17","Girls"
"Colorado Rush U-18/19 Girls","U19","Girls"
"Concorde Fire U-14 Girls","U14","Girls"
"Concorde Fire U-15 Girls","U15","Girls"
"Concorde Fire U-16/17 Girls","U17","Girls"
"Concorde Fire U-18/19 Girls","U19","Girls"
"Crossfire Premier U-14 Girls","U14","Girls"
"Crossfire Premier U-15 Girls","U15","Girls"
"Crossfire Premier U-16/17 Girls","U17","Girls"
"Crossfire Premier U-18/19 Girls","U19","Girls"
"Dallas Texans U-14 Girls","U14","Girls"
"Dallas Texans U-15 Girls","U15","Girls"
"Dallas Texans U-16/17 Girls","U17","Girls"
"Dallas Texans U-18/19 Girls","U19","Girls"
"Eagles Soccer Club U-14 Girls","U14","Girls"
"Eagles Soccer Club U-15 Girls","U15","Girls"
"Eagles Soccer Club U-16/17 Girls","U17","Girls"
"Eagles Soccer Club U-18/19 Girls","U19","Girls"
"Eclipse Select Soccer Club U-14 Girls","U14","Girls"
"Eclipse Select Soccer Club U-15 Girls","U15","Girls"
"Eclipse Select Soccer Club U-16/17 Girls","U17","Girls"
"Eclipse Select Soccer Club U-18/19 Girls","U19","Girls"
"Empire United U-14 Girls","U14","Girls"
"Empire United U-15 Girls","U15","Girls"
"Empire United U-16/17 Girls","U17","Girls"
"Empire United U-18/19 Girls","U19","Girls"
"FC Dallas U-14 Girls","U14","Girls"
"FC Dallas U-15 Girls","U15","Girls"
"FC Dallas U-16/17 Girls","U17","Girls"
"FC Dallas U-18/19 Girls","U19","Girls"
"FC Fury NY U-14 Girls","U14","Girls"
"FC Fury NY U-15 Girls","U15","Girls"
"FC Fury NY U-16/17 Girls","U17","Girls"
"FC Fury NY U-18/19 Girls","U19","Girls"
"FC Kansas City U-14 Girls","U14","Girls"
"FC Kansas City U-15 Girls","U15","Girls"
"FC Kansas City U-16/17 Girls","U17","Girls"
"FC Kansas City U-18/19 Girls","U19","Girls"
"FC Stars U-14 Girls","U14","Girls"
"FC Stars U-15 Girls","U15","Girls"
"FC Stars U-16/17 Girls","U17","Girls"
"FC Stars U-18/19 Girls","U19","Girls"
"FC United Soccer Club U-14 Girls","U14","Girls"
"FC United Soccer Club U-15 Girls","U15","Girls"
"FC United Soccer Club U-16/17 Girls","U17","Girls"
"FC United Soccer Club U-18/19 Girls","U19","Girls"
"FC Virginia U-14 Girls","U14","Girls"
"FC Virginia U-15 Girls","U15","Girls"
"FC Virginia U-16/17 Girls","U17","Girls"
"FC Virginia U-18/19 Girls","U19","Girls"
"Houston Dash U-14 Girls","U14","Girls"
"Houston Dash U-15 Girls","U15","Girls"
"Houston Dash U-16/17 Girls","U17","Girls"
"Houston Dash U-18/19 Girls","U19","Girls"
"IMG Academy U-14 Girls","U14","Girls"
"IMG Academy U-15 Girls","U15","Girls"
"IMG Academy U-16/17 Girls","U17","Girls"
"IMG Academy U-18/19 Girls","U19","Girls"
"Indiana Fire Academy U-14 Girls","U14","Girls"
"Indiana Fire Academy U-15 Girls","U15","Girls"
"Indiana Fire Academy U-16/17 Girls","U17","Girls"
"Indiana Fire Academy U-18/19 Girls","U19","Girls"
"LA Galaxy San Diego U-14 Girls","U14","Girls"
"LA Galaxy San Diego U-15 Girls","U15","Girls"
"LA Galaxy San Diego U-16/17 Girls","U17","Girls"
"LA Galaxy San Diego U-18/19 Girls","U19","Girls"
"LA Galaxy U-14 Girls","U14","Girls"
"LA Galaxy U-15 Girls","U15","Girls"
"LA Galaxy U-16/17 Girls","U17","Girls"
"LA Galaxy U-18/19 Girls","U19","Girls"
"La Roca Futbol Club U-14 Girls","U14","Girls"
"La Roca Futbol Club U-15 Girls","U15","Girls"
"La Roca Futbol Club U-16/17 Girls","U17","Girls"
"La Roca Futbol Club U-18/19 Girls","U19","Girls"
"LAFC Slammers U-14 Girls","U14","Girls"
"LAFC Slammers U-15 Girls","U15","Girls"
"LAFC Slammers U-16/17 Girls","U17","Girls"
"LAFC Slammers U-18/19 Girls","U19","Girls"
"Lakeland FC U-18/19 Girls","U19","Girls"
"Lamorinda Soccer Club U-14 Girls","U14","Girls"
"Lamorinda Soccer Club U-15 Girls","U15","Girls"
"Lamorinda Soccer Club U-16/17 Girls","U17","Girls"
"Lamorinda Soccer Club U-18/19 Girls","U19","Girls"
"Legends FC U-14 Girls","U14","Girls"
"Legends FC U-15 Girls","U15","Girls"
"Legends FC U-16/17 Girls","U17","Girls"
"Legends FC U-18/19 Girls","U19","Girls"
"Lonestar SC Academy U-14 Girls","U14","Girls"
"Lonestar SC Academy U-15 Girls","U15","Girls"
"Lonestar SC Academy U-16/17 Girls","U17","Girls"
"Lonestar SC Academy U-18/19 Girls","U19","Girls"
"Long Island SC U-14 Girls","U14","Girls"
"Long Island SC U-15 Girls","U15","Girls"
"Long Island SC U-16/17 Girls","U17","Girls"
"Long Island SC U-18/19 Girls","U19","Girls"
"Los Angeles Premier Futbol Club U-14 Girls","U14","Girls"
"Los Angeles Premier Futbol Club U-15 Girls","U15","Girls"
"Los Angeles Premier Futbol Club U-16/17 Girls","U17","Girls"
"Los Angeles Premier Futbol Club U-18/19 Girls","U19","Girls"
"Michigan Hawks U-14 Girls","U14","Girls"
"Michigan Hawks U-15 Girls","U15","Girls"
"Michigan Hawks U-16/17 Girls","U17","Girls"
"Michigan Hawks U-18/19 Girls","U19","Girls"
"Midwest United FC U-14 Girls","U14","Girls"
"Midwest United FC U-15 Girls","U15","Girls"
"Midwest United FC U-16/17 Girls","U17","Girls"
"Midwest United FC U-18/19 Girls","U19","Girls"
"Nationals U-14 Girls","U14","Girls"
"Nationals U-15 Girls","U15","Girls"
"Nationals U-16/17 Girls","U17","Girls"
"Nationals U-18/19 Girls","U19","Girls"
"NC Courage U-14 Girls","U14","Girls"
"NC Courage U-15 Girls","U15","Girls"
"NC Courage U-16/17 Girls","U17","Girls"
"NC Courage U-18/19 Girls","U19","Girls"
"New York City FC U-14 Girls","U14","Girls"
"New York City FC U-15 Girls","U15","Girls"
"New York City FC U-16/17 Girls","U17","Girls"
"New York City FC U-18/19 Girls","U19","Girls"
"NTH Tophat U-14 Girls","U14","Girls"
"NTH Tophat U-15 Girls","U15","Girls"
"NTH Tophat U-16/17 Girls","U17","Girls"
"NTH Tophat U-18/19 Girls","U19","Girls"
"Oakwood Soccer Club U-14 Girls","U14","Girls"
"Oakwood Soccer Club U-15 Girls","U15","Girls"
"Oakwood Soccer Club U-16/17 Girls","U17","Girls"
"Oakwood Soccer Club U-18/19 Girls","U19","Girls"
"Orlando Pride U-14 Girls","U14","Girls"
"Orlando Pride U-15 Girls","U15","Girls"
"Orlando Pride U-16/17 Girls","U17","Girls"
"Orlando Pride U-18/19 Girls","U19","Girls"
"PA Classics U-14 Girls","U14","Girls"
"PA Classics U-15 Girls","U15","Girls"
"PA Classics U-16/17 Girls","U17","Girls"
"PA Classics U-18/19 Girls","U19","Girls"
"Pateadores U-14 Girls","U14","Girls"
"Pateadores U-15 Girls","U15","Girls"
"Pateadores U-16/17 Girls","U17","Girls"
"Pateadores U-18/19 Girls","U19","Girls"
"Penn Fusion Soccer Academy U-14 Girls","U14","Girls"
"Penn Fusion Soccer Academy U-15 Girls","U15","Girls"
"Penn Fusion Soccer Academy U-16/17 Girls","U17","Girls"
"Penn Fusion Soccer Academy U-18/19 Girls","U19","Girls"
"Placer United SC U-14 Girls","U14","Girls"
"Placer United SC U-15 Girls","U15","Girls"
"Placer United SC U-16/17 Girls","U17","Girls"
"Placer United SC U-18/19 Girls","U19","Girls"
"Portland Thorns FC U-14 Girls","U14","Girls"
"Portland Thorns FC U-15 Girls","U15","Girls"
"Portland Thorns FC U-16/17 Girls","U17","Girls"
"Portland Thorns FC U-18/19 Girls","U19","Girls"
"PSV Union Football Club U-14 Girls","U14","Girls"
"PSV Union Football Club U-15 Girls","U15","Girls"
"PSV Union Football Club U-16/17 Girls","U17","Girls"
"PSV Union Football Club U-18/19 Girls","U19","Girls"
"Real Colorado U-14 Girls","U14","Girls"
"Real Colorado U-15 Girls","U15","Girls"
"Real Colorado U-16/17 Girls","U17","Girls"
"Real Colorado U-18/19 Girls","U19","Girls"
"Real So Cal U-14 Girls","U14","Girls"
"Real So Cal U-15 Girls","U15","Girls"
"Real So Cal U-16/17 Girls","U17","Girls"
"Real So Cal U-18/19 Girls","U19","Girls"
"Reign Academy U-14 Girls","U14","Girls"
"Reign Academy U-15 Girls","U15","Girls"
"Reign Academy U-16/17 Girls","U17","Girls"
"Reign Academy U-18/19 Girls","U19","Girls"
"San Diego Surf U-14 Girls","U14","Girls"
"San Diego Surf U-15 Girls","U15","Girls"
"San Diego Surf U-16/17 Girls","U17","Girls"
"San Diego Surf U-18/19 Girls","U19","Girls"
"San Jose Earthquakes U-14 Girls","U14","Girls"
"San Jose Earthquakes U-15 Girls","U15","Girls"
"San Jose Earthquakes U-16/17 Girls","U17","Girls"
"San Jose Earthquakes U-18/19 Girls","U19","Girls"
"SC del Sol U-14 Girls","U14","Girls"
"SC del Sol U-15 Girls","U15","Girls"
"SC del Sol U-16/17 Girls","U17","Girls"
"SC del Sol U-18/19 Girls","U19","Girls"
"Shattuck - Saint Mary's U-15 Girls","U15","Girls"
"Shattuck - Saint Mary's U-16/17 Girls","U17","Girls"
"Shattuck - Saint Mary's U-18/19 Girls","U19","Girls"
"Sky Blue - NYSC U-14 Girls","U14","Girls"
"Sky Blue - NYSC U-15 Girls","U15","Girls"
"Sky Blue - NYSC U-16/17 Girls","U17","Girls"
"Sky Blue - NYSC U-18/19 Girls","U19","Girls"
"Sky Blue - PDA U-14 Girls","U14","Girls"
"Sky Blue - PDA U-15 Girls","U15","Girls"
"Sky Blue - PDA U-16/17 Girls","U17","Girls"
"Sky Blue - PDA U-18/19 Girls","U19","Girls"
"So Cal Blues Soccer Club U-14 Girls","U14","Girls"
"So Cal Blues Soccer Club U-15 Girls","U15","Girls"
"So Cal Blues Soccer Club U-16/17 Girls","U17","Girls"
"So Cal Blues Soccer Club U-18/19 Girls","U19","Girls"
"Sockers FC U-14 Girls","U14","Girls"
"Sockers FC U-15 Girls","U15","Girls"
"Sockers FC U-16/17 Girls","U17","Girls"
"Sockers FC U-18/19 Girls","U19","Girls"
"Solar Soccer Club U-14 Girls","U14","Girls"
"Solar Soccer Club U-15 Girls","U15","Girls"
"Solar Soccer Club U-16/17 Girls","U17","Girls"
"Solar Soccer Club U-18/19 Girls","U19","Girls"
"SPORTING Blue Valley U-14 Girls","U14","Girls"
"SPORTING Blue Valley U-15 Girls","U15","Girls"
"SPORTING Blue Valley U-16/17 Girls","U17","Girls"
"SPORTING Blue Valley U-18/19 Girls","U19","Girls"
"United Futbol Academy U-14 Girls","U14","Girls"
"United Futbol Academy U-15 Girls","U15","Girls"
"United Futbol Academy U-16/17 Girls","U17","Girls"
"United Futbol Academy U-18/19 Girls","U19","Girls"
"United Soccer Alliance U-14 Girls","U14","Girls"
"United Soccer Alliance U-15 Girls","U15","Girls"
"United Soccer Alliance U-16/17 Girls","U17","Girls"
"United Soccer Alliance U-18/19 Girls","U19","Girls"
"Virginia Development Academy U-14 Girls","U14","Girls"
"Virginia Development Academy U-15 Girls","U15","Girls"
"Virginia Development Academy U-16/17 Girls","U17","Girls"
"Virginia Development Academy U-18/19 Girls","U19","Girls"
"Washington Spirit Academy - Baltimore Armour U-14 Girls","U14","Girls"
"Washington Spirit Academy - Baltimore Armour U-15 Girls","U15","Girls"
"Washington Spirit Academy - Baltimore Armour U-16/17 Girls","U17","Girls"
"Washington Spirit Academy - Baltimore Armour U-18/19 Girls","U19","Girls"
"Washington Spirit Academy - Virginia U-14 Girls","U14","Girls"
"Washington Spirit Academy - Virginia U-15 Girls","U15","Girls"
"Washington Spirit Academy - Virginia U-16/17 Girls","U17","Girls"
"Washington Spirit Academy - Virginia U-18/19 Girls","U19","Girls"
"West Coast Futbol Club U-14 Girls","U14","Girls"
"West Coast Futbol Club U-15 Girls","U15","Girls"
"West Coast Futbol Club U-16/17 Girls","U17","Girls"
"West Coast Futbol Club U-18/19 Girls","U19","Girls"
"West Florida Flames U-14 Girls","U14","Girls"
"West Florida Flames U-15 Girls","U15","Girls"
"West Florida Flames U-16/17 Girls","U17","Girls"
"West Florida Flames U-18/19 Girls","U19","Girls"
"Weston FC U-14 Girls","U14","Girls"
"Weston FC U-15 Girls","U15","Girls"
"Weston FC U-16/17 Girls","U17","Girls"
"Weston FC U-18/19 Girls","U19","Girls"
