"Home","Away","Field","Age.Group","Gender"
"BRYC Elite Academy ECNL U13","McLean YSA ECNL U13","Woodson High School - Auxiliary Turf Field","U13","Girls"
"Carolina Elite Soccer Academy ECNL U13","South Carolina United ECNL U13","Mesa Complex - Field 4","U13","Girls"
"Carolina Rapids ECNL U13","South Carolina United ECNL U13","Matthews Sportsplex - Field 7","U13","Girls"
"Richmond United ECNL U13","McLean YSA ECNL U13","West Creek - Field 10","U13","Girls"
"Carolina Elite Soccer Academy ECNL U13","Carolina Rapids ECNL U13","Mesa Complex - Field 4","U13","Girls"
"BRYC Elite Academy ECNL U13","Richmond United ECNL U13","Woodson High School - Auxiliary Turf Field","U13","Girls"
"Carolina Elite Soccer Academy ECNL U13","Richmond United ECNL U13","Mesa Complex - Field 4","U13","Girls"
"McLean YSA ECNL U13","Carolina Rapids ECNL U13","Lewinsville Park - Field 3","U13","Girls"
"South Carolina United ECNL U13","Richmond United ECNL U13","SCUFC Monticello Road Complex - Field 3","U13","Girls"
"BRYC Elite Academy ECNL U13","Carolina Rapids ECNL U13","Robinson High School - Stadium Turf","U13","Girls"
"McLean YSA ECNL U13","Carolina Elite Soccer Academy ECNL U13","Lewinsville Park - Field 3","U13","Girls"
"BRYC Elite Academy ECNL U13","South Carolina United ECNL U13","Woodson High School - Auxiliary Turf Field","U13","Girls"
"BRYC Elite Academy ECNL U13","Carolina Elite Soccer Academy ECNL U13","Robinson High School - Stadium Turf","U13","Girls"
"McLean YSA ECNL U13","South Carolina United ECNL U13","Lewinsville Park - Field 3","U13","Girls"
"Carolina Rapids ECNL U13","Richmond United ECNL U13","Matthews Sportsplex - Field 6","U13","Girls"
"NCFC Youth ECNL U14","Richmond United ECNL U14","WRAL Soccer Center - Accentuate Staffing","U14","Girls"
"NC Fusion ECNL U14","Carolina Rapids ECNL U14","BBandT Soccer Park - Field 3","U14","Girls"
"BRYC Elite Academy ECNL U14","McLean YSA ECNL U14","Woodson High School - Auxiliary Turf Field","U14","Girls"
"Carolina Elite Soccer Academy ECNL U14","South Carolina United ECNL U14","Mesa Complex - Field 4","U14","Girls"
"Carolina Rapids ECNL U14","South Carolina United ECNL U14","Matthews Sportsplex - Field 7","U14","Girls"
"Richmond United ECNL U14","McLean YSA ECNL U14","West Creek - Field 8","U14","Girls"
"Carolina Elite Soccer Academy ECNL U14","NC Fusion ECNL U14","Mesa Complex - Field 4","U14","Girls"
"NCFC Youth ECNL U14","BRYC Elite Academy ECNL U14","WRAL Soccer Center - Travers Lasik","U14","Girls"
"Carolina Elite Soccer Academy ECNL U14","Carolina Rapids ECNL U14","Mesa Complex - Field 4","U14","Girls"
