"Team","Age.Group","Gender"
"BRYC Elite Academy ECNL U13","U13","Girls"
"BRYC Elite Academy ECNL U14","U14","Girls"
"BRYC Elite Academy ECNL U15","U15","Girls"
"BRYC Elite Academy ECNL U16","U16","Girls"
"BRYC Elite Academy ECNL U17","U17","Girls"
"BRYC Elite Academy ECNL U18/U19","U18","Girls"
"BRYC Elite Academy ECNL U18/U19 Composite","U19","Girls"
"Carolina Elite Soccer Academy ECNL U13","U13","Girls"
"Carolina Elite Soccer Academy ECNL U14","U14","Girls"
"Carolina Elite Soccer Academy ECNL U15","U15","Girls"
"Carolina Elite Soccer Academy ECNL U16","U16","Girls"
"Carolina Elite Soccer Academy ECNL U17","U17","Girls"
"Carolina Elite Soccer Academy ECNL U18/U19","U18","Girls"
"Carolina Rapids ECNL U13","U13","Girls"
"Carolina Rapids ECNL U14","U14","Girls"
"Carolina Rapids ECNL U15","U15","Girls"
"Carolina Rapids ECNL U16","U16","Girls"
"Carolina Rapids ECNL U17","U17","Girls"
"Carolina Rapids ECNL U18/U19","U18","Girls"
"Carolina Rapids ECNL U18/U19 Composite","U19","Girls"
"McLean YSA ECNL U13","U13","Girls"
"McLean YSA ECNL U14","U14","Girls"
"McLean YSA ECNL U15","U15","Girls"
"McLean YSA ECNL U16","U16","Girls"
"McLean YSA ECNL U17","U17","Girls"
"McLean YSA ECNL U18/U19","U18","Girls"
"NC Fusion ECNL U14","U14","Girls"
"NC Fusion ECNL U15","U15","Girls"
"NC Fusion ECNL U16","U16","Girls"
"NC Fusion ECNL U17","U17","Girls"
"NC Fusion ECNL U18/U19","U18","Girls"
"NCFC Youth ECNL U14","U14","Girls"
"NCFC Youth ECNL U15","U15","Girls"
"NCFC Youth ECNL U16","U16","Girls"
"NCFC Youth ECNL U17","U17","Girls"
"NCFC Youth ECNL U18/U19","U18","Girls"
"Richmond United ECNL U13","U13","Girls"
"Richmond United ECNL U14","U14","Girls"
"Richmond United ECNL U15","U15","Girls"
"Richmond United ECNL U16","U16","Girls"
"Richmond United ECNL U17","U17","Girls"
"Richmond United ECNL U18/U19","U18","Girls"
"South Carolina United ECNL U13","U13","Girls"
"South Carolina United ECNL U14","U14","Girls"
"South Carolina United ECNL U15","U15","Girls"
"South Carolina United ECNL U16","U16","Girls"
"South Carolina United ECNL U17","U17","Girls"
"South Carolina United ECNL U18/U19","U18","Girls"
