"Field","Street Address","City","State","Zip Code"
"1600 Park","1600 Park Ave","Hoboken","NJ","07030"
"2694-2698 Southampton Rd #1","2694 Southampton Rd","Philadelphia","PA","19116"
"4 Seasons Sports Complex #2","2710 Hampstead-Mexico Rd","Hampstead","MA","21074"
"7th Street Field #1","800 7th Street","Matamoras","PA","18336"
"900 Leonardville Rd #1","900 Leonardville Rd","Leonardo","NJ","07737"
"9v9 County FieldsCFY2","466 parkway road","Allentown","PA","18104"
"Afrim's Bethlehem Soccer Complex","450 Wemple Road","Wemple","NY","12077"
"Afrim's Latham Dome",,,,
"Agnes Irwin SchoolTurf","275 South Ithan Ave","Bryn Mawr","PA","19010"
"Agusta #7","10402 Decatur Rd","philadelphia","PA","19154"
"AlderferA1","Oak Dr & Maple Ave","Harleysville","PA","19438"
"AlderferA2","416 Oaks Drive","Harleysville","PA","19438"
"Allen Park #1","45 Motor Ave","Farmingdale","NY","11735"
"Allen PondTurf","3330 Northview Drive","Bowie","MD","20716"
"Allen PondTurf","3330 Northview Drive","Bowie","MD","20716"
"Allen's Meadow Complex #1",,,,
"Allens Meadows Park #1","423 Danbury Rd","Wilton","CT","06897"
"Allens Meadows Park #3","423 Danbury Rd","Wilton","CT","06897"
"Alma Turf Field #1",,,,
"Ambler Farms #1","257 Hurlbutt St","Wilton","CT","06897"
"Andy Brown Field #1","3300 Northview Drive","Bowie","MD","20716"
"Annapolis HSStadium","2700 Rive Rd.","Annapolis","MD","21401"
"Appoquinimink High School #1","1080 Bunker Hill Road","Middeltown","DE","19709"
"Archbishop Spalding High School","8080 New Cut Rd","Severn","MD","21144"
"Ark Road Fields #1","61 Ark Rd","Medford","NJ","08055"
"Arrowbrook Park #1","2351 Field Point Road","Herndon","VA","20171"
"Arsenal Soccer Schools Academy Mt Olive Training Center","184 Flanders Netcong Road","Flanders","NJ","07836"
"Arundel HS","1001 Annapolis Rd","Gambrills","MD","21054"
"Arundel HSTurf","1001 Annapolis Road","Gambrills","MD","21054"
"Arundel HS Bermuda9v9","1001 Annapolis Road","Gambrills","MD","21054"
"Arundel HS Front Bermuda11v11","1001 Annapolis Road","GAMBRILLS","MD","21054"
"Asphalt Green","555 E 90th St.","New York","NY","10128"
"Athenia Steel Park","718 Clifton Ave","Clifton","NJ","07013"
"Athenia Steel ParkASP1","718 Clifton Avenue","Clifton","NJ","07011"
"Athenia Steel Recreation Complex #1","718 Clifton Ave","Clifton","NJ","07013"
"Ave K Veterans Park #1","74 Ave K","Monroe twp.","NJ","08831"
"Aviator Sports Complex #1","3159 Flatbush Ave","Brooklyn","NY","11234"
"Aviator Sports Complex #2","3159 Flatbush Ave","Brooklyn","NY","11234"
"AW Cox School #1","143 Three Mile Course","Guilford","CT","06437"
"Back Mountain Rec Fields #1","55 Outlet Road","Dallas","PA","01812"
"Ballenger Creek ParkTurf","5420 Ballenger Creek Pike","Frederick","MD","21703"
"Ballenger Creek ParkTurf","5420 Ballenger Creek Pike","Frederick","MD","21703"
"Baltimore PolyTech HS9v9","1400 W Cold Spring Ln","Baltimore","MD","21209"
"Baltimore PolyTech HSTurf","1400 W Cold Spring Ln","Baltimore","MD","21209"
"Baltimore PolyTech HSTurf","1400 W Cold Spring Ln","Baltimore","MD","21209"
"Baltimore PolyTech HSTurf","1400 W Cold Spring Ln","Baltimore","MD","21209"
"Banner FieldTurf","1627 E Fort Ave","Baltimore","MD","21230"
"BARBOUR POND #4","Barbour pond drive","Wayne","NJ","07470"
"BARBOUR POND # 4","39 Barbour Pond","Wayne","NJ","07470"
"Barbour Pond Field #3","39 Barbour Pond Drive","Wayne","NJ","07470"
"Barbour Pond Turf","39 Barbour Pond Drive","Wayne","NJ","07470"
"Barnegat Soccer Field#1","1001 Barnegat Blvd North","Barnegat","NJ","08005"
"Barrack Hebrew AcademyTurf","272 S. Bryn Mawr Avenue","Bryn Mawr","PA","19010"
"Barrack Hebrew AcademyTurf","272 South Bryn Mawr Avenue","Bryn Mawr","PA","19010"
"Barrett Field","Baileys Mill Rd & Brook Dr S","Morristown","NJ","07960"
"Barrie SchoolField 01","13500 Layhill Road","Silver Spring","MD","20906"
"Baymen Soccer Complex #2","500 Cherry Ave.","West Sayville","NY","11796"
"Baymen Soccer Complex #3","500 Cherry Ave.","West Sayville","NY","11796"
"Baymen Soccer Complex #4","500 Cherry Ave.","West Sayville NY","NY","11796"
"Baymen Soccer Complex #1","500 Cherry Ave.","West Sayville","NY","11796"
"Beachmont","6433 Mt Vista Rd","Kingsville","MD","21087"
"Beachwood Soccer Complex #4","1600 Berkeley Avenue","Beachwood","NJ","08722"
"Bell Branch ParkA","2400 Davidsonville Road","Gambrills","MD","21114"
"Bell Branch ParkB","2400 Davidsonville Road","Gambrills","MD","21114"
"Bell Branch ParkC","2400 Davidsonville Road","Gambrills","MD","21114"
"Bell Branch ParkD3","2400 Davidsonville Road","Gambrills","MD","21054"
"Bell Branch ParkD4","2400 Davidsonville Road","Gambrills","MD","21054"
"Bell Branch ParkD5","2400 Davidsonville Road","Gambrills","MD","21054"
"Bell Branch ParkField 01","1150 Barbara Swann Way","Gambrills","MD","21054"
"Belmont Oval","Spring St and Botany St","Garfield","NJ","07026"
"Belmont Oval Field #1","Spring Street and Botany Street","Garfield","NJ","07026"
"Berkshire Community College #1","1350 West Street","Pittsfield","MA","01201"
"Berkshire Community College #2","1350 West Street","Pittsfield","MA","01201"
"Berry Lane Park #1","1000 Garfield Avenue","Jersey City","NJ","07305"
"Berwick Complex #1","1860 corkery lane","williamstown","NJ","08094"
"Berwick Complex #1","1860 Corkery Lane","Williamstown","NJ","08094"
"Berwick Soccer Complex#1","1866 Corkery Lane","Williamstown","NJ","08094"
"Berwick Soccer Complex#3","1866 Corkery Lane","Williamstown","NJ","08094"
"Bey Lea Soccer Complex FSBL1",,,,
"Bey Lea Soccer Complex SSBL2",,,,
"BG&E Field #01","9550 H.G. Trueman Road","Lusby","MD","20657"
"Big Meadow 9v9 #1","249-299 Stoneyford Road","Holland","PA","18966"
"Bob Bende Park #1","293 Medford-Mount Holly Rd","Medford","NJ","08055"
"Bonner High School","403 North Lansdowne Avenue","Drexel Hill","PA","19026"
"BORDENTOWN-FRIENDSHIP FIELDS #9","455 Ward Avenue","Chesterfield","NJ","08505"
"Boys Latin School of MarylandGrass","822 W Lake Ave","Baltimore","MD","21210"
"Bretton WoodsField 01","15700 River Road","Germantown","MD","20874"
"Bretton WoodsField 01","15700 River Rd","Germantown","MD","20874"
"BRHS-TURF #2","600 GARRESTON RD","BRIDGEWATER","NJ","08807"
"Bridgewater Soccer Association #1",,,,
"Bridgewater Turf #2","600 Garretson Road","Bridgewater","NJ","08807"
"Brookdale Meadow LargeBML",,,,
"Brookdale Meadow SmallBMS",,,,
"Brookdale Park StadiumBPS",,,,
"Bruns Park East #1","4990 Merrick Road","Massapequa Park","NY","11762"
"Bryantown Soccer Complex #12",,,,
"Bryantown Soccer Complex #3","5665 Bryantown Road","Waldorf","MD","20601"
"Bryantown Soccer Complex #6",,,,
"Bryantown Sports Complex #13","5665 Bryantown Rd","Waldorf","MD","20601"
"Bryantown Sports Complex #3",,,,
"Bryantown Sports Complex #6",,,,
"Bryn Mawr SchoolField 01","109 W. Melrose Avenue","Baltimore","MD","21210"
"Bryn Mawr SchoolTurf","109 W. Melrose Avenue","Baltimore","MD","21210"
"BSC Complex - #4Grass","1600 Berkeley Ave","Beachwood","NJ","08722"
