Home,Away,Field
SAN JUAN BAUTISTA 2007B U11 Boys EDP,WEST NEW YORK WNY TIGERS U11 U11 Boys EDP,Unassigned
SAN JUAN BAUTISTA 2007B U11 Boys EDP,WEST NEW YORK WNY TIGERS U11 U11 Boys EDP,Unassigned
PDA AGUERO U11 Boys EDP,MARLBORO SA 2007 GUNNERS BLUE U11 Boys EDP,Unassigned
AMERICAS UNITED PARIS SAINT-GERMAIN U11 Boys EDP,WIZARDS SPORTS MADRID U11 Boys EDP,Unassigned
NY STARS PREMIER GRAVITY U11 Boys EDP,PLAYERS EYE FC BOYS 2007 U11 Boys EDP,Unassigned
WEST MORRIS SC PREMIER 07B U11 Boys EDP,WEST NEW YORK WNY TIGERS U11 U11 Boys EDP,Unassigned
WESTFIELD SA COLO COLO U11 Boys EDP,ELITE PLAINFIELD CREW U11 Boys EDP,Unassigned
WEST NEW YORK WNY TIGERS U11 U11 Boys EDP,SubDiv A Team 4 U11 Boys EDP,Unassigned
WESTFIELD SA COLO COLO U11 Boys EDP,EAST BRUNSWICK SC STA LIVERPOOL U11 Boys EDP,Unassigned
SubDiv A Team 3 U11 Boys EDP,SAN JUAN BAUTISTA 2007B U11 Boys EDP,Unassigned
PDA AGUERO U11 Boys EDP,PRINCETON SA PREMIER ELITE 07 ORANGE U11 Boys EDP,Unassigned
EAST BRUNSWICK SC STA LIVERPOOL U11 Boys EDP,BORDENTOWN FC FUEL U11 Boys EDP,Unassigned
WEST NEW YORK WNY TIGERS U11 U11 Boys EDP,SAN JUAN BAUTISTA 2007B U11 Boys EDP,Unassigned
HANS SOLIZ SOCCER SCHOOL UNITED U12 Boys EDP,CLUB VALLEY 2010 LIONS U12 Boys EDP,Unassigned
UNION CITY UNITED SOCCER FC UNITED JORGE U-12 U12 Boys EDP,JERSEY KNIGHTS SC SIEGE U12 Boys EDP,Unassigned
PDA ZIDANE U12 Boys EDP,CEDAR STARS ACADEMY BERGEN 2006 GREEN U12 Boys EDP,Unassigned
HILLSBOROUGH 06B RAIDERS RED U12 Boys EDP,UNION CITY UNITED SOCCER FC UNITED WILLIAM U12 Boys EDP,Unassigned
XAFC NJ GREEN U12 Boys EDP,MIDDLETOWN SC ATTACK BLACK U12 Boys EDP,Unassigned
UNION CITY UNITED SOCCER FC UNITED JORGE U-12 U12 Boys EDP,UNION CITY UNITED SOCCER FC UNITED WILLIAM U12 Boys EDP,Unassigned
PDA ZIDANE U12 Boys EDP,FC EUROPA 06' ELITE U12 Boys EDP,Unassigned
SDFC 2006B YELLOW U12 Boys EDP,DEN OF LIONS SPORTING ELITE U12 Boys EDP,Unassigned
TSF ACADEMY 2006B EDP U12 Boys EDP,CEDAR STARS ACADEMY STATEN ISLAND 2006 CRYUFF U12 Boys EDP,
MODERN SA KNIGHTS U12 Boys EDP,NIRVANA 360 BAYERN YELLOW U12 Boys EDP,Unassigned
UNION CITY UNITED SOCCER FC UNITED JORGE U-12 U12 Boys EDP,CLUB VALLEY 2010 LIONS U12 Boys EDP,Unassigned
ELIZABETH YSC LIONS U12 Boys EDP,FC COPA ACADEMY B06 RED U12 Boys EDP,
CEDAR STARS ACADEMY BERGEN 2006 GREEN U12 Boys EDP,CEDAR STARS ACADEMY NEWARK 2006 GREEN U12 Boys EDP,Unassigned
TITANES ESTUDIANTES U12 Boys EDP,SDFC 2006B YELLOW U12 Boys EDP,Unassigned
WESTFIELD SA UNION COUNTY FC PREMIER FLAMENGO U12 Boys EDP,CEDAR STARS ACADEMY STATEN ISLAND 2006 CRYUFF U12 Boys EDP,Unassigned
UNION CITY UNITED SOCCER FC UNITED WILLIAM U12 Boys EDP,CLUB VALLEY 2010 LIONS U12 Boys EDP,Unassigned
TSF ACADEMY 2006B EDP U12 Boys EDP,TORPEDOES SC DUKA U12 Boys EDP,
ELIZABETH YSC LIONS U12 Boys EDP,BRIDGEWATER SA BAYERN U12 Boys EDP,
SubDiv A Team 5 U12 Boys EDP,UNION CITY UNITED SOCCER FC UNITED JORGE U-12 U12 Boys EDP,Unassigned
BUCKINGHAM UNITED BLUE 2006 U12 Boys EDP,YMS CELTIC 06 U12 Boys EDP,
CLUB VALLEY 2010 LIONS U12 Boys EDP,ELIZABETH YSC LIONS U12 Boys EDP,Unassigned
UNION CITY UNITED SOCCER FC UNITED WILLIAM U12 Boys EDP,SubDiv A Team 6 U12 Boys EDP,Unassigned
CEDAR STARS ACADEMY BERGEN WEST U12 NOVA WHITE U12 Boys EDP,FC COPA ACADEMY B06 RED U12 Boys EDP,Unassigned
WEST NEW YORK S.C. WNY TIGERS U13 U13 Boys EDP,CLUB VALLEY 2010 DREAM CHASERS U13 Boys EDP,Unassigned
CLUB VALLEY 2010 DREAM CHASERS U13 Boys EDP,WEST NEW YORK S.C. WNY TIGERS U13 U13 Boys EDP,Unassigned
OLD BRIDGE SL CREW U13 Boys EDP,FA EURO NEW YORK 2005/2006 U13 Boys EDP,Unassigned
CLUB VALLEY 2010 DREAM CHASERS U13 Boys EDP,WAYNE SC MILAN 2005-2006 U13 Boys EDP,Unassigned
DEPTFORD PREMIER FC '05 THUNDER U13 Boys EDP,FC EUROPA 06' ELITE - 11 V 11 U13 Boys EDP,Unassigned
FUSA ARSENAL U13 Boys EDP,FUTURE_SA_05 U13 Boys EDP,Unassigned
SPORTING PREMIER FC SCP  NIGHTHAWKS 05 U13 Boys EDP,JERSEY STARS JUVENTUS U13 Boys EDP,Unassigned
WEST NEW YORK S.C. WNY TIGERS U13 U13 Boys EDP,TSF ACADEMY 2005B WHITE U13 Boys EDP,Unassigned
EAST BRUNSWICK STA TITANS U13 Boys EDP,AMERICAS UNITED CELTIC U13 Boys EDP,Unassigned
SPORTING PREMIER FC SCP  NIGHTHAWKS 05 U13 Boys EDP,FA EURO NEW YORK 2005/2006 U13 Boys EDP,Unassigned
SubDiv A Team 4 U13 Boys EDP,CLUB VALLEY 2010 DREAM CHASERS U13 Boys EDP,Unassigned
DUTCH ELITE '05 BOYS U13 Boys EDP,STRONGHOLD SC CHELSEA U13 Boys EDP,Unassigned
TBA U13 Boys EDP,EPIC SPORTING STARS 2005 BLUE U13 Boys EDP,Unassigned
