"Home","Age.Group","Gender"
"A.S. JUNIOR ELITE - 2004 BOYS U14 Boys EDP","U14","Boys"
"A.S. JUNIOR ELITE - 2007 BOYS U11 Boys EDP","U11","Boys"
"A3 CRYSTAL PALACE U14 Boys EDP","U14","Boys"
"A3 ROYALS U12 Girls EDP","U12","Girls"
"A3 SEAHAWKS U16 Girls EDP","U16","Girls"
"A3 UNITED 2001 U17 Boys EDP","U17","Boys"
"A3 UNITED 2006 U12 Boys EDP","U12","Boys"
"A3 UNITED 2007 U11 Boys EDP","U11","Boys"
"A3 WEST HAM U14 Boys EDP","U14","Boys"
"ABINGDON FOOTBALL BARÃA U13 Boys EDP","U13","Boys"
"ABINGDON FOOTBALL FURY U15 Boys EDP","U15","Boys"
"AC CUGINI ROMA 04 U14 Girls EDP","U14","Girls"
"AC CUGINI ROMA 05 U13 Girls EDP","U13","Girls"
"ACHILLES FC 05 U13 Boys EDP","U13","Boys"
"ACHILLES FC 06 U12 Boys EDP","U12","Boys"
"ACHILLES FC 07 U11 Boys EDP","U11","Boys"
"AFC PANTHERS U14 Girls EDP","U14","Girls"
"ALEXANDRIA SA 06B RED U12 Boys EDP","U12","Boys"
"ALEXANDRIA SA 06G RED U12 Girls EDP","U12","Girls"
"ALEXANDRIA SA 07B RED U11 Boys EDP","U11","Boys"
"ALEXANDRIA SA 08 RED U11 Boys EDP","U11","Boys"
"ALLEYCATS ACADEMY PRE-NPL RED 2005G U13 Girls EDP","U13","Girls"
"ALLEYCATS ACADEMY RED 2005B U13 Boys EDP","U13","Boys"
"ALLEYCATS ACADEMY RED 2006B U12 Boys EDP","U12","Boys"
"ALLEYCATS ACADEMY RED 2006G U12 Girls EDP","U12","Girls"
"ALLEYCATS ACADEMY RED 2007B U11 Boys EDP","U11","Boys"
"ALLIANCE 2003B PREMIER U15 Boys EDP","U15","Boys"
"ALLIANCE SC PREMIER 04 U14 Boys EDP","U14","Boys"
"AMERICAS UNITED AJAX U14 Boys EDP","U14","Boys"
"AMERICAS UNITED CELTIC U13 Boys EDP","U13","Boys"
"AMERICAS UNITED MANCHESTER U15 Boys EDP","U15","Boys"
"AMERICAS UNITED PARIS SAINT-GERMAIN U11 Boys EDP","U11","Boys"
"ARSENAL FIREWORK U13 Girls EDP","U13","Girls"
"ARSENAL HAMMERS U13 Boys EDP","U13","Boys"
"ARSENAL ORDNANCE U14 Girls EDP","U14","Girls"
"ARSENAL SOCCER SCHOOLS ACADEMY 05/06 LADIES U13 Girls EDP","U13","Girls"
"ARSENAL SOCCER SCHOOLS ACADEMY 2006 HENRY U12 Boys EDP","U12","Boys"
"ARSENAL SOCCER SCHOOLS ACADEMY 2006 WRIGHT U12 Boys EDP","U12","Boys"
"ARSENAL SOCCER SCHOOLS ACADEMY 2007 BERGKAMP U11 Boys EDP","U11","Boys"
"ARSENAL SOCCER SCHOOLS ACADEMY ADAMS U13 Boys EDP","U13","Boys"
"ARSENAL UNITED U15 Girls EDP","U15","Girls"
"ARUNDEL SA ARSENAL 07 U11 Girls EDP","U11","Girls"
"ARUNDEL SA ASA BLUE UNITED '06 U12 Boys EDP","U12","Boys"
"ARUNDEL SA JUVENTUS ELITE 03 U15 Boys EDP","U15","Boys"
"ARUNDEL SA RANGERS 04 U14 Boys EDP","U14","Boys"
"ASA DMV ELITE '03 U15 Boys EDP","U15","Boys"
"ASA FC ATLETICO JUVENIL 03 U15 Boys EDP","U15","Boys"
"ASA JUVENTUS FC 02 STARS U16 Boys EDP","U16","Boys"
"ASA LIVERPOOL FCIAA MD (FORMER ASA JUVENTUS ELITE) 02 ACADEMY U16 Boys EDP","U16","Boys"
"ASA LIVERPOOL FCIAA MD (FORMERLY ASA BLUE UNITED) 04 ACADEMY U14 Girls EDP","U14","Girls"
"ASA LIVERPOOL FCIAA MD 06 ACADEMY U12 Boys EDP","U12","Boys"
"ASA LIVERPOOL FCIAA MD LIVERPOOL 05 ACADEMY (FORMERLY ASA PREDATORS) U13 Boys EDP","U13","Boys"
"ASPHALT GREEN B2004 U14 Boys EDP","U14","Boys"
"ASPHALT GREEN G2003 U15 Girls EDP","U15","Girls"
"ATTACKING BULLDOG UNITED U14 Boys EDP","U14","Boys"
"B'ELITE PLAYER DEVELOPMENT SC 2005 U13 Girls EDP","U13","Girls"
"BALTIMORE BAYS BAYS '06 U12 Girls EDP","U12","Girls"
"BALTIMORE BAYS BAYS 03 U15 Boys EDP","U15","Boys"
"BALTIMORE BAYS COLTS U17 Boys EDP","U17","Boys"
"BALTIMORE BAYS PRIDE U18 Girls EDP","U18","Girls"
"BALTIMORE BAYS ROWDIES U13 Girls EDP","U13","Girls"
"BALTIMORE CELTIC CELTIC WEST GREEN U15 Boys EDP","U15","Boys"
"BALTIMORE CELTIC ELITE U15 Boys EDP","U15","Boys"
"BALTIMORE CELTIC NORTH GREEN U15 Girls EDP","U15","Girls"
"BALTIMORE CELTIC SC 2002 DONATELLI U16 Boys EDP","U16","Boys"
"BALTIMORE CELTIC SC 2004 CORE U14 Girls EDP","U14","Girls"
"BALTIMORE CELTIC SC CELTIC 06B U12 Boys EDP","U12","Boys"
"BALTIMORE CELTIC SC CHRISTOS U14 Girls EDP","U14","Girls"
"BALTIMORE CELTIC SC DYNAMOS U13 Girls EDP","U13","Girls"
"BALTIMORE CELTIC SC ELITE 01 GIRLS U17 Girls EDP","U17","Girls"
"BALTIMORE CELTIC SC ELITE U13 Boys EDP","U13","Boys"
"BALTIMORE CELTIC SC FURY 2007 U11 Girls EDP","U11","Girls"
"BALTIMORE CELTIC SC REVOLUTION U12 Girls EDP","U12","Girls"
"BALTIMORE CELTIC SC SOUTH 06 U12 Boys EDP","U12","Boys"
"BALTIMORE UNION 07 U11 Girls EDP","U11","Girls"
"BALTIMORE UNION ELITE 04 U14 Boys EDP","U14","Boys"
"BALTIMORE UNION ELITE 04 U14 Girls EDP","U14","Girls"
"BALTIMORE UNION ELITE 05B U13 Boys EDP","U13","Boys"
"BALTIMORE UNION ELITE 05G U13 Girls EDP","U13","Girls"
"BALTIMORE UNION ELITE 06 U12 Girls EDP","U12","Girls"
"BALTIMORE UNION ELITE 07B U11 Boys EDP","U11","Boys"
"BALTIMORE UNION ELITE 07G U11 Girls EDP","U11","Girls"
"BALTIMORE UNION RED 2008 U11 Boys EDP","U11","Boys"
"BALTIMORE UNION SC SELECT 03 U15 Girls EDP","U15","Girls"
"BALTIMORE UNION SELECT 04 U14 Girls EDP","U14","Girls"
"BALTIMORE UNION SELECT 06 U12 Girls EDP","U12","Girls"
"BARCELONA USA MD 03B U15 Boys EDP","U15","Boys"
"BARCELONA USA MD 04B U14 Boys EDP","U14","Boys"
"BARCELONA USA MD BLUE 05B U13 Boys EDP","U13","Boys"
"BARCELONA USA MD GAITHERSBURG 05B U13 Boys EDP","U13","Boys"
"BARNEGAT ARSENAL U14 Boys EDP","U14","Boys"
"BAYSHORE ARSENAL U15 Boys EDP","U15","Boys"
"BAYSHORE SPIRIT BLACK U14 Girls EDP","U14","Girls"
"BAYSHORE VELOCITY 00 BLACK U18 Girls EDP","U18","Girls"
"BEACHSIDE OF CONNECTICUT SC BOYS 2004 U14 Boys EDP","U14","Boys"
"BEACHSIDE OF CONNECTICUT SC BOYS 2006 U12 Boys EDP","U12","Boys"
"BEACHSIDE OF CONNECTICUT SC GIRLS 2005 U13 Girls EDP","U13","Girls"
"BEACHWOOD SC TORNADOES U13 Boys EDP","U13","Boys"
"BEEKMAN FIRE ELITE U14 Girls EDP","U14","Girls"
"BEL AIR FC SHARKS U13 Boys EDP","U13","Boys"
"BERGENFIEL UNITED BEARS 03 U15 Boys EDP","U15","Boys"
"BERKELEY HEIGHTS YSC PEAK FC BLACK U15 Girls EDP","U15","Girls"
"BERKELEY HEIGHTS YSC UNITED U14 Girls EDP","U14","Girls"
"BETHESDA SC ACADEMY 02 U16 Boys EDP","U16","Boys"
"BETHESDA SC ACADEMY BLUE 06 U12 Girls EDP","U12","Girls"
"BETHESDA SC ACADEMY BLUE 07 U11 Girls EDP","U11","Girls"
"BETHESDA SC ACADEMY WHITE 06 U12 Girls EDP","U12","Girls"
"BETHESDA SC ACADEMY WHITE 07 U11 Girls EDP","U11","Girls"
"BETHESDA SC BLUE 03 U15 Boys EDP","U15","Boys"
"BETHESDA SC BLUE 04 U14 Boys EDP","U14","Boys"
"BETHESDA SC BLUE 05 U13 Boys EDP","U13","Boys"
"BETHESDA SC DYNAMO 02 U16 Girls EDP","U16","Girls"
"BETHESDA SC ECNL FORCE 04 U16 Girls EDP","U16","Girls"
"BETHESDA SC FLASH 03 U15 Girls EDP","U15","Girls"
"BETHESDA SC FREEDOM 02 U16 Girls EDP","U16","Girls"
"BETHESDA SC GREEN 03 U15 Boys EDP","U15","Boys"
"BETHESDA SC HAWKS 05 U13 Girls EDP","U13","Girls"
"BETHESDA SC LEGACY 03 U15 Girls EDP","U15","Girls"
"BETHESDA SC PRE-ACADEMY I 07 U11 Boys EDP","U11","Boys"
"BETHESDA SC ROWDIES 05 U13 Girls EDP","U13","Girls"
"BETHESDA SC SAVAGE 04 U14 Girls EDP","U14","Girls"
"BETHESDA SC SOCCEROOS 04 U14 Girls EDP","U14","Girls"
"BETHESDA SC SOUTH 03 U15 Boys EDP","U15","Boys"
"BETHESDA SC SOUTH BLUE 06 U12 Boys EDP","U12","Boys"
"BETHESDA SC SOUTH GREEN 06 U12 Boys EDP","U12","Boys"
"BLACK ROCK FC 2005 BOYS U13 Boys EDP","U13","Boys"
"BLOOMFIELD BSC XI U17 Boys EDP","U17","Boys"
"BORDENTOWN COMMUNITY SA FC JAGUARS 04 U14 Girls EDP","U14","Girls"
"BORDENTOWN COMMUNITY SA STORM U12 Girls EDP","U12","Girls"
"BORDENTOWN FC FUEL U11 Boys EDP","U11","Boys"
"BOUND BROOK FC B.B LEGENDS U17 Boys EDP","U17","Boys"
"BOWIE BOYS & GIRLS BOWIE SELECT U14 Boys EDP","U14","Boys"
"BOWIE BULLDOGS U15 Girls EDP","U15","Girls"
"BOWIE FC BULLDOGS ELITE U15 Boys EDP","U15","Boys"
"BOWIE FC ELITE BLACK U14 Boys EDP","U14","Boys"
"BOWIE FC ELITE RED U12 Boys EDP","U12","Boys"
"BRAUSA UNITED FUTEBOL 06 U12 Boys EDP","U12","Boys"
"BRAUSA UNITED FUTEBOL 07 U11 Boys EDP","U11","Boys"
"BRAUSA UNITED FUTEBOL BLUE 00 U18 Boys EDP","U18","Boys"
"BRAUSA UNITED FUTEBOL BLUE 04 U14 Boys EDP","U14","Boys"
"BRAUSA UNITED FUTEBOL BLUE 05 U13 Boys EDP","U13","Boys"
"BRAUSA UNITED FUTEBOL BUFC BLUE 03 U15 Boys EDP","U15","Boys"
"BRAUSA YELLOW 02 U16 Boys EDP","U16","Boys"
"BRIDGEWATER SA ACADEMY 04 BOYS U14 Boys EDP","U14","Boys"
"BRIDGEWATER SA ACADEMY 2003 BOYS U15 Boys EDP","U15","Boys"
"BRIDGEWATER SA BARCA U14 Girls EDP","U14","Girls"
"BRIDGEWATER SA BAYERN U12 Boys EDP","U12","Boys"
"BRIDGEWATER SA JUVENTUS U11 Boys EDP","U11","Boys"
"BROOKLYN CITY F.C. G04 U14 Girls EDP","U14","Girls"
"BSM ELITE 03 BLUEWINGS U15 Boys EDP","U15","Boys"
"BSM ELITE 04 UNITED U14 Boys EDP","U14","Boys"
"BSM ELITE 05 BLUE WARRIORS U13 Boys EDP","U13","Boys"
"BSM ELITE 05 COSMOS U13 Boys EDP","U13","Boys"
"BSM ELITE 06 COSMOS U12 Boys EDP","U12","Boys"
"BSM ELITE 06 LIONS U12 Boys EDP","U12","Boys"
"BSM ELITE 06B U12 Boys EDP","U12","Boys"
"BSM ELITE 07 BARCELONA U11 Boys EDP","U11","Boys"
"BSM ELITE 07 COBRAS U11 Boys EDP","U11","Boys"
"BTSC GOALQUEST LAZIO U14 Boys EDP","U14","Boys"
"BTSC GOALQUEST NAPOLI U11 Boys EDP","U11","Boys"
"BUCKINGHAM UNITED BLUE 2002 U16 Boys EDP","U16","Boys"
"BUCKINGHAM UNITED BLUE 2003 U15 Boys EDP","U15","Boys"
"BUCKINGHAM UNITED BLUE 2006 U12 Boys EDP","U12","Boys"
"BUCKINGHAM UNITED SC 2001 PREMIER U17 Boys EDP","U17","Boys"
