"Home","Age.Group","Gender","Freq"
"A3 GOLD COBRAS U16 Boys EDP","U16","Boys",1
"A3 HAMMERS U17 Boys EDP","U17","Boys",1
"A3 SEAHAWKS U16 Girls EDP","U16","Girls",1
"A3 WEST HAM U14 Boys EDP","U14","Boys",1
"ACHILLES FC 05 U13 Boys EDP","U13","Boys",1
"ACHILLES FC 07 U11 Boys EDP","U11","Boys",1
"ALLEYCATS ACADEMY RED 2007B U11 Boys EDP","U11","Boys",1
"ALLEYCATS ACADEMY RED 2007G U11 Girls EDP","U11","Girls",1
"ALLIANCE (ARGONAUTS) PREMIER 01 U17 Boys EDP","U17","Boys",1
"AMERICAS UNITED ARSENAL U16 Boys EDP","U16","Boys",1
"AMERICAS UNITED CELTIC U13 Boys EDP","U13","Boys",1
"AMERICAS UNITED NAPOLI U17 Boys EDP","U17","Boys",1
"ARUNDEL SA JUVENTUS ELITE 03 U15 Boys EDP","U15","Boys",1
"ASA LIVERPOOL FCIAA MD (FORMER ASA JUVENTUS ELITE) 02 ACADEMY U16 Boys EDP","U16","Boys",1
"ASPHALT GREEN G2003 U15 Girls EDP","U15","Girls",1
"BALTIMORE BAYS COLTS U17 Boys EDP","U17","Boys",1
"BALTIMORE BAYS LIGHTNING U16 Girls EDP","U16","Girls",1
"BALTIMORE CELTIC ELITE U15 Boys EDP","U15","Boys",1
"BALTIMORE CELTIC SC 2001 DONATELLI U17 Boys EDP","U17","Boys",1
"BALTIMORE CELTIC SC 2002 DONATELLI U16 Boys EDP","U16","Boys",1
"BALTIMORE CELTIC SC ELITE 01 GIRLS U17 Girls EDP","U17","Girls",1
"BALTIMORE CELTIC SC LLC 2007B U11 Boys EDP","U11","Boys",1
"BALTIMORE CELTIC SC SOUTH 06 U12 Boys EDP","U12","Boys",1
"BALTIMORE UNION ELITE 05B U13 Boys EDP","U13","Boys",1
"BALTIMORE UNION SC BALTIMORE UNION ELITE 03 U15 Girls EDP","U15","Girls",1
"BALTIMORE UNION SELECT 02 U16 Girls EDP","U16","Girls",1
"BAYSHORE SC BLAZE U11 Girls EDP","U11","Girls",1
"BAYSHORE VELOCITY 00 BLACK U18 Girls EDP","U18","Girls",1
"BEACHSIDE OF CONNECTICUT SC BOYS 2005 U13 Boys EDP","U13","Boys",1
"BEEKMAN FIRE ELITE U14 Girls EDP","U14","Girls",1
