"Home","Away","Field"
"AUFC 07 U11 Boys VA NPL","VIRGINIA VSA 07B PRE ACADEMY NPL U11 Boys VA NPL","Stuart HS Overlay #1"
"GSC UNITED NPL 07 U11 Boys VA NPL","VIRGINIA RUSH COPA 07B U11 Boys VA NPL","Grist Mill Park #5A GM5A"
"PWSI COURAGE 07B NPL U11 Boys VA NPL","TIDEWATER SHARKS 2007 UNITED U11 Boys VA NPL","Howison Park T3A"
"VYS DRAGONS RED U11 Boys VA NPL","RICHMOND STRIKERS 07 ELITE U11 Boys VA NPL","Jones Branch #2"
"CHANTILLY YOUTH SOCCER CYA 07B PURPLE U11 Boys VA NPL","FC VIRGINIA ELITE 07 U11 Boys VA NPL","St. Veronica's"
"GREAT FALLS 07B MILAN U11 Boys VA NPL","RICHMOND KICKERS U11 B ELITE RED '07 U11 Boys VA NPL","Lockmeade SS #1"
"PWSI COURAGE 07B NPL U11 Boys VA NPL","VIRGINIA RUSH COPA 07B U11 Boys VA NPL","Howison Park T3B"
"FC VIRGINIA ELITE 07 U11 Boys VA NPL","AUFC 07 U11 Boys VA NPL","Bles Park #1"
"GREAT FALLS 07B MILAN U11 Boys VA NPL","RICHMOND STRIKERS 07 ELITE U11 Boys VA NPL","Nike Park 4 - SS 4B"
"VIRGINIA VSA 07B PRE ACADEMY NPL U11 Boys VA NPL","CHANTILLY YOUTH SOCCER CYA 07B PURPLE U11 Boys VA NPL","Long Park F.H. FURR #5A"
"GSC UNITED NPL 07 U11 Boys VA NPL","TIDEWATER SHARKS 2007 UNITED U11 Boys VA NPL","Grist Mill Park #5A GM5A"
"VYS DRAGONS RED U11 Boys VA NPL","RICHMOND KICKERS U11 B ELITE RED '07 U11 Boys VA NPL","Jones Branch #2"
"FC VIRGINIA ELITE 07 U11 Boys VA NPL","GSC UNITED NPL 07 U11 Boys VA NPL","Bles Park #1"
"RICHMOND STRIKERS 07 ELITE U11 Boys VA NPL","TIDEWATER SHARKS 2007 UNITED U11 Boys VA NPL","Striker Park #4"
"VIRGINIA VSA 07B PRE ACADEMY NPL U11 Boys VA NPL","PWSI COURAGE 07B NPL U11 Boys VA NPL","Long Park F.H. FURR #5A"
"RICHMOND KICKERS U11 B ELITE RED '07 U11 Boys VA NPL","VIRGINIA RUSH COPA 07B U11 Boys VA NPL","Ukrop Park #4"
"AUFC 07 U11 Boys VA NPL","VYS DRAGONS RED U11 Boys VA NPL","Stuart HS Overlay #1"
"CHANTILLY YOUTH SOCCER CYA 07B PURPLE U11 Boys VA NPL","GREAT FALLS 07B MILAN U11 Boys VA NPL","Sully Highlands 2B"
"FC VIRGINIA ELITE 07 U11 Boys VA NPL","VIRGINIA VSA 07B PRE ACADEMY NPL U11 Boys VA NPL","Bles Park #1"
"RICHMOND STRIKERS 07 ELITE U11 Boys VA NPL","RICHMOND KICKERS U11 B ELITE RED '07 U11 Boys VA NPL","West Creek #06"
"GSC UNITED NPL 07 U11 Boys VA NPL","VIRGINIA VSA 07B PRE ACADEMY NPL U11 Boys VA NPL","Grist Mill Park #5A GM5A"
"GREAT FALLS 07B MILAN U11 Boys VA NPL","AUFC 07 U11 Boys VA NPL","Nike Park 4 - SS 4B"
"TIDEWATER SHARKS 2007 UNITED U11 Boys VA NPL","RICHMOND KICKERS U11 B ELITE RED '07 U11 Boys VA NPL","Warhill Sports Complex #2"
"VYS DRAGONS RED U11 Boys VA NPL","CHANTILLY YOUTH SOCCER CYA 07B PURPLE U11 Boys VA NPL","Jones Branch #2"
"VIRGINIA RUSH COPA 07B U11 Boys VA NPL","RICHMOND STRIKERS 07 ELITE U11 Boys VA NPL","HRSC 13C"
"PWSI COURAGE 07B NPL U11 Boys VA NPL","FC VIRGINIA ELITE 07 U11 Boys VA NPL","Veterans Park #4"
"PWSI COURAGE 07B NPL U11 Boys VA NPL","GSC UNITED NPL 07 U11 Boys VA NPL","Howison Park T3B"
"VIRGINIA RUSH COPA 07B U11 Boys VA NPL","CHANTILLY YOUTH SOCCER CYA 07B PURPLE U11 Boys VA NPL","HRSC 13A"
"TIDEWATER SHARKS 2007 UNITED U11 Boys VA NPL","AUFC 07 U11 Boys VA NPL","Warhill Sports Complex #2"
"RICHMOND STRIKERS 07 ELITE U11 Boys VA NPL","GSC UNITED NPL 07 U11 Boys VA NPL","Striker Park #4"
"RICHMOND KICKERS U11 B ELITE RED '07 U11 Boys VA NPL","PWSI COURAGE 07B NPL U11 Boys VA NPL","Ukrop Park #4"
"GREAT FALLS 07B MILAN U11 Boys VA NPL","VIRGINIA VSA 07B PRE ACADEMY NPL U11 Boys VA NPL","Nike Park 4 - SS 4B"
"VYS DRAGONS RED U11 Boys VA NPL","FC VIRGINIA ELITE 07 U11 Boys VA NPL","Jones Branch #2"
"VIRGINIA RUSH COPA 07B U11 Boys VA NPL","AUFC 07 U11 Boys VA NPL","HRSC 13A"
"TIDEWATER SHARKS 2007 UNITED U11 Boys VA NPL","CHANTILLY YOUTH SOCCER CYA 07B PURPLE U11 Boys VA NPL","Warhill Sports Complex #2"
"GREAT FALLS 07B MILAN U11 Boys VA NPL","PWSI COURAGE 07B NPL U11 Boys VA NPL","Nike Park 4 - SS 4B"
"VYS DRAGONS RED U11 Boys VA NPL","GSC UNITED NPL 07 U11 Boys VA NPL","Grist Mill Park #5A GM5A"
"CHANTILLY YOUTH SOCCER CYA 07B PURPLE U11 Boys VA NPL","RICHMOND STRIKERS 07 ELITE U11 Boys VA NPL","Sully Highlands 2B"
"VIRGINIA RUSH COPA 07B U11 Boys VA NPL","TIDEWATER SHARKS 2007 UNITED U11 Boys VA NPL","HRSC 13B"
"AUFC 07 U11 Boys VA NPL","RICHMOND KICKERS U11 B ELITE RED '07 U11 Boys VA NPL","Stuart HS Overlay #1"
"VIRGINIA RUSH COPA 07B U11 Boys VA NPL","VYS DRAGONS RED U11 Boys VA NPL","HRSC #1"
"TIDEWATER SHARKS 2007 UNITED U11 Boys VA NPL","GREAT FALLS 07B MILAN U11 Boys VA NPL","Warhill Sports Complex #2"
"VIRGINIA RUSH COPA 07B U11 Boys VA NPL","GREAT FALLS 07B MILAN U11 Boys VA NPL","HRSC #2"
"TIDEWATER SHARKS 2007 UNITED U11 Boys VA NPL","VYS DRAGONS RED U11 Boys VA NPL","Warhill Sports Complex #2"
"AUFC 07 U11 Boys VA NPL","PWSI COURAGE 07B NPL U11 Boys VA NPL","Stuart HS Overlay #1"
"CHANTILLY YOUTH SOCCER CYA 07B PURPLE U11 Boys VA NPL","GSC UNITED NPL 07 U11 Boys VA NPL","Sully Highlands 2B"
"RICHMOND KICKERS U11 B ELITE RED '07 U11 Boys VA NPL","FC VIRGINIA ELITE 07 U11 Boys VA NPL","Ukrop Park #4"
"RICHMOND STRIKERS 07 ELITE U11 Boys VA NPL","VIRGINIA VSA 07B PRE ACADEMY NPL U11 Boys VA NPL","Striker Park #4"
"RICHMOND STRIKERS 07 ELITE U11 Boys VA NPL","PWSI COURAGE 07B NPL U11 Boys VA NPL","West Creek #06"
"VIRGINIA VSA 07B PRE ACADEMY NPL U11 Boys VA NPL","VYS DRAGONS RED U11 Boys VA NPL","Long Park F.H. FURR #5A"
"FC VIRGINIA ELITE 07 U11 Boys VA NPL","GREAT FALLS 07B MILAN U11 Boys VA NPL","Bles Park #1"
"RICHMOND KICKERS U11 B ELITE RED '07 U11 Boys VA NPL","GSC UNITED NPL 07 U11 Boys VA NPL","Ukrop Park #4"
"VIRGINIA VSA 07B PRE ACADEMY NPL U11 Boys VA NPL","VIRGINIA RUSH COPA 07B U11 Boys VA NPL","Long Park F.H. FURR #5A"
"FC VIRGINIA ELITE 07 U11 Boys VA NPL","TIDEWATER SHARKS 2007 UNITED U11 Boys VA NPL","Bles Park #1"
"GSC UNITED NPL 07 U11 Boys VA NPL","GREAT FALLS 07B MILAN U11 Boys VA NPL","Grist Mill Park #5A GM5A"
"PWSI COURAGE 07B NPL U11 Boys VA NPL","VYS DRAGONS RED U11 Boys VA NPL","Veterans Park #4"
"VIRGINIA VSA 07B PRE ACADEMY NPL U11 Boys VA NPL","TIDEWATER SHARKS 2007 UNITED U11 Boys VA NPL","Long Park F.H. FURR #5A"
"FC VIRGINIA ELITE 07 U11 Boys VA NPL","VIRGINIA RUSH COPA 07B U11 Boys VA NPL","Nike Park 4 - SS 4B"
"AUFC 07 U11 Boys VA NPL","RICHMOND STRIKERS 07 ELITE U11 Boys VA NPL","Stuart HS Overlay #1"
"CHANTILLY YOUTH SOCCER CYA 07B PURPLE U11 Boys VA NPL","RICHMOND KICKERS U11 B ELITE RED '07 U11 Boys VA NPL","Sully Highlands 2B"
"CHANTILLY YOUTH SOCCER CYA 07B PURPLE U11 Boys VA NPL","AUFC 07 U11 Boys VA NPL","Sully Highlands 2A 2A"
