"Home","Age.Group","Gender"
"FC RICHMOND METRO NAVY U11 Boys ADSL","U11","Boys"
"FC RICHMOND METRO SKY U11 Boys ADSL","U11","Boys"
"FC RICHMOND METRO U11 Girls ADSL","U11","Girls"
"FC RICHMOND METRO U12 Boys ADSL","U12","Boys"
"FC RICHMOND METRO U12 Girls ADSL","U12","Girls"
"FC RICHMOND NAVY U10 Boys ADSL","U10","Boys"
"FC RICHMOND NAVY U10 Girls ADSL","U10","Girls"
"FC RICHMOND SKY U10 Boys ADSL","U10","Boys"
"FC RICHMOND SKY U10 Girls ADSL","U10","Girls"
"KICKERS CENTRAL DYNAMO U12 Boys ADSL","U12","Boys"
"KICKERS CENTRAL FIRE U11 Boys ADSL","U11","Boys"
"KICKERS COLLEGIATE CREW U12 Boys ADSL","U12","Boys"
"KICKERS COLLEGIATE DASH U12 Girls ADSL","U12","Girls"
"KICKERS SOUTH UKROP PARK PRIDE U11 Girls ADSL","U11","Girls"
"KICKERS SOUTH UKROP PARK PRIDE U12 Girls ADSL","U12","Girls"
"KICKERS SOUTH UKROP PARK SPIRIT U12 Girls ADSL","U12","Girls"
"KICKERS SOUTH UKROP PARK SPORTING U12 Boys ADSL","U12","Boys"
"KICKERS SOUTH UKROP PARK UNION U11 Boys ADSL","U11","Boys"
"KICKERS SOUTH WOODLAKE GALAXY U11 Boys ADSL","U11","Boys"
"KICKERS SOUTH WOODLAKE REAL U12 Boys ADSL","U12","Boys"
"KICKERS U11B ELITE BLACK U12 Boys ADSL","U12","Boys"
"KICKERS U11B ELITE WHITE U12 Boys ADSL","U12","Boys"
"KICKERS WOODLAKE/RIVER CITY REIGN U11 Girls ADSL","U11","Girls"
"KICKERS WOODLAKE/RIVER CITY REIGN U12 Girls ADSL","U12","Girls"
"POWHATAN FURY 06B U12 Boys ADSL","U12","Boys"
"POWHATAN FURY 06G U12 Girls ADSL","U12","Girls"
"POWHATAN FURY 07B U11 Boys ADSL","U11","Boys"
"POWHATAN FURY 07G U11 Girls ADSL","U11","Girls"
"POWHATAN FURY 08B U10 Boys ADSL","U10","Boys"
"POWHATAN FURY 08G U10 Girls ADSL","U10","Girls"
"RSK CHESTERFIELD 2006 ELITE WHITE U12 Boys ADSL","U12","Boys"
"RSK CHESTERFIELD 2007 ELITE BLUE U11 Boys ADSL","U11","Boys"
"RSK CHESTERFIELD 2007 ELITE BLUE U11 Girls ADSL","U11","Girls"
"RSK CHESTERFIELD 2008 ELITE BLUE U10 Boys ADSL","U10","Boys"
"RSK CHESTERFIELD 2008 ELITE BLUE U10 Girls ADSL","U10","Girls"
"RSK CHESTERFIELD 2008 ELITE WHITE U10 Boys ADSL","U10","Boys"
"RSK CHESTERFIELD FIRST TOUCH U10 Boys ADSL","U10","Boys"
"RSK CHESTERFIELD FIRST TOUCH U12 Boys ADSL","U12","Boys"
"STRIKER 2008 ELITE BLACK U10 Boys ADSL","U10","Boys"
"STRIKERS 2006 ELITE BLACK GIRLS U12 Boys ADSL","U12","Boys"
"STRIKERS 2006 PREMIER BLACK U12 Boys ADSL","U12","Boys"
"STRIKERS 2006 PREMIER BLACK U12 Girls ADSL","U12","Girls"
"STRIKERS 2006 PREMIER WHITE U12 Boys ADSL","U12","Boys"
"STRIKERS 2006 PREMIER WHITE U12 Girls ADSL","U12","Girls"
"STRIKERS 2006 UNITED U12 Boys ADSL","U12","Boys"
"STRIKERS 2007 ELITE BLACK U11 Girls ADSL","U11","Girls"
"STRIKERS 2007 PREMIER BLACK U11 Boys ADSL","U11","Boys"
"STRIKERS 2007 PREMIER BLACK U11 Girls ADSL","U11","Girls"
"STRIKERS 2007 PREMIER WHITE U11 Boys ADSL","U11","Boys"
"STRIKERS 2008 ELITE ORANGE U10 Boys ADSL","U10","Boys"
"STRIKERS 2008 ELITE U10 Girls ADSL","U10","Girls"
"STRIKERS 2008 JONES U10 Girls ADSL","U10","Girls"
"STRIKERS 2008 KNIGHTON U10 Boys ADSL","U10","Boys"
"STRIKERS 2008 NOFTSINGER U10 Girls ADSL","U10","Girls"
"STRIKERS 2008 OWNBY U10 Boys ADSL","U10","Boys"
