"Home","Away","Field","Age.Group","Gender"
"CSC 11U 07B Navy U11 Boys BRSL","New River United 07B White U11B U11 Boys BRSL","Christiansburg Middle School Field 3","U11","Boys"
"Roanoke Star 07 Boys Premier U11 Boys BRSL","Salem Sabres U11B Maroon U11 Boys BRSL","Countryside Sportsplex Advance Auto A","U11","Boys"
"Danville Blast U11 Boys U11 Boys BRSL","CSC 11U 07B Navy U11 Boys BRSL","Dan Daniel Memorial Park Field 2","U11","Boys"
"New River United 07B White U11B U11 Boys BRSL","Roanoke Star 07 Boys Premier U11 Boys BRSL","Kipps Elementary Field 2","U11","Boys"
"CSC 11U 07B Navy U11 Boys BRSL","PYSL Hurricanes 07 Boys U11 Boys BRSL","Good Shepherd Baptist Church Field 1","U11","Boys"
"CSC 11U 07B Navy U11 Boys BRSL","Salem Sabres U11B Maroon U11 Boys BRSL","Christiansburg Middle School Field 3","U11","Boys"
"Danville Blast U11 Boys U11 Boys BRSL","New River United 07B White U11B U11 Boys BRSL","Dan Daniel Memorial Park Field 2","U11","Boys"
"PYSL Hurricanes 07 Boys U11 Boys BRSL","Roanoke Star 07 Boys Premier U11 Boys BRSL","Smith River Sports Complex Field 3B","U11","Boys"
"PYSL Hurricanes 07 Boys U11 Boys BRSL","Danville Blast U11 Boys U11 Boys BRSL","Smith River Sports Complex Field 3B","U11","Boys"
"CSC 11U 07B Navy U11 Boys BRSL","Danville Blast U11 Boys U11 Boys BRSL","Good Shepherd Baptist Church Field 1","U11","Boys"
"Roanoke Star 07 Boys Premier U11 Boys BRSL","New River United 07B White U11B U11 Boys BRSL","Countryside Sportsplex Advance Auto A","U11","Boys"
"Salem Sabres U11B Maroon U11 Boys BRSL","PYSL Hurricanes 07 Boys U11 Boys BRSL","St John's Place Field 1","U11","Boys"
"Danville Blast U11 Boys U11 Boys BRSL","Roanoke Star 07 Boys Premier U11 Boys BRSL","Dan Daniel Memorial Park Field 2","U11","Boys"
"New River United 07B White U11B U11 Boys BRSL","Salem Sabres U11B Maroon U11 Boys BRSL","Va Tech Rec Sports Turf (VTRST) Field 3","U11","Boys"
"Danville Blast U11 Boys U11 Boys BRSL","PYSL Hurricanes 07 Boys U11 Boys BRSL","Dan Daniel Memorial Park Field 2","U11","Boys"
"Salem Sabres U11B Maroon U11 Boys BRSL","Roanoke Star 07 Boys Premier U11 Boys BRSL","St John's Place Field 1","U11","Boys"
"New River United 07B White U11B U11 Boys BRSL","CSC 11U 07B Navy U11 Boys BRSL","Kipps Elementary Field 2","U11","Boys"
"PYSL Hurricanes 07 Boys U11 Boys BRSL","Salem Sabres U11B Maroon U11 Boys BRSL","Smith River Sports Complex Field 3B","U11","Boys"
"Salem Sabres U11B Maroon U11 Boys BRSL","Danville Blast U11 Boys U11 Boys BRSL","St John's Place Field 1","U11","Boys"
"Roanoke Star 07 Boys Premier U11 Boys BRSL","CSC 11U 07B Navy U11 Boys BRSL","Countryside Sportsplex Advance Auto A","U11","Boys"
"New River United 07B White U11B U11 Boys BRSL","PYSL Hurricanes 07 Boys U11 Boys BRSL","Va Tech Rec Sports Turf (VTRST) Field 3","U11","Boys"
"Roanoke Star 07 Boys Premier U11 Boys BRSL","Danville Blast U11 Boys U11 Boys BRSL","Countryside Sportsplex Advance Auto A","U11","Boys"
"Salem Sabres U11B Maroon U11 Boys BRSL","New River United 07B White U11B U11 Boys BRSL","St John's Place Field 1","U11","Boys"
"PYSL Hurricanes 07 Boys U11 Boys BRSL","CSC 11U 07B Navy U11 Boys BRSL","Smith River Sports Complex Field 3B","U11","Boys"
"Salem Sabres U12B White U11 Boys BRSL","Smith Mountain Lake Jets 11UB U11 Boys BRSL","St John's Place Field 1","U11","Boys"
