"Home","Away","Age.Group","Field","Gender"
"Loudoun 1999 U19 Male CCL","Roanoke Star 1999 U19 Male CCL","U19","Loudoun Soccer Park #1","Boys"
"NVSC 1999 U19 Male CCL","SYA 1999 U19 Male CCL","U19","Hellwig Park #8","Boys"
"Arlington 1999 U19 Male CCL","McLean 1999 U19 Male CCL","U19","Greenbrier Park (Yorktown HS) #Stadium","Boys"
"FC Richmond 1999 U19 Male CCL","LMVSC 1999 U19 Male CCL","U19","Huguenot Park #3","Boys"
"Beach FC 1999 U19 Male CCL","Fredericksburg FC 1999 U19 Male CCL","U19","Hampton Roads Soccer Complex #15","Boys"
"Loudoun 1999 U19 Female CCL","Roanoke Star 1999 U19 Female CCL","U19","Loudoun Soccer Park #2","Girls"
"NVSC 1999 U19 Female CCL","SYA 1999 U19 Female CCL","U19",,"Girls"
"FC Richmond 1999 U19 Female CCL","LMVSC 1999 U19 Female CCL","U19",,"Girls"
"Beach FC 1999 U19 Female CCL","Fredericksburg FC 1999 U19 Female CCL","U19",,"Girls"
"Loudoun 2000 U18 Male CCL","Roanoke Star 2000 U18 Male CCL","U18",,"Boys"
"NVSC 2000 U18 Male CCL","SYA 2000 U18 Male CCL","U18","Hellwig Park #8","Boys"
"Arlington 2000 U18 Male CCL","McLean 2000 U18 Male CCL","U18","Greenbrier Park (Yorktown HS) #Stadium","Boys"
"FC Richmond 2000 U18 Male CCL","LMVSC 2000 U18 Male CCL","U18",,"Boys"
"Beach FC 2000 U18 Male CCL","Fredericksburg FC 2000 U18 Male CCL","U18","Hampton Roads Soccer Complex #15","Boys"
"Loudoun 2000 U18 Female CCL","Roanoke Star 2000 U18 Female CCL","U18",,"Girls"
"NVSC 2000 U18 Female CCL","SYA 2000 U18 Female CCL","U18","Hellwig Park #7","Girls"
"FC Richmond 2000 U18 Female CCL","LMVSC 2000 U18 Female CCL","U18","Huguenot Park #1","Girls"
"Beach FC 2000 U18 Female CCL","Fredericksburg FC 2000 U18 Female CCL","U18","Hampton Roads Soccer Complex #14","Girls"
"Loudoun 2001 U17 Male CCL","Roanoke Star 2001 U17 Male CCL","U17","Loudoun Soccer Park #1","Boys"
