"Home","Age.Group","Gender"
"Arlington 1999 U19 Female CCL","U19","Girls"
"Arlington 1999 U19 Male CCL","U19","Boys"
"Arlington 2000 U18 Female CCL","U18","Girls"
"Arlington 2000 U18 Male CCL","U18","Boys"
"Arlington 2001 U17 Female CCL","U17","Girls"
"Arlington 2001 U17 Male CCL","U17","Boys"
"Arlington 2002 U16 Female CCL","U16","Girls"
"Arlington 2002 U16 Female CCL II","U16","Girls"
"Arlington 2002 U16 Male CCL","U16","Boys"
"Arlington 2003 U15 Female CCL","U15","Girls"
"Arlington 2003 U15 Female CCL II","U15","Girls"
"Arlington 2003 U15 Male CCL","U15","Boys"
"Arlington 2003 U15 Male CCL II","U15","Boys"
"Arlington 2004 U14 Female CCL","U14","Girls"
"Arlington 2004 U14 Female CCL II","U14","Girls"
"Arlington 2004 U14 Male CCL","U14","Boys"
"Arlington 2004 U14 Male CCL II","U14","Boys"
"Arlington 2005 U13 Female CCL","U13","Girls"
"Arlington 2005 U13 Female CCL II","U13","Girls"
"Arlington 2005 U13 Male CCL","U13","Boys"
"Arlington 2005 U13 Male CCL II","U13","Boys"
"Arlington 2006 U12 Female CCL","U12","Girls"
"Arlington 2006 U12 Female CCL II","U12","Girls"
"Arlington 2006 U12 Male CCL","U12","Boys"
"Arlington 2006 U12 Male CCL II","U12","Boys"
"Arlington 2007 U11 Female CCL","U11","Girls"
"Arlington 2007 U11 Female CCL II","U11","Girls"
"Arlington 2007 U11 Male CCL","U11","Boys"
"Arlington 2007 U11 Male CCL II","U11","Boys"
"Arlington 2008 U10 Female CCL","U10","Girls"
"Arlington 2008 U10 Male CCL","U10","Boys"
"Arlington 2009 U09 Female CCL","U09","Girls"
"Arlington 2009 U09 Male CCL","U09","Boys"
"Beach FC 1999 U19 Female CCL","U19","Girls"
"Beach FC 1999 U19 Male CCL","U19","Boys"
"Beach FC 2000 U18 Female CCL","U18","Girls"
"Beach FC 2000 U18 Male CCL","U18","Boys"
"Beach FC 2001 U17 Female CCL","U17","Girls"
"Beach FC 2001 U17 Male CCL","U17","Boys"
