"Home","Away","Field"
"A3 Swansea U10 Girls NCSL","BAC Badgers U10 Girls NCSL","Bell Branch Athletic Complex Field D3"
"A3 Storm U15 Girls NCSL","ALEX 03 Girls White U15 Girls NCSL","Bell Branch Athletic Complex Field A"
"A3 Aston Villa U09 Boys NCSL","DCST Black Metros U09 Boys NCSL","Bell Branch Athletic Complex Field D3"
"A3 Blackpool U12 Girls NCSL","ABGC AUFC 06 Red U12 Girls NCSL","Bell Branch Athletic Complex Field D4"
"A3 Lightning U15 Girls NCSL","SYC Pride 03 White U15 Girls NCSL","Bell Branch Athletic Complex Field A"
"A3 West Brom U09 Boys NCSL","CFC 09B Red U09 Boys NCSL","Bell Branch Athletic Complex Field D3"
"A3 Blues U11 Girls NCSL","ALEX 07 Girls Red U11 Girls NCSL","Bell Branch Athletic Complex Field D4"
"A3 Wimbledon U14 Boys NCSL","BAC Venom U14 Boys NCSL","Bell Branch Athletic Complex Field A"
"A3 Rangers U11 Girls NCSL","ALEX 07 Girls White U11 Girls NCSL","Bell Branch Athletic Complex Field D4"
"A3 Portsmouth U13 Boys NCSL","ABGC AUFC 05 United U13 Boys NCSL","Bell Branch Athletic Complex Field A"
"A3 Southampton U13 Boys NCSL","ALEX 05 Boys Blue U13 Boys NCSL","Bell Branch Athletic Complex Field A"
"A3 Spurs U17 Boys NCSL","VYS Titans Black U17 Boys NCSL","Bell Branch Athletic Complex Field B"
"A3 Lions (Gold) U10 Boys NCSL","CSA United 08B Black U10 Boys NCSL","Bell Branch Athletic Complex Field D3"
"A3 Everton U11 Boys NCSL","ARL 07B Blue U11 Boys NCSL","Bell Branch Athletic Complex Field D4"
"A3 Storm U15 Girls NCSL","AUSC Antietam United G03 U15 Girls NCSL","Bell Branch Athletic Complex Field B"
"A3 Lions (Blue) U10 Boys NCSL","CSA United 08B Gold U10 Boys NCSL","Bell Branch Athletic Complex Field D3"
"A3 Spurs U12 Boys NCSL","FRED FC Frederick '06 Black U12 Boys NCSL","Bell Branch Athletic Complex Field D4"
"A3 Swansea U10 Girls NCSL","FRED FC Frederick '08 Black U10 Girls NCSL","Bell Branch Athletic Complex Field D3"
"A3 Barnsley U11 Girls NCSL","PAC Gold 07 U11 Girls NCSL","Bell Branch Athletic Complex Field D4"
"A3 Arsenal U10 Girls NCSL","VYS '08G Red U10 Girls NCSL","Bell Branch Athletic Complex Field D3"
"A3 Blues U11 Girls NCSL","ARL 07G Blue U11 Girls NCSL","Bell Branch Athletic Complex Field D4"
"A3 Fulham U14 Girls NCSL","FCVA Premier U14 Girls NCSL","Bell Branch Athletic Complex Field B"
"A3 Oxford U10 Girls NCSL","VYS '08G Black U10 Girls NCSL","Bell Branch Athletic Complex Field D3"
"A3 Rangers U11 Girls NCSL","ARL 07G Black U11 Girls NCSL","Bell Branch Athletic Complex Field D4"
"A3 Wimbledon U14 Boys NCSL","BRYC Elite Academy U14 Black U14 Boys NCSL","Bell Branch Athletic Complex Field B"
"A3 Lions (White) U10 Boys NCSL","BAC Express U10 Boys NCSL","Bell Branch Athletic Complex Field D3"
"A3 Blackpool U12 Girls NCSL","ARL 06G Blue U12 Girls NCSL","Bell Branch Athletic Complex Field D4"
"A3 Southampton U13 Boys NCSL","CFC 05B White U13 Boys NCSL","Bell Branch Athletic Complex Field B"
"A3 Aston Villa U09 Boys NCSL","GRFL 09B Napoli U09 Boys NCSL","Bell Branch Athletic Complex Field D6"
"A3 West Brom U09 Boys NCSL","GRFL 09B Lazio U09 Boys NCSL","Bell Branch Athletic Complex Field D2"
"A3 Spurs U17 Boys NCSL","ABGC AUFC 01 United U17 Boys NCSL","Bell Branch Athletic Complex Field B"
"A3 Lions (White) U10 Boys NCSL","FRED FC Frederick '08 Black U10 Boys NCSL","Bell Branch Athletic Complex Field D3"
"A3 Lightning U15 Girls NCSL","CHAN Spirit Red 03 U15 Girls NCSL","Bell Branch Athletic Complex Field B"
"A3 Lions (Gold) U10 Boys NCSL","CALV MD International 2008 U10 Boys NCSL","Bell Branch Athletic Complex Field D3"
"A3 Lions (Blue) U10 Boys NCSL","CALV CSA 2008 U10 Boys NCSL","Bell Branch Athletic Complex Field D3"
"A3 Fulham U14 Girls NCSL","ABGC AUFC  04 Black U14 Girls NCSL","Bell Branch Athletic Complex Field B"
"A3 Barnsley U11 Girls NCSL","BAC Lightning U11 Girls NCSL","Bell Branch Athletic Complex Field D4"
"A3 Arsenal U10 Girls NCSL","SMS Fusion U10 Girls NCSL","Bell Branch Athletic Complex Field D3"
"A3 Oxford U10 Girls NCSL","LAPL La Plata Kraken U10 Girls NCSL","Bell Branch Athletic Complex Field D3"
