"Home","Age Group","Gender"
"A3 Arsenal U10 Girls NCSL","U10","Girls"
"A3 Aston Villa U09 Boys NCSL","U09","Boys"
"A3 Barnsley U11 Girls NCSL","U11","Girls"
"A3 Blackpool U12 Girls NCSL","U12","Girls"
"A3 Blues U11 Girls NCSL","U11","Girls"
"A3 Everton U11 Boys NCSL","U11","Boys"
"A3 Fulham U14 Girls NCSL","U14","Girls"
"A3 Lightning U15 Girls NCSL","U15","Girls"
"A3 Lions (Blue) U10 Boys NCSL","U10","Boys"
"A3 Lions (Gold) U10 Boys NCSL","U10","Boys"
"A3 Lions (White) U10 Boys NCSL","U10","Boys"
"A3 Oxford U10 Girls NCSL","U10","Girls"
"A3 Portsmouth U13 Boys NCSL","U13","Boys"
"A3 Rangers U11 Girls NCSL","U11","Girls"
"A3 Southampton U13 Boys NCSL","U13","Boys"
"A3 Spurs U12 Boys NCSL","U12","Boys"
"A3 Spurs U17 Boys NCSL","U17","Boys"
"A3 Storm U15 Girls NCSL","U15","Girls"
"A3 Swansea U10 Girls NCSL","U10","Girls"
"A3 West Brom U09 Boys NCSL","U09","Boys"
"A3 Wimbledon U14 Boys NCSL","U14","Boys"
"ABGC Annandale United FC 03 Red U15 Boys NCSL","U15","Boys"
"ABGC Annandale United FC 06 Red U12 Boys NCSL","U12","Boys"
"ABGC Annandale United FC U11 Boys NCSL","U11","Boys"
"ABGC AUFC  04 Black U14 Girls NCSL","U14","Girls"
"ABGC AUFC 00 Black U18 Boys NCSL","U18","Boys"
"ABGC AUFC 00 Red U18 Boys NCSL","U18","Boys"
"ABGC AUFC 01 United U17 Boys NCSL","U17","Boys"
"ABGC AUFC 05 United U13 Boys NCSL","U13","Boys"
"ABGC AUFC 06 Red U12 Girls NCSL","U12","Girls"
"ABGC AUFC 08 Red (Storm) U10 Girls NCSL","U10","Girls"
"ABGC AUFC 08 United U10 Boys NCSL","U10","Boys"
"ABGC AUFC 09 Red U09 Boys NCSL","U09","Boys"
"ABGC AUFC 09 United U09 Boys NCSL","U09","Boys"
"ABGC Ragball USA U17 Boys NCSL","U17","Boys"
"ABGC United Black U13 Girls NCSL","U13","Girls"
"ABGC United Calico U17 Boys NCSL","U17","Boys"
"ABGC United FC U16 Boys NCSL","U16","Boys"
"ABGC X-Treme U19 Girls NCSL","U19","Girls"
"ALEX 00 Boys Red U18 Boys NCSL","U18","Boys"
"ALEX 00 Boys White U18 Boys NCSL","U18","Boys"
"ALEX 01 Boys Red U17 Boys NCSL","U17","Boys"
"ALEX 01 Boys White U17 Boys NCSL","U17","Boys"
"ALEX 01 Girls Red U17 Girls NCSL","U17","Girls"
"ALEX 02 Boys Red U16 Boys NCSL","U16","Boys"
"ALEX 02 Boys White U16 Boys NCSL","U16","Boys"
"ALEX 02 Girls Red U16 Girls NCSL","U16","Girls"
"ALEX 03 Boys Red U15 Boys NCSL","U15","Boys"
"ALEX 03 Boys White U15 Boys NCSL","U15","Boys"
"ALEX 03 Girls Red U15 Girls NCSL","U15","Girls"
"ALEX 03 Girls White U15 Girls NCSL","U15","Girls"
"ALEX 04  Girls Red U14 Girls NCSL","U14","Girls"
"ALEX 04 Boys Red U14 Boys NCSL","U14","Boys"
"ALEX 04 Boys White U14 Boys NCSL","U14","Boys"
"ALEX 04 Girls White U14 Girls NCSL","U14","Girls"
"ALEX 05 Boys Blue U13 Boys NCSL","U13","Boys"
"ALEX 05 Boys Red U13 Boys NCSL","U13","Boys"
"ALEX 05 Boys White U13 Boys NCSL","U13","Boys"
"ALEX 05 Girls Red U13 Girls NCSL","U13","Girls"
"ALEX 05 Girls White U13 Girls NCSL","U13","Girls"
"ALEX 06 Boys Blue U12 Boys NCSL","U12","Boys"
"ALEX 06 Boys White U12 Boys NCSL","U12","Boys"
"ALEX 06 Girls Blue U12 Girls NCSL","U12","Girls"
"ALEX 06 Girls White U12 Girls NCSL","U12","Girls"
"ALEX 07 Boys Blue U11 Boys NCSL","U11","Boys"
"ALEX 07 Boys White U11 Boys NCSL","U11","Boys"
"ALEX 07 Girls Red U11 Girls NCSL","U11","Girls"
"ALEX 07 Girls White U11 Girls NCSL","U11","Girls"
"ALEX 08 Boys Blue U10 Boys NCSL","U10","Boys"
"ALEX 08 Boys White U10 Boys NCSL","U10","Boys"
"ALEX 08 Girls Red U10 Girls NCSL","U10","Girls"
"ALEX 08 Girls White U10 Girls NCSL","U10","Girls"
