"Names","Street.Address","City","State","Zip.Code"
"Academy Hill","Academy Hill Road","Warrenton","VA","20186"
"AG Wright Middle School","100 Wood Dr","Stafford","VA","22554"
"Alabama Drive","Alabama Drive","Herndon","VA","20170"
"Albemarle High School","2775 Hydraulic Road","Charlottesville","VA","22901"
"Algonkian ES","20196 Carter Court","Sterling","VA","20165"
"Algonkian Regional Park","Fairway Drive","Sterling","VA","20165"
"Alice Deal Jr High","3815 Fort Drive NW","Washington","DC","20016"
"American Legion","345 Legion Drive","Warrenton","VA","20186"
"Anacostia Rec Center","1800 Anacostia Dr SE","Washington","DC","20020"
"Andrews Chapel","VA",,,
"Annandale High School","4700 Medford Drive","Annandale","VA","22030"
"Annandale Terrace","7604 Herald Street","Annandale","VA","22003"
"Aquia Harbor","VA",,,
"Arcola Community Center - Gum Springs","24244 Gum Springs Road","Aldie","VA","20105"
"Arcola ES","41740 Tall Cedars Parkway","Aldie","VA","20105"
"Arlington Hall","VA",,,
"Armistead Boothe Field","520 Cameron Station Blvd","Alexandria","VA","22314"
"Arrowbrook Park","2360 Centreville Road","Herndon","VA","20171"
"Arrowhead Park","5200 Arrowhead Park Dr","Centreville","VA","20120"
"Ashburn ES","VA",,,
"Athey Complex","7580 Frost Ave","Warrenton","VA","20186"
"ATHEY Complex WYSC","800 Waterloo Road","Warrenton","VA","20186"
"Auburn MS","7270 Riley Rd","Warrenton","VA","20187"
"Baileys ES Turf Field","6111 Knollwood Dr","Falls Church","VA","22041"
"Ballenger Creek Park","5420 Ballenger Creek Pike","Frederick","MD","21703"
"Barcroft Park","4200 South Four Mile Run Dr","Arlington","VA","22204"
"Barnsfield","Barnsfield Road","Chantilly","VA","20151"
"Baron Cameron Park","11300 Baron Cameron Avenue","Reston","VA","20190"
"Battlefield MS","11120 Leavells Rd","Fredericksburg","VA","22407"
"Beechtree","3401 Beechtree Lane","Falls Church","VA","22042"
"Belmont ES","751 Norwood Lane","Woodbridge","VA","22191"
"Belmont Park","13699 Colfax Rd","Woodbridge","VA","22192"
"Belmont Ridge Middle School","19045 Upper Belmont Place","Leesburg","VA","20176"
"Belmont Station ES","20235 Nightwatch Street","Ashburn","VA","20149"
"Belvedere ES","6540 Columbia Pike","Falls Church","VA","22044"
"Ben Brenman Park","Ben Brenman Park","Cameron Station","Alexandria","VA"
"Ben Lomond","7500 Ben Lomond Park Drive","Manassas","VA","20109"
"Benjamin Banneker Park","1600 N Sycamore Street","Arlington","VA","22205"
"Benton MS","7411 Hoadly Road","Manassas","VA","20112"
"Beville MS","4901 Dale Blvd","Dale City","VA","22193"
"Bles Park","44830 Riverside Parkway","Ashburn","VA","20147"
"Bluemont Junction","5800 Wilson Blvd","Arlington","VA","22204"
"Bolen Park","42405 Claudia Drive","Leesburg","VA","20175"
"Braddock Park","13000 Braddock Rd","Clifton","VA","20124"
"Bradley ES","647 Hastings Lane","Warrenton","VA","20186"
"Brambleton Park","22377 Belmont Ridge Road","Ashburn","VA","20148"
"Brandon Way","Brandon Way","Manassas","VA","20110"
"Breezy Hill","Breezy Hill Drive","Ashburn","VA","20147"
"Brenman Park","Ben Brenman Park","Cameron Station","Alexandria","VA"
"Broad Run HS","21670 Ashburn Road","Ashburn","VA","20147"
"Brookfield Elementary","4200 Lees Corner Road","Chantilly","VA","20151"
"Brumfield ES","550 Alwington Blvd","Warrenton","VA","20186"
"Bryant Alt HS","2709 Popkins Lane","Alexandria","VA","22306"
"Bryantown Sports Complex Field #15","5665 Bryantown Road","Waldorf","MD","20601"
"Bucknell Manor Park","2223 Beacon Hill Road","Alexandria","VA","22307"
"Bull Run ES","15301 Lee Hwy","Centreville","VA","20120"
"Bull Run Middle School","6308 Catharpin Rd","Gainesville","VA","20155"
"Bull Run Regional Park","7700 Bull Run Dr","Centreville","VA","20121"
"Burke School","Corner Burke Lake Road &amp; Burke Centre Pkwy","Burke","VA","22015"
"Bush Hill ES","5927 Westchester Street","Alexandria","VA","22310"
"Buzz Aldrin ES","11375 Center Harbor Road","Reston","VA","20194"
"Byrnes Ridge Park","24915 Mineral Springs Circle","Aldie","VA","20105"
"Cactoctin ES","311 Cactoctin Circle SW","Leesburg","VA","20175"
"Caffi Field","Vienna","VA","22181",
"Capital One Park","1680 CapitalOne Drive","McLean","VA","22102"
"Carl Sandburg MS","8428 Fort Hunt Road","Alexandria","VA","22308"
"Carter Baron","16th &amp; Kennedy Sts NW","Washington","DC","20011"
"Cedar Creek Local Park","13513 Richter Farm Road","Germantown","MD","20874"
"Cedar Lane ES","43700 Tolomac Dr","Ashburn","VA","20147"
"Cedar Lee MS","School House Road","Bealeton","VA","22712"
"Cedar Ridge Childrens Home","12146 Cedar Ridge Rd,","Williamsport,","MD","21795"
"Centreville High School","6001 Union Mill Road","Clifton","VA","20124"
"Centreville High School","6001 Union Mill Road","Clifton","VA","20124"
"Chancellor ES","5995 Plank Road","Fredericksburg","va 22407",
"Chancellor MS","6320 Harrison Road","Fredericksburg","VA","22407"
"Chantilly HS","4201 Stringfellow Road","Chantilly","VA","20151"
"Chapel Square","4414 Holborn Avenue","Annandale","VA","22003"
"Charlottesville High School","1400 Melbourne Road","Charlottesville","VA","22901"
"Cherry Run ES","9732 Ironmaster Drive","Burke","VA","22015"
"Chesterbrook ES","1753 Kirby Road","McLean","VA","22101"
"Chesterfield","4901 S Chesterfield Road","Arlington","VA","22206"
"Chinn Park","Chinn Run Drive","Woodbridge","VA","22192"
"Clarke County Park","Al Smith Circle","Berryville","VA","22611"
"Clarke County Park Field #10","255 Al Smith Circle","Berryville","VA","22611"
"Clarks Crossing Park","111000 Clarks Crossing Rd","Vienna","VA","22182"
"Clear Spring Local Park","20101 Scenery Drive","Germantown","MD","20876"
"Clearview","12635 Builders Road","Herndon","VA","20170"
"Clermont ES","5720 Clermont Drive","Alexandria","VA","22310"
"Clermont Park","VA",,,
"Cloverdale Park","Cloverdale Road","Dale City","VA","22193"
"Colin Powell ES","13340 Leland Rd","Centreville","VA","20120"
"Collingwood Park","8200 West Boulevard Dr","Alexandria","VA","22308"
"Colombia","VA",,,
"Colvin Run ES","Trap Road","Vienna","VA","22182"
"Comets Stadium","Radio Lane","Culpeper","VA","22701"
"Congressional School","3229 Sleepy Hollow Rd","Falls Church","Va 22042",
"Conklin Park","25701 Donegal Street","South Riding","VA","20152"
"Cooper MS","977 Balls Hill Road","McLean","VA","22101"
"Courthouse Community Center (CCC)","90 Stafford Ave","Stafford","Va 22554",
"Cranes Lane","200 Cranes Lane","Ranson","WV","25438"
"Cranes Lane Park","595 Cranes Lane","Ranson","wv 25438",
"Crossfield ES","2791 Foxmill Road","Herndon","VA","20171"
"Cub Run ES","VA",,,
"Culpeper Complex","Greens Corner Road and Cyclone Way","Culpeper","VA","22701"
"Cunningham Park ES","1001 Park St SE","Vienna","VA","22180"
