"GMDATE","GMTIME","GAMECODE","HOME_TEAMCODE","HOME_TEAM","FINAL1","FINAL2","AWAY_TEAMCODE","AWAY_TEAM","FIELD","DIVISION","LEAGUE"
"09/10/2017","10:00 AM","2351","OD02138B","ALEX 03 Boys Blue",2,7,"OD02144B","RWFC VA Allstars FC","Hammond Middle School Turf Field","U15-16 Division B1","ODSL"
"09/10/2017","12:00 PM","1651","OD0400B","ALEX 05 Boys Black",1,11,"OD0590B","MSC Lions 05","Hammond Middle School Turf Field","U13 Division B1","ODSL"
"09/10/2017","12:00 PM","701","OD0601B","ALEX 07 Boys Black",3,0,"OD0730B","ABGC United FC Red 07B","Ben Brenman Park Field 1B","U11 Division B1","ODSL"
"09/10/2017","01:30 PM","1251","OD0500B","ALEX 06 Boys Black",1,4,"OD0604B","BRYC Blaze","Ben Brenman Park Field 1B","U12 Division B2","ODSL"
"09/10/2017","03:00 PM","52","OD0901B","ALEX 09 Boys Black",1,1,"OD0903B","BRYC Dragons","Ben Brenman Park Field 1B","U09 Boys Div Jefferson","ODSL"
"09/10/2017","04:30 PM","303","OD0800B","ALEX 08 Boys Black",4,11,"OD0822B","MSC Lions 08 Gold","Ben Brenman Park Field 1B","U10 Division B1","ODSL"
"09/10/2017","06:00 PM","505","OD0835G","ALEX 08 Girls Blue",0,8,"OD0836G","BRYC Spirit","Ben Brenman Park Field 1B","U10 Division G1","ODSL"
"09/16/2017",NA,"1666","OD0400B","ALEX 05 Boys Black",3,5,"OD0575B","DFC Scorpions",NA,"U13 Division B1","ODSL"
"09/17/2017","10:30 AM","106","OD0909B","ALEX 09 Boys Silver",0,9,"OD0910B","ARL 09B Silver","Ben Brenman Park Field 1B","U09 Boys Div Monroe","ODSL"
"09/17/2017","12:00 PM","1656","OD0400B","ALEX 05 Boys Black",3,9,"OD0511B","BRYC United","Hammond Middle School Turf Field","U13 Division B1","ODSL"
"09/17/2017","12:00 PM","206","OD0913G","ALEX 09 Girls Blue",2,3,"OD0916G","BRYC Lightning Bolts","Ben Brenman Park Field 1B","U09 Girls Div Calypso","ODSL"
"09/17/2017","01:30 PM","356","OD0801B","ALEX 08 Boys Silver",0,6,"OD0817B","WIN 08B Orange","Ben Brenman Park Field 1B","U10 Division B2","ODSL"
"09/24/2017","10:30 AM","1907","OD0401G","ALEX 05 Girls Blue",1,3,"OD0581G","LOUD 05G Gray","Hammond Middle School Turf Field","U13 Division G1","ODSL"
"09/24/2017","10:30 AM","62","OD0901B","ALEX 09 Boys Black",12,2,"OD0904B","CFC 09B White","Ben Brenman Park Field 1B","U09 Boys Div Jefferson","ODSL"
"09/24/2017","12:00 PM","2357","OD02138B","ALEX 03 Boys Blue",0,9,"OD02143B","RWFC BVB Dortmund","Hammond Middle School Turf Field","U15-16 Division B1","ODSL"
"09/24/2017","12:00 PM","905","OD0501G","ALEX 07 Girls Blue",0,10,"OD0621G","ARL 07G Gold","Ben Brenman Park Field 1B","U11 Division G1","ODSL"
"10/01/2017","12:00 PM","713","OD0601B","ALEX 07 Boys Black",4,1,"OD0703B","BRYC Fireballs","Ben Brenman Park Field 1B","U11 Division B1","ODSL"
"10/01/2017","01:30 PM","1263","OD0500B","ALEX 06 Boys Black",0,11,"OD0654B","LPFC 2006B","Ben Brenman Park Field 1B","U12 Division B2","ODSL"
"10/01/2017","03:00 PM","114","OD0909B","ALEX 09 Boys Silver",2,4,"OD9021B","FCVA FCV Elite","Ben Brenman Park Field 1B","U09 Boys Div Monroe","ODSL"
"10/01/2017","04:30 PM","214","OD0913G","ALEX 09 Girls Blue",1,6,"OD0917G","LOUD 09G Gray","Ben Brenman Park Field 1B","U09 Girls Div Calypso","ODSL"
