Field,Team1,Team2,Age.Group,Gender
Rockfish River ES,Nelson U12 Boys U12 Boys SCSL,SOCA Cville 07 Boys Blue U12 Boys SCSL,U12,Boys
William Monroe High School - Upper Field,SVU U11B White U12 Boys SCSL,GFC United U12 Boys U12 Boys SCSL,U12,Boys
Leakes Mill Park,Goochland Galaxy 07/08 Boys U12 Boys SCSL,FYSA U11 Boys U12 Boys SCSL,U12,Boys
Booster Park #2,Orange Fire 06/07 Boys U12 Boys SCSL,SOCA Cville 07 Boys White U12 Boys SCSL,U12,Boys
Monger #4,Goochland Galaxy 07/08 Boys U12 Boys SCSL,SVU U11B White U12 Boys SCSL,U12,Boys
Zions Crossroads #2,FYSA U11 Boys U12 Boys SCSL,Orange Fire 06/07 Boys U12 Boys SCSL,U12,Boys
Rockfish River ES,Nelson U12 Boys U12 Boys SCSL,SOCA Cville 07 Boys White U12 Boys SCSL,U12,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),GFC United U12 Boys U12 Boys SCSL,SOCA Cville 07 Boys Blue U12 Boys SCSL,U12,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),SVU U11B White U12 Boys SCSL,SOCA Cville 07 Boys Blue U12 Boys SCSL,U12,Boys
Leakes Mill Park,Goochland Galaxy 07/08 Boys U12 Boys SCSL,Orange Fire 06/07 Boys U12 Boys SCSL,U12,Boys
Rockfish River ES,FYSA U11 Boys U12 Boys SCSL,Nelson U12 Boys U12 Boys SCSL,U12,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),GFC United U12 Boys U12 Boys SCSL,SOCA Cville 07 Boys White U12 Boys SCSL,U12,Boys
Monger #4,SVU U11B White U12 Boys SCSL,SOCA Cville 07 Boys White U12 Boys SCSL,U12,Boys
William Monroe High School - Upper Field,FYSA U11 Boys U12 Boys SCSL,GFC United U12 Boys U12 Boys SCSL,U12,Boys
Booster Park #2,Orange Fire 06/07 Boys U12 Boys SCSL,Nelson U12 Boys U12 Boys SCSL,U12,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),Goochland Galaxy 07/08 Boys U12 Boys SCSL,SOCA Cville 07 Boys Blue U12 Boys SCSL,U12,Boys
Monger #4,SVU U11B White U12 Boys SCSL,Nelson U12 Boys U12 Boys SCSL,U12,Boys
Zions Crossroads #2,FYSA U11 Boys U12 Boys SCSL,SOCA Cville 07 Boys White U12 Boys SCSL,U12,Boys
Booster Park #2,Orange Fire 06/07 Boys U12 Boys SCSL,SOCA Cville 07 Boys Blue U12 Boys SCSL,U12,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),FYSA U11 Boys U12 Boys SCSL,SOCA Cville 07 Boys Blue U12 Boys SCSL,U12,Boys
Rockfish River ES,GFC United U12 Boys U12 Boys SCSL,Nelson U12 Boys U12 Boys SCSL,U12,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),Goochland Galaxy 07/08 Boys U12 Boys SCSL,SOCA Cville 07 Boys White U12 Boys SCSL,U12,Boys
Booster Park #2,SVU U11B White U12 Boys SCSL,Orange Fire 06/07 Boys U12 Boys SCSL,U12,Boys
Zions Crossroads #2,FYSA U11 Boys U12 Boys SCSL,SVU U11B White U12 Boys SCSL,U12,Boys
SOCA-ACAC South Fork Soccer Park (SFSP Field 5),SOCA Cville 07 Boys Blue U12 Boys SCSL,SOCA Cville 07 Boys White U12 Boys SCSL,U12,Boys
Leakes Mill Park,Goochland Galaxy 07/08 Boys U12 Boys SCSL,Nelson U12 Boys U12 Boys SCSL,U12,Boys
William Monroe High School - Upper Field,GFC United U12 Boys U12 Boys SCSL,Orange Fire 06/07 Boys U12 Boys SCSL,U12,Boys
Zions Crossroads #2,Goochland Galaxy 07/08 Boys U12 Boys SCSL,FYSA U11 Boys U12 Boys SCSL,U12,Boys
Monger #4,SVU U11B White U12 Boys SCSL,SOCA Cville 07 Boys Blue U12 Boys SCSL,U12,Boys
William Monroe High School - Upper Field,GFC United U12 Boys U12 Boys SCSL,Nelson U12 Boys U12 Boys SCSL,U12,Boys
