"Team","Age.Group","Gender"
"CVU U12 Boys","U12","Boys"
"CVU U12 Girls","U12","Girls"
"CVU U13 Boys","U13","Boys"
"CVU U13 Girls","U13","Girls"
"CVU U14 Boys","U14","Boys"
"CVU U14 Girls","U14","Girls"
"CVU U15 Boys Premier","U15","Boys"
"CVU U15 Girls","U15","Girls"
"CVU U16 Boys","U17","Boys"
"CVU U16 Girls","U16","Girls"
"CVU U17 Boys","U19","Boys"
"CVU U17 Girls","U19","Girls"
"CVU U18 Boys","U19","Boys"
"CVU U19 Girls","U19","Girls"
"FSCI Academy FC Fury U17","U19","Boys"
"FYSA U11 Boys","U12","Boys"
"FYSA U14 Boys","U15","Boys"
"FYSA U15/16 Girls","U17","Girls"
"FYSA U16 Boys","U16","Boys"
"FYSA U17 Boys","U19","Boys"
"GFC Dynamo U19 Boys","U19","Boys"
"GFC Fusion U12 Girls","U12","Girls"
"GFC Fusion U15 Girls","U17","Girls"
"GFC Fusion U18 Girls","U18","Girls"
"GFC United U12 Boys","U12","Boys"
"GFC United U14 Boys","U15","Boys"
"Goochland Galaxy 07/08 Boys","U12","Boys"
"Louisa FC U13/15","U15","Boys"
"Louisa FC U18 Girls","U18","Girls"
"Luray Valley U13","U15","Boys"
"Luray Valley U19 Boys","U19","Boys"
"Madison U13","U15","Boys"
"Madison U13/15 Girls","U15","Girls"
"Madison U15 Boys","U15","Boys"
"Madison U19 Girls","U19","Girls"
"Nelson U12 Boys","U12","Boys"
"NRU U12 Boys","U12","Boys"
"NRU U12 Girls","U12","Girls"
"NRU U13 Boys","U13","Boys"
"NRU U13 Girls","U13","Girls"
"NRU U14 Boys Blue","U15","Boys"
"NRU U14 Boys White","U14","Boys"
"NRU U14 Girls","U14","Girls"
"NRU U15 Boys Premier","U17","Boys"
"NRU U15 Girls","U15","Girls"
"NRU U16 Boys","U19","Boys"
"NRU U16 Girls","U16","Girls"
"NRU U17 Boys Premier","U19","Boys"
"NRU U17 Girls","U19","Girls"
"NRU U19 Boys Premier","U19","Boys"
"Orange Fire 03/02 Boys","U16","Boys"
"Orange Fire 03/02 Girls","U17","Girls"
"Orange Fire 05/04 Boys","U15","Boys"
"Orange Fire 05/04 Girls","U15","Girls"
"Orange Fire 06/07 Boys","U12","Boys"
"Orange Fire 07/06 Girls","U12","Girls"
"Salem Sabres U16 Girls","U16","Girls"
"Salem Sabres U18 Girls","U19","Girls"
"SOCA Aug 07/06 Boys Classic","U12","Boys"
"SOCA Augusta U12 Boys Premier","U12","Boys"
"SOCA Augusta U12 Girls Premier","U12","Girls"
"SOCA Augusta U13 Boys Premier","U13","Boys"
"SOCA Augusta U13 Girls Premier","U13","Girls"
"SOCA Augusta U15 Boys Premier","U15","Boys"
"SOCA Augusta U15 Girls Premier","U15","Girls"
"SOCA Augusta U16/17 Boys Premier","U17","Boys"
"SOCA Augusta U18/19 Boys Premier","U19","Boys"
"SOCA Augusta U19 Girls Premier","U19","Girls"
"SOCA Cville 01 Boys Classic","U19","Boys"
"SOCA Cville 02 Girls Classic","U18","Girls"
"SOCA Cville 03 Boys Blue","U16","Boys"
"SOCA Cville 03 Boys White","U16","Boys"
"SOCA Cville 03 Girls Classic","U17","Girls"
"SOCA Cville 04 Girls White","U15","Girls"
"SOCA Cville 05 Boys Blue","U15","Boys"
"SOCA Cville 05 Boys White","U15","Boys"
"SOCA Cville 05 Girls Classic","U15","Girls"
"SOCA Cville 06 Boys Blue","U12","Boys"
"SOCA Cville 06 Boys White","U12","Boys"
"SOCA Cville 06 Girls Blue","U12","Girls"
"SOCA Cville 06 Girls White","U12","Girls"
"SOCA Cville 07 Boys Blue","U12","Boys"
"SOCA Cville 07 Girls Classic","U12","Girls"
"SOCA Cville U12 Boys Premier","U12","Boys"
"SOCA Cville U12 Girls Premier","U12","Girls"
"SOCA Cville U13 Boys Premier","U13","Boys"
"SOCA Cville U13 Girls Premier","U13","Girls"
"SOCA Cville U14 Boys Classic","U14","Boys"
"SOCA Cville U14 Boys Premier","U14","Boys"
"SOCA Cville U14 Girls Classic Blue","U14","Girls"
"SOCA Cville U14 Girls Premier","U14","Girls"
"SOCA Cville U15 Boys Premier","U15","Boys"
"SOCA Cville U15 Girls Premier","U15","Girls"
"SOCA Cville U16 Boys Premier","U17","Boys"
"SOCA Cville U16 Girls Premier","U16","Girls"
"SOCA Cville U17 Boys Premier","U19","Boys"
"SOCA Cville U19 Boys Premier","U19","Boys"
"SOCA CVille U19 Girls Premier","U19","Girls"
"SVU U11B White","U12","Boys"
"SVU U12 Boys","U12","Boys"
"SVU U12 Boys White","U12","Boys"
"SVU U12 Girls","U12","Girls"
"SVU U13 Boys","U13","Boys"
"SVU U14 Boys","U14","Boys"
"SVU U14 Girls","U14","Girls"
"SVU U15 Boys","U15","Boys"
"SVU U15 Girls","U15","Girls"
"SVU U16/17 Boys","U17","Boys"
"SVU U19 Boys","U19","Boys"
"SVU U19 Girls","U19","Girls"
"Valley FC U18 Girls","U19","Girls"
"Valley FC U18G Green","U18","Girls"
"Valley FC U19B Black","U19","Boys"
"CVU 03/02 Boys Red","U16","Boys"
"CVU 07/06 Boys","U12","Boys"
"FYSA U12 Girls","U12","Girls"
"FYSA U14 Girls","U15","Girls"
"Luray Valley U13/17 Girls","U17","Girls"
"Madison U18B","U19","Boys"
"Nelson U15 Boys","U15","Boys"
"Nelson U18 Girls","U18","Girls"
"NRU U19 Girls","U19","Girls"
"SOCA Aug 05/04 Boys Classic","U15","Boys"
"SOCA Cville 07 Boys White","U12","Boys"
"Valley FC U12 Boys","U12","Boys"
"Valley FC U12 Girls","U12","Girls"
"Valley FC U13 Boys","U13","Boys"
"Valley FC U13 Girls","U13","Girls"
"Valley FC U14 Boys","U14","Boys"
"Valley FC U14 Girls","U14","Girls"
"Valley FC U15 Boys","U15","Boys"
"Valley FC U15 Girls","U15","Girls"
"Valley FC U16 Boys","U17","Boys"
"Valley FC U16 Girls","U16","Girls"
"Valley FC U17 Boys","U19","Boys"
"Valley FC U17 Girls","U19","Girls"
"Valley FC U19 Boys","U19","Boys"
