"Home","Away","Field"
"AYSO Arsenal U09 Boys TASL","WBSC Strikers U09 Boys TASL","AYSO Cornland Park Field 3"
"Beach FC Lightning U09 Boys TASL","TSA City U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"TSA City U09 Boys TASL","CSC Fusion U09 Boys TASL","Wahrill Soccer Complex Field 2"
"CUSC Vipers U09 Boys TASL","WBSC Strikers U09 Boys TASL","Centerville Compex 9B"
"WBSC Strikers U09 Boys TASL","Beach FC Lightning U09 Boys TASL","Joliff Middle School Field 3"
"WBSC Strikers U09 Boys TASL","Beach FC Tsunami U09 Boys TASL","Joliff Middle School Field 3"
"CSC Fusion U09 Boys TASL","WBSC Strikers U09 Boys TASL","Centerville Complex Field 7b"
"TSA City U09 Boys TASL","Beach FC Tsunami U09 Boys TASL","Wahrill Soccer Complex Field 2"
"Beach FC Tsunami U09 Boys TASL","CUSC Vipers U09 Boys TASL","Hampton Roads Soccer Complex Field 18A"
"WBSC Strikers U09 Boys TASL","Beach FC Lightning U09 Boys TASL","Joliff Middle School Field 3"
"Beach FC Tsunami U09 Boys TASL","CSC Fusion U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"TSA City U09 Boys TASL","WBSC Strikers U09 Boys TASL","Wahrill Soccer Complex Field 2"
"WBSC Strikers U09 Boys TASL","CUSC Vipers U09 Boys TASL","Joliff Middle School Field 3"
"CSC Fusion U09 Boys TASL","TSA City U09 Boys TASL","Centerville Complex Field 7b"
"Beach FC Tsunami U09 Boys TASL","WBSC Strikers U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"CUSC Vipers U09 Boys TASL","CSC Fusion U09 Boys TASL","Centerville Compex 9B"
"CSC Fusion U09 Boys TASL","Beach FC Tsunami U09 Boys TASL","Centerville Complex Field 7b"
"CUSC Vipers U09 Boys TASL","TSA City U09 Boys TASL","Centerville Complex Field 7b"
"Beach FC Tsunami U09 Boys TASL","Beach FC Lightning U09 Boys TASL","Hampton Roads Soccer Complex Field 18A"
"CSC Fusion U09 Boys TASL","CUSC Vipers U09 Boys TASL","Centerville Complex Field 7b"
"Beach FC Lightning U09 Boys TASL","CUSC Vipers U09 Boys TASL","Hampton Roads Soccer Complex Field 18A"
"Beach FC Lightning U09 Boys TASL","CSC Fusion U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"CUSC Vipers U09 Boys TASL","TSA City U09 Boys TASL","Centerville Compex 9B"
"Beach FC Lightning U09 Boys TASL","Beach FC Tsunami U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"TSA City U09 Boys TASL","Beach FC Lightning U09 Boys TASL","Wahrill Soccer Complex Field 2"
"CUSC The Jedis U09 Boys TASL","CSL Dragons U09 Boys TASL","Centerville Compex 9B"
"Beach FC Fire U09 Boys TASL","CSL Dragons U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"Suffolk Icepacks U09 Boys TASL","CSL Dragons U09 Boys TASL","SYAA Field 7"
"Suffolk Icepacks U09 Boys TASL","Beach FC Fire U09 Boys TASL","SYAA Field 7"
"CSL Dragons U09 Boys TASL","Portsmouth Ecudor U09 Boys TASL","Churchland Park Field  6"
"CUSC The Jedis U09 Boys TASL","Beach FC Fire U09 Boys TASL","Centerville Compex 9B"
"Portsmouth Ecudor U09 Boys TASL","Beach FC Timbers U09 Boys TASL","John Tyler Complex Field 3"
"Suffolk Icepacks U09 Boys TASL","CUSC The Jedis U09 Boys TASL","SYAA Field 7"
"Beach FC Timbers U09 Boys TASL","Beach FC Fire U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"Portsmouth Ecudor U09 Boys TASL","Suffolk Icepacks U09 Boys TASL","John Tyler Complex Field 3"
"Beach FC Fire U09 Boys TASL","Portsmouth Ecudor U09 Boys TASL","Hampton Roads Soccer Complex Field 18A"
"CSL Dragons U09 Boys TASL","Beach FC Timbers U09 Boys TASL","Churchland Park Field  6"
"CUSC The Jedis U09 Boys TASL","Portsmouth Ecudor U09 Boys TASL","Centerville Compex 9B"
"CSL Dragons U09 Boys TASL","Portsmouth Ecudor U09 Boys TASL","Churchland Park Field  6"
"Beach FC Timbers U09 Boys TASL","Suffolk Icepacks U09 Boys TASL","Hampton Roads Soccer Complex Field 18A"
"Beach FC Timbers U09 Boys TASL","Suffolk Icepacks U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"CUSC The Jedis U09 Boys TASL","Beach FC Timbers U09 Boys TASL","Centerville Compex 9B"
"Beach FC Timbers U09 Boys TASL","Suffolk Icepacks U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"Beach FC Fire U09 Boys TASL","CSL Dragons U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"CSL Dragons U09 Boys TASL","CUSC The Jedis U09 Boys TASL","Churchland Park Field  6"
"CUSC The Jedis U09 Boys TASL","Beach FC Timbers U09 Boys TASL","Centerville Compex 9B"
"Suffolk Icepacks U09 Boys TASL","Beach FC Fire U09 Boys TASL","SYAA Field 7"
"Beach FC Fire U09 Boys TASL","CUSC The Jedis U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"TSA United U09 Boys TASL","Beach FC Rapids U09 Boys TASL","Wahrill Soccer Complex Field 2"
"Beach FC Revolution U09 Boys TASL","TSA United U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"Beach FC Impact U09 Boys TASL","TSA United U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"Beach FC Impact U09 Boys TASL","Beach FC Revolution U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"Beach FC Rapids U09 Boys TASL","Beach FC Impact U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"TSA United U09 Boys TASL","Beach FC Impact U09 Boys TASL","Wahrill Soccer Complex Field 2"
"Beach FC Revolution U09 Boys TASL","Beach FC Rapids U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"Beach FC Impact U09 Boys TASL","Smithfield Arsenal U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"Beach FC Revolution U09 Boys TASL","Beach FC Impact U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"TSA United U09 Boys TASL","Beach FC Revolution U09 Boys TASL","Wahrill Soccer Complex Field 2"
"Beach FC Impact U09 Boys TASL","Beach FC Rapids U09 Boys TASL","Hampton Roads Soccer Complex Field 18A"
"Smithfield Arsenal U09 Boys TASL","TSA United U09 Boys TASL","Carrollton Nike Park  1"
"Beach FC Impact U09 Boys TASL","Smithfield Arsenal U09 Boys TASL","Hampton Roads Soccer Complex Field 18A"
"Beach FC Rapids U09 Boys TASL","Smithfield Arsenal U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"Smithfield Arsenal U09 Boys TASL","TSA United U09 Boys TASL","Carrollton Nike Park  1"
"Beach FC Revolution U09 Boys TASL","Smithfield Arsenal U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"Smithfield Arsenal U09 Boys TASL","Beach FC Revolution U09 Boys TASL","Carrollton Nike Park  1"
"Beach FC Rapids U09 Boys TASL","TSA United U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"Smithfield Arsenal U09 Boys TASL","Beach FC Rapids U09 Boys TASL","Carrollton Nike Park  1"
"Beach FC Rapids U09 Boys TASL","Beach FC Revolution U09 Boys TASL","Hampton Roads Soccer Complex Field 18B"
"CSL Wolverines U10 Boys TASL","Beach FC Ghent Racers U10 Boys TASL","Churchland Park Field  6"
"Smithfield Flames U10 Boys TASL","Suffolk Rampage U10 Boys TASL","Carrollton Nike Park  1"
"Suffolk Rampage U10 Boys TASL","Beach FC Ghent Racers U10 Boys TASL","SYAA Field 7"
"Smithfield Flames U10 Boys TASL","CSC Avengers U10 Boys TASL","Carrollton Nike Park  1"
"CSC Avengers U10 Boys TASL","Suffolk Rampage U10 Boys TASL","Centerville Complex Field 7b"
"Beach FC Ghent Racers U10 Boys TASL","CSC Avengers U10 Boys TASL","Lake Taylor Soccer Complex Field 13"
"CSL Wolverines U10 Boys TASL","Suffolk Rampage U10 Boys TASL","Churchland Park Field  6"
"CSC Avengers U10 Boys TASL","CSL Wolverines U10 Boys TASL","Centerville Complex Field 7b"
"Suffolk Rampage U10 Boys TASL","CSL Wolverines U10 Boys TASL","SYAA Field 7"
"Suffolk Rampage U10 Boys TASL","CSC Avengers U10 Boys TASL","SYAA Field 7"
"CSC Avengers U10 Boys TASL","Beach FC Ghent Racers U10 Boys TASL","Centerville Complex Field 7b"
"CSC Avengers U10 Boys TASL","Smithfield Flames U10 Boys TASL","Centerville Complex Field 7b"
