"fields","Street Address","City","State","Zip Code"
"BETHEL ELEMENTARY #1","2991 HICKORY FORK RD","GLOUCESTER","VA","23061"
"BETHEL ELEMENTARY #3","2991 HICKORY FORK RD","GLOUCESTER","VA","23061"
"BETHEL ELEMENTARY #4","2991 HICKORY FORK RD","GLOUCESTER","VA","23061"
"Bryan ParkA","4308 Hermitage Road","Richmond","VA","23228"
"BSCHSMain","4552 Princess Anne Road","Virginia Beach","VA","23462"
"BuckroeA","2600 Andrews Blvd","Hampton","VA","23663"
"BuckroeB","2600 Andrews Blvd","Hampton","VA","23663"
"Capital Park #1","6900 Wilkinson Road","Richmond","VA","23227"
"Capital Park #2","6900 Wilkinson Road","Richmond","VA","23227"
"Capt. John Smith ElementaryCJS","379 Woodland Road","Hampton","VA","23669"
"Carrollton Nike Park #2","13036 Nike Park Road","Carrollton","VA","23314"
"Carrollton Nike Park #3","13036 Nike Park Road","Carrollton","VA","23314"
"Centerville Athletic Complex #11",,,,
"Centerville Athletic Complex9A","1857 Centerville Athletic Complex","Chesapeake","VA","23322"
"Centerville Athletic Complex9B","1857 Centerville Athletic Complex","Chesapeake","VA","23322"
"Chesapeake / Centerville Soccer Complex #6","1857 Centerville Turnpike South","Chesapeake","VA","23322"
"Chesapeake / Centerville Soccer Complex7a","1857 Centerville Turnpike S","Chesapeake","VA","23322"
"Chesapeake / Centerville Soccer Complex7b","1857 Centerville Turnpike S","Chesapeake","VA","23322"
"Cornland ParkCPK1","2908 Benefit Road","Chesapeake","VA","23322"
"Cornland ParkCPK2","2908 Benefit Road","Chesapeake","VA","23322"
"Cornland ParkCPK3","2908 Benefit Road","Chesapeake","VA","23322"
"Cornland ParkCPK4","2908 BENEFIT ROAD","CHESAPEAKE","VA","23322"
"Courthouse Park1A","7232 Courtland Farm Road","Hanover","VA","23069"
"Courthouse Park1B","7232 Courtland Farm Road","Hanover","VA","23069"
"Courthouse Park #2","7232 Courtland Farm Road","Hanover","VA","23069"
"Fighting Creek Park #1","2201 Mann Road","Powhatan","VA","23139"
"Ft Monroe #1","100 Stilwell road","Ft Monroe","VA","23561"
"HRSC #1","2276 RECREATION DRIVE","VIRGINIA BEACH","VA","23456"
"HRSC #10","2276 RECREATION DRIVE","VIRGINIA BEACH","VA","23456"
"HRSC #11","2276 RECREATION DRIVE","VIRGINIA BEACH","VA","23456"
"HRSC #14","2276 Recreation Drive","Virginia Beach","VA","23456"
"HRSC #15","2276 RECREATION DRIVE","VIRGINIA BEACH","VA","23456"
"HRSC18A","2276 RECREATION DRIVE","VIRGINIA BEACH","VA","23456"
"HRSC #2","2276 RECREATON DRIVE","VIRGINIA BEACH","VA","23456"
"HRSC4A","2276 RECREATION DRIVE","VIRGINIA BEACH","VA","23456"
"HRSC4B","2276 RECREATION DRIVE","VIRGINIA BEACH","VA","23456"
"HRSC #7","2276 RECREATION DRIVE","VIRGINIA BEACH","VA","23456"
"HRSC #9","2276 RECREATION DRIVE","VIRGINIA BEACH","VA","23456"
"Huguenot Park #1","10901 Robious Road","Richmond","VA","23235"
"John Tyler Soccer ComplexJT1","3649 Hartford St","Portsmouth","VA","23707"
"John Tyler Soccer ComplexJT2","3649 Hartford Street","Portsmouth","VA","23707"
"John Tyler Soccer ComplexJT3","3649 Hartford St","Portsmouth","VA","23701"
"Jolliff Middle School #1","1021 Jolliff Road","Chesapeake","VA","23321"
"Jolliff Middle School #3","1021 Jolliff Road","Chesapeake","VA","23321"
"MCREYNOLDS ATHLETIC COMPLEX (MAC)#3","4311 George Washington Memorial Highway","Yorktown","VA","23692"
"MCREYNOLDS ATHLETIC COMPLEX (MAC)#4","4311 George Washington Memorial Hwy","Yorktown","VA","23692"
"MCREYNOLDS ATHLETIC COMPLEX (MAC) #5","4311 George Washington Memorial Highway","Yorktown","VA","23692"
"MonU Park #1","1313 Polo Grounds Road","Charlottesviile","VA","22911"
"MonU Park #2","1313 Polo Grounds Road","Charlottesviile","VA","22911"
"MonU Park #3","1313 Polo Grounds Road","Charlottesviile","VA","22911"
"MonU Park #4","1313 Polo Grounds Road","Charlottesviile","VA","22911"
"Nags Head Soccer Complex #1","227 Satterfield Landing Road","Nags Head","NC","27959"
"Nags Head Soccer Complex #2","227 West Satterfield Landing Road","Nags Head","NC","27959"
"Norfolk Christian #1","255 thole street","Norfolk","VA","23505"
"Norfolk Collegiate Lower School #1","5429 Tidewater drive","Norfolk","VA","23509"
"Norfolk Collegiate Turf #1","7336 Granby Street","Norfolk","VA","23505"
"Norfolk Collegiate Turf #2","7336 Granby Street","Norfolk","VA","23505"
"Poor Farm ParkA","13400 Liberty School Rd","Ashland","VA","23005"
"South Lawson #2","40 South Lawson Rd","Poquoson","VA","23662"
"South Lawson #3","40 South Lawson Road","Poquoson","VA","23662"
"Stratton ParkS2","5400 Ridgedale Parkway","Richmond","VA","23237"
"SYAA #4","432 Kings Fork Rd","Suffolk","VA","23434"
"SYAA #6","432 Kings Fork Rd","Suffolk","VA","23434"
"Taylor Park #1","13017 Taylor Complex Lane","Ashland","VA","23005"
"Ukrop Park1A","5300 Ridgedale Parkway","Chesterfield","VA","23234"
"Ukrop Park1B","5300 Ridgedale Parkway","Richmond","VA","23234"
"Ukrop Park #3","5300 Ridgedale Parkway","Chesterfield","VA","23234"
"Ukrop Park #5","5300 Ridgedale Parkway","Richmond","VA","23234"
"Ukrop Park #6","5200 Ridgedale Parkway","Chesterfield","VA","23234"
"Ukrop Park Turf #2","5300 Ridgedale Parkway","Richmond","VA","23234"
"United Training Center #2","2700 Swiftrun Rd","Chester","VA","23831"
"United Training Center #3","2700 Swiftrun Road","Chester","VA","23831"
"United Training Center #6","2700 Swift Run Road","Chester","VA","23831"
"Warhill Sports Complex #1","5700 Warhill Trail","Williamsburg","VA","23188"
"Warhill Sports Complex #2","5700 Warhill Trail","Williamsburg","VA","23188"
"Warhill Sports Complex #5","5700 Warhill Trail","Williamsburg","VA","23188"
"Warhill Sports Complex #6","5700 Warhill Trail","Williamsburg","VA","23188"
"Warhill Sports Complex #7","5700 Warhill Trail","Williamsburg","VA","23188"
"Warhill Sports Complex #8","5700 Warhill Trail","Williamsburg","VA","23188"
"Warhill-8v8 GRASS #3","5700 Warhill Trail","Williamsburg","VA","23188"
"Warhill-8v8 GRASS #4","5700 Warhill Trail","Williamsburg","VA","23188"
"West Creek #06","12575 West Creek Parkway","Henrico","VA","23238"
"West Creek #08","12575 West Creek Parkway","Henrico","VA","23238"
"West Creek #10","12575 West Creek Parkway","Henrico","VA","23238"
"WoodlakeW4","5700 Woodlake Village Pkwy","Midlothian","VA","23112"
