"Home","Away","Field"
"BEACHFC 08B RED RONALDO U10 Boys VSL","OBX STORM ACADEMY AJAX U10 Boys VSL","HRSC 18C"
"TIDEWATER SHARKS 2008 UNITED U10 Boys VSL","CUSC 2008 BLACK U10 Boys VSL","Warhill Sports Complex #1"
"DYNAMO SC 08B GREY U10 Boys VSL","VIP UNITED FC RED U10 Boys VSL","Courthouse Park 1B"
"TIDEWATER SHARKS 2008 CITY U10 Boys VSL","YORKTOWN FC 08 PATRIOTS U10 Boys VSL","Warhill-8v8 GRASS #3"
"BEACH FC 08B RED MESSI U10 Boys VSL","BEACHFC 08B RED NEYMAR U10 Boys VSL","HRSC 4B"
"TIDEWATER SHARKS 2008 UNITED U10 Boys VSL","CUSC 2008 BLACK U10 Boys VSL","Warhill Sports Complex #2"
"DYNAMO SC 08B WHITE U10 Boys VSL","VIRGINIA LEGACY SC PENINSULA WIZARDS U10 Boys VSL","Courthouse Park 1B"
"VIRGINIA LEGACY SC WILLIAMSBURG WIZARDS BLACK U10 Boys VSL","VIRGINIA LEGACY SC WILLIAMSBURG WIZARDS GREEN U10 Boys VSL","Warhill-8v8 GRASS #3"
"BEACHFC 08B BLACK DYBALA U10 Boys VSL","VA RUSH 08B BLACK SAMBA U10 Boys VSL","HRSC 4B"
"VA RUSH 08 BLACK COPA U10 Boys VSL","BEACHFC 08B BLACK POGBA U10 Boys VSL","Rave #5"
"VIRGINIA BEACH CITY FC 08 ACADEMY II U10 Boys VSL","BEACHFC 08B BLACK GRIEZMANN U10 Boys VSL","Norfolk Collegiate Lower School #1"
"VA RUSH 08B BLUE COPA U10 Boys VSL","VA RUSH 08B BLUE SAMBA U10 Boys VSL","Rave #5"
"YORKTOWN FC ARTILLERY U10 Boys VSL","BAYSTARS FC MANTARAYS U10 Boys VSL","MCREYNOLDS ATHLETIC COMPLEX (MAC) #3"
"BEACHFC 08B RED NEYMAR U10 Boys VSL","BEACHFC 08B RED RONALDO U10 Boys VSL","HRSC 4B"
"OBX STORM ACADEMY AJAX U10 Boys VSL","TIDEWATER SHARKS 2008 UNITED U10 Boys VSL","Nags Head Soccer Complex #1"
"VIRGINIA BEACH CITY FC 08 ACADEMY I U10 Boys VSL","BEACH FC 08B RED MESSI U10 Boys VSL","Norfolk Collegiate Lower School #1"
"YORKTOWN FC 08 PATRIOTS U10 Boys VSL","VIRGINIA LEGACY SC WILLIAMSBURG WIZARDS BLACK U10 Boys VSL","MCREYNOLDS ATHLETIC COMPLEX (MAC) #3"
"VA RUSH 08 BLACK COPA U10 Boys VSL","BEACHFC 08B BLACK DYBALA U10 Boys VSL","HRSC 18C"
"BEACHFC 08B BLACK GRIEZMANN U10 Boys VSL","BEACHFC 08B BLACK POGBA U10 Boys VSL","HRSC 4B"
"VA RUSH 08B BLACK SAMBA U10 Boys VSL","VIRGINIA BEACH CITY FC 08 ACADEMY II U10 Boys VSL","HRSC 18C"
"BAYSTARS FC MANTARAYS U10 Boys VSL","VA RUSH 08B BLUE SAMBA U10 Boys VSL","BETHEL ELEMENTARY #3"
"YORKTOWN FC ARTILLERY U10 Boys VSL","VA RUSH 08B BLUE COPA U10 Boys VSL","MCREYNOLDS ATHLETIC COMPLEX (MAC) #3"
"VIRGINIA LEGACY SC WILLIAMSBURG WIZARDS BLACK U10 Boys VSL","VIP UNITED FC RED U10 Boys VSL","Warhill-8v8 GRASS #3"
"VA RUSH 08B BLUE COPA U10 Boys VSL","YORKTOWN FC ARTILLERY U10 Boys VSL","HRSC 4B"
"CUSC 2008 BLACK U10 Boys VSL","VIRGINIA BEACH CITY FC 08 ACADEMY I U10 Boys VSL","Centerville Athletic Complex 9A"
"YORKTOWN FC 08 PATRIOTS U10 Boys VSL","DYNAMO SC 08B WHITE U10 Boys VSL","MCREYNOLDS ATHLETIC COMPLEX (MAC) #3"
"DYNAMO SC 08B GREY U10 Boys VSL","TIDEWATER SHARKS 2008 CITY U10 Boys VSL","Courthouse Park 1B"
"VIRGINIA LEGACY SC WILLIAMSBURG WIZARDS GREEN U10 Boys VSL","VIRGINIA LEGACY SC PENINSULA WIZARDS U10 Boys VSL","Warhill-8v8 GRASS #3"
"VIRGINIA BEACH CITY FC 08 ACADEMY II U10 Boys VSL","BEACHFC 08B BLACK DYBALA U10 Boys VSL","Norfolk Collegiate Lower School #1"
"YORKTOWN FC ARTILLERY U10 Boys VSL","BAYSTARS FC MANTARAYS U10 Boys VSL","MCREYNOLDS ATHLETIC COMPLEX (MAC) #3"
"DYNAMO SC 08B WHITE U10 Boys VSL","VIP UNITED FC RED U10 Boys VSL","Courthouse Park 1B"
"VA RUSH 08B BLUE SAMBA U10 Boys VSL","YORKTOWN FC ARTILLERY U10 Boys VSL","HRSC 4B"
"BEACH FC 08B RED MESSI U10 Boys VSL","CUSC 2008 BLACK U10 Boys VSL","HRSC 4A"
"BEACHFC 08B RED RONALDO U10 Boys VSL","VIRGINIA BEACH CITY FC 08 ACADEMY I U10 Boys VSL","HRSC 4A"
"OBX STORM ACADEMY AJAX U10 Boys VSL","BEACHFC 08B RED NEYMAR U10 Boys VSL","Nags Head Soccer Complex #1"
"TIDEWATER SHARKS 2008 CITY U10 Boys VSL","VIRGINIA LEGACY SC WILLIAMSBURG WIZARDS GREEN U10 Boys VSL","Warhill Sports Complex #1"
"DYNAMO SC 08B GREY U10 Boys VSL","YORKTOWN FC 08 PATRIOTS U10 Boys VSL","Courthouse Park 1B"
"VIRGINIA LEGACY SC WILLIAMSBURG WIZARDS BLACK U10 Boys VSL","VIRGINIA LEGACY SC PENINSULA WIZARDS U10 Boys VSL","Warhill-8v8 GRASS #4"
"VA RUSH 08B BLACK SAMBA U10 Boys VSL","BEACHFC 08B BLACK POGBA U10 Boys VSL","HRSC 4B"
"BEACHFC 08B BLACK DYBALA U10 Boys VSL","VIRGINIA BEACH CITY FC 08 ACADEMY II U10 Boys VSL","HRSC 4A"
"BEACHFC 08B BLACK GRIEZMANN U10 Boys VSL","VA RUSH 08 BLACK COPA U10 Boys VSL","HRSC 4A"
"BAYSTARS FC MANTARAYS U10 Boys VSL","VA RUSH 08B BLUE COPA U10 Boys VSL","BETHEL ELEMENTARY #3"
"VIRGINIA BEACH CITY FC 08 ACADEMY I U10 Boys VSL","CUSC 2008 BLACK U10 Boys VSL","Norfolk Collegiate Lower School #1"
"BEACHFC 08B RED NEYMAR U10 Boys VSL","TIDEWATER SHARKS 2008 UNITED U10 Boys VSL","HRSC 18C"
"VIRGINIA LEGACY SC PENINSULA WIZARDS U10 Boys VSL","DYNAMO SC 08B WHITE U10 Boys VSL","South Lawson #3"
"VIRGINIA LEGACY SC WILLIAMSBURG WIZARDS GREEN U10 Boys VSL","VIRGINIA LEGACY SC WILLIAMSBURG WIZARDS BLACK U10 Boys VSL","Warhill-8v8 GRASS #3"
"YORKTOWN FC 08 PATRIOTS U10 Boys VSL","TIDEWATER SHARKS 2008 CITY U10 Boys VSL","MCREYNOLDS ATHLETIC COMPLEX (MAC) #3"
"VIRGINIA BEACH CITY FC 08 ACADEMY II U10 Boys VSL","VA RUSH 08 BLACK COPA U10 Boys VSL","Norfolk Collegiate Lower School #1"
"BEACHFC 08B BLACK POGBA U10 Boys VSL","BEACHFC 08B BLACK DYBALA U10 Boys VSL","HRSC 18C"
"BEACHFC 08B BLACK GRIEZMANN U10 Boys VSL","VA RUSH 08B BLACK SAMBA U10 Boys VSL","HRSC 4B"
"VA RUSH 08B BLUE SAMBA U10 Boys VSL","VA RUSH 08B BLUE COPA U10 Boys VSL","HRSC 4B"
"BAYSTARS FC MANTARAYS U10 Boys VSL","YORKTOWN FC ARTILLERY U10 Boys VSL","BETHEL ELEMENTARY #3"
"VIP UNITED FC RED U10 Boys VSL","TIDEWATER SHARKS 2008 CITY U10 Boys VSL","Capt. John Smith Elementary CJS"
"DYNAMO SC 08B WHITE U10 Boys VSL","VIRGINIA LEGACY SC WILLIAMSBURG WIZARDS BLACK U10 Boys VSL","Courthouse Park 1B"
"DYNAMO SC 08B GREY U10 Boys VSL","VIRGINIA LEGACY SC WILLIAMSBURG WIZARDS GREEN U10 Boys VSL","Courthouse Park 1B"
"OBX STORM ACADEMY AJAX U10 Boys VSL","VIRGINIA BEACH CITY FC 08 ACADEMY I U10 Boys VSL","Nags Head Soccer Complex #1"
"TIDEWATER SHARKS 2008 UNITED U10 Boys VSL","BEACHFC 08B RED RONALDO U10 Boys VSL","Warhill-8v8 GRASS #3"
"CUSC 2008 BLACK U10 Boys VSL","BEACHFC 08B RED NEYMAR U10 Boys VSL","Centerville Athletic Complex 9A"
"YORKTOWN FC 08 PATRIOTS U10 Boys VSL","VIRGINIA LEGACY SC PENINSULA WIZARDS U10 Boys VSL","MCREYNOLDS ATHLETIC COMPLEX (MAC) #3"
"VA RUSH 08B BLUE SAMBA U10 Boys VSL","BAYSTARS FC MANTARAYS U10 Boys VSL","HRSC 4B"
"VIP UNITED FC RED U10 Boys VSL","YORKTOWN FC 08 PATRIOTS U10 Boys VSL","Capt. John Smith Elementary CJS"
"TIDEWATER SHARKS 2008 UNITED U10 Boys VSL","BEACH FC 08B RED MESSI U10 Boys VSL","Warhill Sports Complex #1"
