"Home","Age.Group","Gender"
"AFC01B01 U17 Boys VSL","U17","Boys"
"AFC02B01 U16 Boys VSL","U16","Boys"
"AFC02G01 U16 Girls VSL","U16","Girls"
"AFC03B01 U15 Boys VSL","U15","Boys"
"AFC03G01 U15 Girls VSL","U15","Girls"
"AFC04B01 U14 Boys VSL","U14","Boys"
"AFC04G01 U14 Girls VSL","U14","Girls"
"AFC05B01 U13 Boys VSL","U13","Boys"
"AFC05G01 U13 Girls VSL","U13","Girls"
"AFC06B01 U12 Boys VSL","U12","Boys"
"AFC07B01 U11 Boys VSL","U11","Boys"
"AFC9900B01 U19 Boys VSL","U19","Boys"
"AFC9900B02 U19 Boys VSL","U19","Boys"
"BAYSTARS FC BARRACUDAS U15 Boys VSL","U15","Boys"
"BAYSTARS FC BULLSHARKS U11 Boys VSL","U11","Boys"
"BAYSTARS FC FORCE U19 Boys VSL","U19","Boys"
"BAYSTARS FC MANTARAYS U10 Boys VSL","U10","Boys"
"BAYSTARS FC TIDES U15 Boys VSL","U15","Boys"
"BAYSTARS FC TYPHOONS U13 Boys VSL","U13","Boys"
"BAYSTARS FC WAVE U18 Girls VSL","U18","Girls"
"BEACH FC 01G BLACK U17 Girls VSL","U17","Girls"
"BEACH FC 02B WHITE U16 Boys VSL","U16","Boys"
"BEACH FC 02G BLACK U17 Girls VSL","U17","Girls"
"BEACH FC 03B BLACK - PELE U15 Boys VSL","U15","Boys"
"BEACH FC 03B BLACK ZIDANE U15 Boys VSL","U15","Boys"
"BEACH FC 03B WHITE RONALDINHO U15 Boys VSL","U15","Boys"
"BEACH FC 04B BLACK U14 Boys VSL","U14","Boys"
"BEACH FC 04G BLACK U14 Girls VSL","U14","Girls"
"BEACH FC 05B BLACK U13 Boys VSL","U13","Boys"
"BEACH FC 08B RED MESSI U10 Boys VSL","U10","Boys"
"BEACH FC 99B BLACK COPA U19 Boys VSL","U19","Boys"
"BEACH FC ADRENALINE U16 Girls VSL","U16","Girls"
"BEACH FC ELITE U16 Girls VSL","U16","Girls"
"BEACH FC FREEDOM U14 Girls VSL","U14","Girls"
"BEACH FC LEGACY U16 Girls VSL","U16","Girls"
"BEACH FC LIGHTNING U16 Boys VSL","U16","Boys"
"BEACH FC PANTHERS U19 Boys VSL","U19","Boys"
"BEACHFC 01B BLACK U17 Boys VSL","U17","Boys"
"BEACHFC 01B LIGHTNING U17 Boys VSL","U17","Boys"
"BEACHFC 02B BLACK U16 Boys VSL","U16","Boys"
"BEACHFC 03G BLACK U15 Girls VSL","U15","Girls"
"BEACHFC 04B WHITE U14 Boys VSL","U14","Boys"
