"GameID","HomeClubID","HomeTeamID","AwayClubID","AwayTeamID","FieldID","FieldCity","FieldState","FieldLatitude","FieldLongitude","Age.Group","Gender","LeagueID","HomeClubName","HomeClubState","AwayClubName","AwayClubState"
"GM00001","51003","51003001","51001","51001001","FD00012","Glen Allen","VA",37.712606,-77.638517,"U10","Boys","LG0001","Richmond Strikers","VA","Powhatan Soccer Association","VA"
"GM00002","51005","51005001","51004","51004001","FD00007","Richmond","VA",37.519686,-77.591071,"U10","Boys","LG0001","FC Richmond","VA","Richmond Strikers Chesterfield","VA"
"GM00003","51005","51005002","51004","51004002","FD00007","Richmond","VA",37.519686,-77.591071,"U10","Boys","LG0001","FC Richmond","VA","Richmond Strikers Chesterfield","VA"
"GM00004","51003","51003002","51004","51004003","FD00012","Glen Allen","VA",37.712606,-77.638517,"U10","Boys","LG0001","Richmond Strikers","VA","Richmond Strikers Chesterfield","VA"
"GM00005","51003","51003003","51003","51003004","FD00013","Glen Allen","VA",37.712606,-77.638517,"U10","Boys","LG0001","Richmond Strikers","VA","Richmond Strikers","VA"
"GM00006","51003","51003004","51002","51002001","FD00012","Glen Allen","VA",37.712606,-77.638517,"U10","Boys","LG0001","Richmond Strikers","VA","Richmond Kickers","VA"
"GM00007","51003","51003002","51002","51002002","FD00011","Glen Allen","VA",37.712606,-77.638517,"U10","Boys","LG0001","Richmond Strikers","VA","Richmond Kickers","VA"
"GM00008","51003","51003001","51002","51002003","FD00011","Glen Allen","VA",37.712606,-77.638517,"U10","Boys","LG0001","Richmond Strikers","VA","Richmond Kickers","VA"
"GM00009","51003","51003002","51004","51004004","FD00012","Glen Allen","VA",37.712606,-77.638517,"U10","Boys","LG0001","Richmond Strikers","VA","Richmond Strikers Chesterfield","VA"
"GM00010","51003","51003001","51004","51004004","FD00012","Glen Allen","VA",37.712606,-77.638517,"U10","Boys","LG0001","Richmond Strikers","VA","Richmond Strikers Chesterfield","VA"
"GM00011","51001","51001001","51005","51005001","FD00003","Powhatan","VA",37.539913,-77.918696,"U10","Boys","LG0001","Powhatan Soccer Association","VA","FC Richmond","VA"
